play,character,phoneme,zscore
1H4,Archbishop,OW,-1.018191583
1H4,Archbishop,SH,-0.430124632
1H4,Archbishop,TH,-0.555189023
1H4,Archbishop,NG,-0.503303518
1H4,Archbishop,T,0.216240297
1H4,Archbishop,CH,-0.773508688
1H4,Archbishop,R,1.162854781
1H4,Archbishop,Z,-0.387214808
1H4,Archbishop,UH,-0.727875659
1H4,Archbishop,AW,-0.20860978
1H4,Archbishop,AH,2.353240288
1H4,Archbishop,AO,0.573051328
1H4,Archbishop,G,-0.190024496
1H4,Archbishop,K,0.545503526
1H4,Archbishop,N,0.515896162
1H4,Archbishop,M,0.796064442
1H4,Archbishop,S,0.528644398
1H4,Archbishop,AA,-1.03129223
1H4,Archbishop,IH,-0.174589379
1H4,Archbishop,UW,1.068840019
1H4,Archbishop,F,0.413501382
1H4,Archbishop,EH,1.427801562
1H4,Archbishop,EY,-0.257689781
1H4,Archbishop,D,0.617695658
1H4,Archbishop,ER,0.643399697
1H4,Archbishop,DH,0.921446992
1H4,Archbishop,AY,-0.543619926
1H4,Archbishop,AE,-2.228484603
1H4,Archbishop,HH,-0.526934813
1H4,Archbishop,JH,-0.762010218
1H4,Archbishop,L,-1.459789149
1H4,Archbishop,P,0.490757524
1H4,Archbishop,B,-1.526289004
1H4,Archbishop,ZH,-0.671145379
1H4,Archbishop,Y,-1.013972966
1H4,Archbishop,W,0.139529871
1H4,Archbishop,V,-1.009409435
1H4,Archbishop,IY,-2.070624943
1H4,Archbishop,OY,-1.034298694
1H4,Bardolph,OW,-0.4934877
1H4,Bardolph,SH,0.302199947
1H4,Bardolph,TH,-1.195546288
1H4,Bardolph,NG,-0.800743557
1H4,Bardolph,T,-0.459650414
1H4,Bardolph,CH,-1.606915876
1H4,Bardolph,R,0.331717384
1H4,Bardolph,Z,-0.442259902
1H4,Bardolph,UH,-1.555017698
1H4,Bardolph,AW,-0.272872687
1H4,Bardolph,AH,-0.067776013
1H4,Bardolph,AO,1.29822359
1H4,Bardolph,G,-1.346541901
1H4,Bardolph,K,-1.093087897
1H4,Bardolph,N,0.653314676
1H4,Bardolph,M,1.06999278
1H4,Bardolph,S,2.034409291
1H4,Bardolph,AA,2.797507674
1H4,Bardolph,IH,-1.355412813
1H4,Bardolph,UW,2.594526672
1H4,Bardolph,F,0.318450014
1H4,Bardolph,EH,0.555858283
1H4,Bardolph,EY,0.330416391
1H4,Bardolph,D,0.904827815
1H4,Bardolph,ER,-1.102111719
1H4,Bardolph,DH,-0.822439317
1H4,Bardolph,AY,0.65302822
1H4,Bardolph,AE,-1.293377684
1H4,Bardolph,HH,-2.6596874
1H4,Bardolph,JH,2.635147046
1H4,Bardolph,L,-0.203032435
1H4,Bardolph,P,-1.180626643
1H4,Bardolph,B,-0.523672561
1H4,Bardolph,ZH,-0.671145379
1H4,Bardolph,Y,1.894782939
1H4,Bardolph,W,1.205720157
1H4,Bardolph,V,-1.335955406
1H4,Bardolph,IY,-0.988658328
1H4,Bardolph,OY,-1.034298694
1H4,Bedford,OW,-3.540630393
1H4,Bedford,SH,-0.820175695
1H4,Bedford,TH,-0.533258954
1H4,Bedford,NG,0.491806041
1H4,Bedford,T,1.566111262
1H4,Bedford,CH,-0.243341499
1H4,Bedford,R,-0.646841433
1H4,Bedford,Z,-0.770447072
1H4,Bedford,UH,-2.24003318
1H4,Bedford,AW,-1.135650699
1H4,Bedford,AH,-2.766985619
1H4,Bedford,AO,1.963910674
1H4,Bedford,G,1.840426948
1H4,Bedford,K,1.071514929
1H4,Bedford,N,-4.777973726
1H4,Bedford,M,0.367602127
1H4,Bedford,S,1.715068397
1H4,Bedford,AA,1.590821362
1H4,Bedford,IH,0.053844229
1H4,Bedford,UW,0.453889202
1H4,Bedford,F,-0.107584848
1H4,Bedford,EH,-1.033135707
1H4,Bedford,EY,3.140704579
1H4,Bedford,D,2.105113172
1H4,Bedford,ER,-0.836207577
1H4,Bedford,DH,0.010403031
1H4,Bedford,AY,1.409445117
1H4,Bedford,AE,0.433326032
1H4,Bedford,HH,0.066844431
1H4,Bedford,JH,0.366255577
1H4,Bedford,L,1.282844253
1H4,Bedford,P,-4.07845846
1H4,Bedford,B,-0.930972346
1H4,Bedford,ZH,-0.671145379
1H4,Bedford,Y,-0.373624702
1H4,Bedford,W,1.755478166
1H4,Bedford,V,-0.971276879
1H4,Bedford,IY,2.80144653
1H4,Bedford,OY,-1.034298694
1H4,Blunt,OW,-1.839362104
1H4,Blunt,SH,0.360194522
1H4,Blunt,TH,0.045688404
1H4,Blunt,NG,0.679929326
1H4,Blunt,T,0.407374588
1H4,Blunt,CH,2.106902693
1H4,Blunt,R,-0.198576857
1H4,Blunt,Z,-1.762859676
1H4,Blunt,UH,-0.054575286
1H4,Blunt,AW,-0.22829185
1H4,Blunt,AH,0.993367234
1H4,Blunt,AO,-0.093932173
1H4,Blunt,G,0.814458616
1H4,Blunt,K,-0.73827278
1H4,Blunt,N,-0.536844444
1H4,Blunt,M,-1.078199912
1H4,Blunt,S,1.878848159
1H4,Blunt,AA,0.772742301
1H4,Blunt,IH,-0.520218037
1H4,Blunt,UW,0.393079031
1H4,Blunt,F,-0.517160607
1H4,Blunt,EH,0.883613991
1H4,Blunt,EY,0.006157256
1H4,Blunt,D,1.886198541
1H4,Blunt,ER,-0.395073661
1H4,Blunt,DH,0.476153833
1H4,Blunt,AY,-1.039699011
1H4,Blunt,AE,0.813435552
1H4,Blunt,HH,-0.463657031
1H4,Blunt,JH,0.527373318
1H4,Blunt,L,-0.468732505
1H4,Blunt,P,0.412054972
1H4,Blunt,B,-0.686441343
1H4,Blunt,ZH,-0.671145379
1H4,Blunt,Y,0.286922701
1H4,Blunt,W,-1.436216316
1H4,Blunt,V,-0.466701614
1H4,Blunt,IY,-0.3188162
1H4,Blunt,OY,-0.041803037
1H4,Chamberlain,OW,1.116611575
1H4,Chamberlain,SH,-1.71670325
1H4,Chamberlain,TH,3.902591591
1H4,Chamberlain,NG,0.860425922
1H4,Chamberlain,T,0.980755857
1H4,Chamberlain,CH,-1.359426267
1H4,Chamberlain,R,0.389049917
1H4,Chamberlain,Z,-1.148464604
1H4,Chamberlain,UH,-0.378743591
1H4,Chamberlain,AW,-0.666791484
1H4,Chamberlain,AH,0.186358591
1H4,Chamberlain,AO,1.89489163
1H4,Chamberlain,G,-0.037573304
1H4,Chamberlain,K,0.581734668
