phoneme,mean,stdev,variance
AA,0.01764304808615697,0.004241328458986926,1.7988867097012408e-05
Y,0.01192937320123804,0.005816733183334719,3.383438492610726e-05
DH,0.034067928902470235,0.007537427717285379,5.681281659330188e-05
NG,0.007915248257665954,0.00374304011637498,1.4010349312792423e-05
G,0.009023235745324758,0.003048700335639491,9.294573736528345e-06
K,0.02370652791761741,0.005190562380861587,2.6941937829615505e-05
OW,0.015238701069836814,0.004303951381145194,1.8523997491261623e-05
W,0.024570622535049484,0.005454763635859045,2.9754446323090188e-05
CH,0.005456023581142052,0.0023751583002000172,5.641376951009036e-06
UH,0.00536073278103374,0.0023931488283258154,5.727161314517223e-06
Z,0.028708071427616014,0.0056043141494374,3.1408337085584246e-05
D,0.0470753452739934,0.007761715113627854,6.024422150511906e-05
EY,0.016711785346016104,0.003997990685900989,1.5983929524551055e-05
UW,0.021914670116354264,0.005454136987212854,2.9747610275283313e-05
TH,0.006165817914424181,0.0024149034985399523,5.831758907260501e-06
M,0.036283087828778385,0.007457253280728561,5.561062649293688e-05
EH,0.02984959104042505,0.005284249690489926,2.792329479144288e-05
JH,0.004077701605105301,0.002185215585563048,4.775167155387655e-06
V,0.018680861695758968,0.004166387343378225,1.735878349506226e-05
AW,0.009246324643329527,0.003846495798750627,1.4795529929806223e-05
ER,0.024164594060113988,0.0055636891932602265,3.0954637439200635e-05
SH,0.007303167661702403,0.0029568282472994573,8.742833284027981e-06
HH,0.02395304835448713,0.006540494704597395,4.2778070980866566e-05
OY,0.0010900826451357246,0.0010539340824172567,1.1107770500807047e-06
ZH,0.00031986766494982246,0.00047659966856137187,2.2714724407280952e-07
AH,0.08267803189828107,0.010487764990224607,0.00010999321449018096
AE,0.02686008204728217,0.005557503530080078,3.088584548685253e-05
N,0.06756206051098598,0.00699370097611361,4.8911853343292465e-05
T,0.0658696356555082,0.007776678861600574,6.0476734116465204e-05
F,0.019966559848627836,0.004223316355952816,1.7836401042458574e-05
IH,0.05323689452943735,0.007830782939820374,6.132116145058183e-05
AO,0.02030326657178361,0.004564885025812219,2.0838175298884623e-05
R,0.048474829362681965,0.00706879635294996,4.9967881879478654e-05
L,0.040633642171983196,0.006350611783023177,4.0330270018672815e-05
AY,0.02740193550073275,0.00824612066328421,6.79985059934428e-05
S,0.047155354483343744,0.006636021361777193,4.4036779513963235e-05
IY,0.03459615580830407,0.006804477968634404,4.6300920425630983e-05
B,0.018655402375038738,0.004319415494885399,1.8657350217456077e-05
P,0.016150689880283595,0.003959998621415871,1.5681589081615598e-05
