not,'N AA T', s, AA
i,'AY', s, AY
my,'M AY', s, AY
lord,'L AO R D', s, AO
unless,'ɤ N L e S', s, 
i,'AY', s, AY
did,'D IH D', s, IH
bleed,'B L IY D', s, IY
too,'T UW', s, UW
we,'W IY', s, IY
too,'T UW', s, UW
cousin,'K AH Z AH N', s, 
westmoreland,'W e S T M ǝ R ˌ L AW N D', s, 
our,'OW R', s, 
duty,'D UW T IY', s, UW IY
this,'DH IH S', s, IH
for,'F AO R', s, AO
but,'B AH T', s, 
soft,'S AA F T', s, AA
whom,'HH UW M', s, UW
we,'W IY', s, IY
did,'D IH D', s, IH
you,'Y UW', s, UW
not,'N AA T', s, AA
tell,'T EH L', s, 
me,'M IY', s, IY
this,'DH IH S', s, IH
fat,'F AE T', s, AE
man,'M AE N', s, AE
was,'W AA Z', s, AA
dead,'D EH D', s, 
this,'DH IH S', s, IH
is,'IH Z', s, IH
the,'DH AH', s, 
that,'DH AE T', s, AE
i,'AY', s, AY
i,'AY', s, AY
thank,'TH AE NG K', s, AE
your,'Y AO R', s, AO
for,'F AO R', s, AO
this,'DH IH S', s, IH
i,'AY', s, AY
shall,'SH AE L', s, AE
