good,'G UH D', s, UH
sweet,'S W IY T', s, IY
what,'W AH T', s, 
jack,'JH AE K', s, AE
agrees,'ǝ ɡ r IY Z', s, IY
the,'DH AH', s, 
devil,'D IH V ǝ L', s, IH
and,'AH N D', s, 
thee,'DH IY', s, IY
soul,'S OW L', s, 
that,'DH AE T', s, AE
thou,'DH AW', s, 
him,'HH IH M', s, IH
on,'AA N', s, AA
good,'G UH D', s, UH
friday,'F r ǝ IH D EH', s, IH
last,'L AE S T', s, AE
for,'F AO R', s, AO
a,'AH', s, 
cup,'K ɤ P', s, 
of,'AH V', s, 
madeira,'M AH D IH R AH', s, IH
and,'AH N D', s, 
a,'AH', s, 
cold,'K OW L D', s, 
leg,'L EH G', s, 
then,'DH EH N', s, 
art,'AA R T', s, AA
thou,'DH AW', s, 
for,'F AO R', s, AO
with,'W IH DH', s, IH
the,'DH AH', s, 
devil,'D IH V ǝ L', s, IH
but,'B AH T', s, 
my,'M AY', s, AY
lads,'L AE D Z', s, AE
my,'M AY', s, AY
lads,'L AE D Z', s, AE
by,'B AY', s, AY
four,'F AO R', s, AO
at,'AE T', s, AE
pilgrims,'P IH L G R AH M Z', s, IH
going,'G OW IH N', s, IH
to,'T UW', s, UW
canterbury,'K AW N T ǝ R ˌ B r IY', s, IY
with,'W IH DH', s, IH
rich,'R IH CH', s, IH
and,'AH N D', s, 
riding,'r ǝ IH D IH N', s, IH IH
to,'T UW', s, UW
london,'L AH N D AH N', s, 
with,'W IH DH', s, IH
fat,'F AE T', s, AE
purses,'P ɐ R S IH Z', s, IH
i,'AY', s, AY
vizards,'V IH Z ǝ R D Z', s, IH
for,'F AO R', s, AO
you,'Y UW', s, UW
all,'AA L', s, AA
you,'Y UW', s, UW
horses,'HH AO R S AH Z', s, AO
for,'F AO R', s, AO
gadshill,'G AW D Z IH L', s, IH
in,'IH N', s, IH
i,'AY', s, AY
supper,'S ɤ P ǝ R', s, 
in,'IH N', s, IH
we,'W IY', s, IY
do,'D OW', s, 
it,'IH T', s, IH
as,'AE Z', s, AE
as,'AE Z', s, AE
sleep,'S L IY P', s, IY
if,'IH F', s, IH
you,'Y UW', s, UW
will,'W IH L', s, IH
go,'G OW', s, 
i,'AY', s, AY
will,'W IH L', s, IH
stuff,'S T ɤ F', s, 
your,'Y AO R', s, AO
purses,'P ɐ R S IH Z', s, IH
full,'F UH L', s, UH
of,'AH V', s, 
crowns,'K r ǝ UH N Z', s, UH
if,'IH F', s, IH
you,'Y UW', s, UW
will,'W IH L', s, IH
not,'N AA T', s, AA
tarrry,'T AW r ǝ IH', s, IH
at,'AE T', s, AE
hme,'OW M', s, 
and,'AH N D', s, 
be,'B IY', s, IY
you,'Y UW', s, UW
will,'W IH L', s, IH
chops,'CH AA P S', s, AA
i,'AY', s, AY
prithee,'P r e DH IY', s, IY
the,'DH AH', s, 
and,'AH N D', s, 
me,'M IY', s, IY
i,'AY', s, AY
will,'W IH L', s, IH
him,'HH IH M', s, IH
down,'D ǝ UH N', s, UH
reasons,'r EH Z ǝ N Z', s, 
for,'F AO R', s, AO
this,'DH IH S', s, IH
adventre,'ǝ V e N T ǝ R', s, 
that,'DH AE T', s, AE
he,'HH IY', s, IY
shall,'SH AE L', s, AE
go,'G OW', s, 
my,'M AY', s, AY
good,'G UH D', s, UH
sweet,'S W IY T', s, IY
lord,'L AO R D', s, AO
with,'W IH DH', s, IH
us,'AH S', s, 
i,'AY', s, AY
a,'AH', s, 
jest,'JH EH S T', s, 
to,'T UW', s, UW
that,'DH AE T', s, AE
i,'AY', s, AY
cannot,'K AE N AA T', s, AE AA
falstaff,'F AO L S T AE F', s, AO AE
peto,'P IY T OW', s, IY
and,'AH N D', s, 
gadshill,'G AW D Z IH L', s, IH
shall,'SH AE L', s, AE
rob,'R AA B', s, AA
men,'M EH N', s, 
that,'DH AE T', s, AE
we,'W IY', s, IY
and,'AH N D', s, 
i,'AY', s, AY
will,'W IH L', s, IH
not,'N AA T', s, AA
be,'B IY', s, IY
and,'AH N D', s, 
when,'ʍ e N', s, 
the,'DH AH', s, 
if,'IH F', s, IH
you,'Y UW', s, UW
and,'AH N D', s, 
i,'AY', s, AY
do,'D OW', s, 
not,'N AA T', s, AA
rob,'R AA B', s, AA
them,'DH EH M', s, 
cut,'K ɤ T', s, 
this,'DH IH S', s, IH
off,'AO F', s, AO
from,'F R AH M', s, 
my,'M AY', s, AY
whhy,'ʍ ǝ IH', s, IH
we,'W IY', s, IY
will,'W IH L', s, IH
set,'S EH T', s, 
forth,'F AO R TH', s, AO
or,'AO R', s, AO
after,'AW F T ǝ R', s, 
them,'DH EH M', s, 
and,'AH N D', s, 
them,'DH EH M', s, 
a,'AH', s, 
of,'AH V', s, 
wherein,'ʍ EH R IH N', s, IH
it,'IH T', s, IH
is,'IH Z', s, IH
at,'AE T', s, AE
our,'OW R', s, 
pleasre,'P L EH ZH ER', s, 
to,'T UW', s, UW
fail,'F EH L', s, 
and,'AH N D', s, 
then,'DH EH N', s, 
will,'W IH L', s, IH
adventre,'ǝ V e N T ǝ R', s, 
upon,'AH P AA N', s, AA
the,'DH AH', s, 
shall,'SH AE L', s, AE
no,'N OW', s, 
sooner,'S UW N ǝ R', s, UW
achieved,'ǝ T SH IY V D', s, IY
but,'B AH T', s, 
set,'S EH T', s, 
upon,'AH P AA N', s, AA
them,'DH EH M', s, 
tut,'T ɤ T', s, 
our,'OW R', s, 
horses,'HH AO R S AH Z', s, AO
shall,'SH AE L', s, AE
not,'N AA T', s, AA
see,'S IY', s, IY
them,'DH EH M', s, 
in,'IH N', s, IH
the,'DH AH', s, 
wood,'W UH D', s, UH
our,'OW R', s, 
vizards,'V IH Z ǝ R D Z', s, IH
we,'W IY', s, IY
will,'W IH L', s, IH
after,'AW F T ǝ R', s, 
we,'W IY', s, IY
them,'DH EH M', s, 
and,'AH N D', s, 
i,'AY', s, AY
cases,'K EY S AH Z', s, EY
of,'AH V', s, 
for,'F AO R', s, AO
the,'DH AH', s, 
