he, HH IY1 , s, 
is, IH1 Z , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
an, AE1 N , s, 
hour, AW1 ER0 , s, 
ago, ǝ ˈ ɡ OW :, s, 
one, W AH1 N , s, 
horse, HH AO1 R S , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
he, HH IY1 , s, 
brought, B R AO1 T , s, 
even, IY1 V IH0 N , s, 
now, N AW1 , s, 
it, IH1 T , s, 
is, IH1 Z , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
he, HH IY1 , s, 
is, IH1 Z , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
an, AE1 N , s, 
hour, AW1 ER0 , s, 
ago, ǝ ˈ ɡ OW :, s, 
one, W AH1 N , s, 
horse, HH AO1 R S , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
he, HH IY1 , s, 
brought, B R AO1 T , s, 
even, IY1 V IH0 N , s, 
now, N AW1 , s, 
it, IH1 T , s, 
is, IH1 Z , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
he, HH IY1 , s, 
is, IH1 Z , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
an, AE1 N , s, 
hour, AW1 ER0 , s, 
ago, ǝ ˈ ɡ OW :, s, 
one, W AH1 N , s, 
horse, HH AO1 R S , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
he, HH IY1 , s, 
brought, B R AO1 T , s, 
even, IY1 V IH0 N , s, 
now, N AW1 , s, 
it, IH1 T , s, 
is, IH1 Z , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
lord, L AO : R D, s, 
ago, ǝ ˈ ɡ OW :, s, 
lord, L AO : R D, s, 
lord, L AO : R D, s, 
