h,e;HH,IY;s; 
w,a,s;W,AA,Z;s; 
a;AH;s; 
b,l,e,s,t;B,L,EH,S,T;s; 
o,f;AH,V;s; 
th,e;DH,AH;s; 
o,f;AH,V;s; 
u,n,t,o;AH,N,T,UW;s; 
th,e;DH,AH;s; 
f,r,e,n,ch;F,R,EH,N,CH;s; 
th,e;DH,AH;s; 
d,r,ea,d,f,u,l;D,R,EH,D,F,AH,L;s; 
s,o;S,OW;s; 
d,r,ea,d,f,u,l;D,R,EH,D,F,AH,L;s; 
w,i,ll;W,IH,L;s; 
n,o,t;N,AA,T;s; 
b,e;B,IY;s; 
a,s;AE,Z;s; 
w,a,s;W,AA,Z;s; 
h,i,s;HH,IH,Z;s; 
th,e;DH,AH;s; 
o,f;AH,V;s; 
th,e;DH,AH;s; 
l,o,r,d;L,AO,R,D;s; 
o,f;AH,V;s; 
h,o,s,t,s;HH,OW,S,T,S;s; 
h,e;HH,IY;s; 
th,e;DH,AH;s; 
h,i,m;HH,IH,M;s; 
s,o;S,OW;s; 
w,e;W,IY;s; 
th,ou;DH,AW;s; 
a,r,t;AA,R,T;s; 
a,n,d;AH,N,D;s; 
t,o;T,UW;s; 
c,o,mm,a,n,d;K,ǝ,M,AW,N,D;s; 
th,e;DH,AH;s; 
a,n,d;AH,N,D;s; 
r,ea,l,m;R,EH,L,M;s; 
i,s;IH,Z;s; 
sh,e;SH,IY;s; 
th,ee;DH,IY;s; 
i,n;IH,N;s; 
we;AA;s; 
th,a,n;DH,AE,N;s; 
g,o,d;G,AA,D;s; 
o,r;AO,R;s; 
wh,a,t;W,AH,T;s; 
wh,e,r,ei,n;ʍ,EH,R,IH,N;s; 
t,a,l,b,o,t;T,AE,L,B,AH,T;s; 
i,s;IH,Z;s; 
s,o;S,OW;s; 
ea,ch;IY,CH;s; 
h,a,th;HH,AE,TH;s; 
h,i,s;HH,IH,Z;s; 
a,n,d;AH,N,D;s; 
f,u,n,c,t,io,n;F,AH,NG,K,SH,AH,N;s; 
t,o;T,UW;s; 
a,tt,e,n,d;AH,T,EH,N,D;s; 
i;AY;s; 
a,m;AE,M;s; 
l,e,f,t;L,EH,F,T;s; 
ou,t;AW,T;s; 
f,o,r;F,AO,R;s; 
m,e;M,IY;s; 
r,e,m,ai,n,s;r,IH,M,EH,N,Z;s; 
b,u,t;B,AH,T;s; 
i;AY;s; 
w,i,ll;W,IH,L;s; 
n,o,t;N,AA,T;s; 
b,e;B,IY;s; 
th,e;DH,AH;s; 
f,r,o,m;F,R,AH,M;s; 
i;AY;s; 
i,n,t,e,n,d;IH,N,T,EH,N,D;s; 
t,o;T,UW;s; 
s,t,ea,l;S,T,IY,L;s; 
a,n,d;AH,N,D;s; 
s,i,t;S,IH,T;s; 
a,t;AE,T;s; 
s,t,e,r,n;S,T,ɐ,R,N;s; 
o,f;AH,V;s; 
p,u,b,l,i,c;P,ɤ,B,L,IH,K;s; 
wh,a,t;W,AH,T;s; 
m,ea,n,s;M,IY,N,Z;s; 
th,i,s;DH,IH,S;s; 
i;AY;s; 
d,o;D,OW;s; 
th,ou;DH,AW;s; 
m,o,s,t;M,OW,S,T;s; 
u,s,u,r,p,i,n,g;Y,UH,Z,ɐ,R,P,IH,N;s; 
a,n,d;AH,N,D;s; 
n,o,t;N,AA,T;s; 
th,e;DH,AH;s; 
o,r;AO,R;s; 
r,ea,l,m;R,EH,L,M;s; 
s,t,a,n,d;S,T,AE,N,D;s; 
th,ou;DH,AW;s; 
b,a,ck;B,AE,K;s; 
i;AY;s; 
w,i,ll;W,IH,L;s; 
n,o,t;N,AA,T;s; 
b,u,ge;B,AH,JH;s; 
a;AH;s; 
f,oo,t;F,UH,T;s; 
th,i,s;DH,IH,S;s; 
b,e;B,IY;s; 
b,e;B,IY;s; 
th,ou;DH,AW;s; 
c,ai,n;K,EH,N;s; 
t,o;T,UW;s; 
a,b,e,l;EY,B,AH,L;s; 
i,f;IH,F;s; 
th,ou;DH,AW;s; 
w,i,l,t;W,IH,L,T;s; 
d,o;D,OW;s; 
wh,a,t;W,AH,T;s; 
th,ou;DH,AW;s; 
i;AY;s; 
b,ea,r,d;B,EH,R,D;s; 
th,ee;DH,IY;s; 
t,o;T,UW;s; 
th,ou;DH,AW;s; 
w,i,l,t;W,IH,L,T;s; 
th,i,s;DH,IH,S;s; 
th,e;DH,AH;s; 
a;AH;s; 
f,oe;F,OW;s; 
t,o;T,UW;s; 
c,i,t,i,z,e,n,s;S,IH,T,AH,Z,AH,N,Z;s; 
th,a,t;DH,AE,T;s; 
s,t,i,ll;S,T,IH,L;s; 
w,a,r;W,AO,R;s; 
a,n,d;AH,N,D;s; 
n,e,v,e,r;N,e,V,ǝ,R;s; 
y,ou,r;Y,AO,R;s; 
f,r,ee;F,R,IY;s; 
p,u,r,s,e,s;P,ɐ,R,S,IH,Z;s; 
w,i,th;W,IH,DH;s; 
f,i,n,e,s;F,ǝ,IH,N,Z;s; 
th,a,t;DH,AE,T;s; 
s,ee,k,s;S,IY,K,S;s; 
t,o;T,UW;s; 
r,e,l,i,g,io,n;R,IH,L,IH,JH,AH,N;s; 
h,e;HH,IY;s; 
i,s;IH,Z;s; 
o,f;AH,V;s; 
th,e;DH,AH;s; 
r,ea,l,m;R,EH,L,M;s; 
a,n,d;AH,N,D;s; 
ou,t;AW,T;s; 
o,f;AH,V;s; 
th,e;DH,AH;s; 
t,o;T,UW;s; 
c,r,o,w,n;K,r,ǝ,UH,N;s; 
h,i,m,s,e,l,f;HH,IH,M,S,EH,L,F;s; 
a,n,d;AH,N,D;s; 
th,e;DH,AH;s; 
m,ee,t;M,IY,T;s; 
t,o;T,UW;s; 
c,o,s,t;K,AA,S,T;s; 
b,e;B,IY;s; 
i;AY;s; 
w,i,ll;W,IH,L;s; 
f,o,r;F,AO,R;s; 
th,i,s;DH,IH,S;s; 
w,o,r,k;W,AO,R,K;s; 
g,ua,r,d;G,AA,R,D;s; 
f,o,r;F,AO,R;s; 
i;AY;s; 
i,n,t,e,n,d;IH,N,T,EH,N,D;s; 
t,o;T,UW;s; 
i,t;IH,T;s; 
th,ou;DH,AW;s; 
w,i,th;W,IH,DH;s; 
d,ee,p;D,IY,P;s; 
l,i,n,e,s;L,ǝ,IH,N,Z;s; 
w,i,th;W,IH,DH;s; 
wr,i,tt,e,n;R,IH,T,AH,N;s; 
o,f;AH,V;s; 
i,f;IH,F;s; 
th,ou;DH,AW;s; 
o,r;AO,R;s; 
t,o;T,UW;s; 
u,n,t,o;AH,N,T,UW;s; 
m,y;M,AY;s; 
d,o;D,OW;s; 
i,t;IH,T;s; 
s,u,dd,e,n,l,y;S,AH,D,AH,N,L,IY;s; 
a,s;AE,Z;s; 
i;AY;s; 
w,i,th;W,IH,DH;s; 
s,u,dd,e,n;S,AH,D,AH,N;s; 
a,n,d;AH,N,D;s; 
s,p,ee,ch;S,P,IY,CH;s; 
t,o;T,UW;s; 
wh,a,t;W,AH,T;s; 
th,ou;DH,AW;s; 
o,b,j,e,c,t;AA,B,JH,EH,K,T;s; 
i;AY;s; 
d,o;D,OW;s; 
t,o;T,UW;s; 
m,e;M,IY;s; 
wh,a,t;W,AH,T;s; 
