open,'OW P ǝ N',s,''
the,'DH AH',s,''
unto,'AH N T UW',s,'UW'
the,'DH AH',s,''
lord,'L AO R D',s,'AO'
or,'AO R',s,'AO'
burst,'B ɐ R S T',s,''
them,'DH EH M',s,''
open,'OW P ǝ N',s,''
if,'IH F',s,'IH'
that,'DH AE T',s,'AE'
you,'Y UW',s,'UW'
not,'N AA T',s,'AA'
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
we,'W IY',s,'IY'
your,'Y AO R',s,'AO'
to,'T UW',s,'UW'
be,'B IY',s,'IY'
a,'AH',s,''
man,'M AE N',s,'AE'
and,'AH N D',s,''
and,'AH N D',s,''
for,'F AO R',s,'AO'
your,'Y AO R',s,'AO'
inferior,'IH N F IH R IY ER',s,'IH IH IY'
to,'T UW',s,'UW'
but,'B AH T',s,''
to,'T UW',s,'UW'
his,'HH IH Z',s,'IH'
majesty,'M AE JH AH S T IY',s,'AE IY'
and,'AH N D',s,''
that,'DH AE T',s,'AE'
we,'W IY',s,'IY'
will,'W IH L',s,'IH'
suffer,'S ɤ F ǝ R',s,''
a,'AH',s,''
so,'S OW',s,''
a,'AH',s,''
of,'AH V',s,''
the,'DH AH',s,''
to,'T UW',s,'UW'
be,'B IY',s,'IY'
by,'B AY',s,'AY'
an,'AE N',s,'AE'
we,'W IY',s,'IY'
and,'AH N D',s,''
our,'OW R',s,''
and,'AH N D',s,''
children,'CH IH L D R AH N',s,'IH'
all,'AA L',s,'AA'
will,'W IH L',s,'IH'
and,'AH N D',s,''
our,'OW R',s,''
bodies,'B AA D IY Z',s,'AA IY'
by,'B AY',s,'AY'
foes,'F OW Z',s,''
