this,'DH IH S',s,'IH'
heart,'HH AA R T',s,'AA'
outright,'ǝ UH T r ǝ IH T',s,'UH IH'
i,'AY',s,'AY'
every,'e V r ǝ IH',s,'IH'
country,'K AH N T R IY',s,'IY'
far,'F AA R',s,'AA'
and,'AH N D',s,''
near,'N IY R',s,'IY'
and,'AH N D',s,''
it,'IH T',s,'IH'
is,'IH Z',s,'IH'
my,'M AY',s,'AY'
to,'T UW',s,'UW'
thee,'DH IY',s,'IY'
out,'AW T',s,''
must,'M AH S T',s,''
i,'AY',s,'AY'
behold,'B IH HH OW L D',s,'IH'
death,'D EH TH',s,''
sweet,'S W IY T',s,'IY'
with,'W IH DH',s,'IH'
thee,'DH IY',s,'IY'
out,'AW T',s,''
lords,'L AO R D Z',s,'AO'
an,'AE N',s,'AE'
you,'Y UW',s,'UW'
not,'N AA T',s,'AA'
so,'S OW',s,''
i,'AY',s,'AY'
did,'D IH D',s,'IH'
beget,'B IH G EH T',s,'IH'
all,'AA L',s,'AA'
the,'DH AH',s,''
parish,'P AE R IH SH',s,'AE IH'
yet,'Y EH T',s,''
can,'K AE N',s,'AE'
testify,'T EH S T AH F AY',s,'AY'
she,'SH IY',s,'IY'
was,'W AA Z',s,'AA'
the,'DH AH',s,''
fruit,'F R UW T',s,'UW'
of,'AH V',s,''
my,'M AY',s,'AY'
that,'DH AE T',s,'AE'
thou,'DH AW',s,''
wilt,'W IH L T',s,'IH'
be,'B IY',s,'IY'
so,'S OW',s,''
god,'G AA D',s,'AA'
thou,'DH AW',s,''
art,'AA R T',s,'AA'
a,'AH',s,''
collop,'K ɒ L ǝ P',s,''
of,'AH V',s,''
my,'M AY',s,'AY'
flesh,'F L EH SH',s,''
and,'AH N D',s,''
for,'F AO R',s,'AO'
i,'AY',s,'AY'
shed,'SH EH D',s,''
a,'AH',s,''
tear,'T IY R',s,'IY'
me,'M IY',s,'IY'
not,'N AA T',s,'AA'
i,'AY',s,'AY'
prithee,'P r e DH IY',s,'IY'
true,'T R UW',s,'UW'
i,'AY',s,'AY'
a,'AH',s,''
to,'T UW',s,'UW'
the,'DH AH',s,''
priest,'P R IY S T',s,'IY'
the,'DH AH',s,''
morn,'M AO R N',s,'AO'
that,'DH AE T',s,'AE'
i,'AY',s,'AY'
was,'W AA Z',s,'AA'
wedded,'W EH D AH D',s,''
to,'T UW',s,'UW'
down,'D ǝ UH N',s,'UH'
and,'AH N D',s,''
my,'M AY',s,'AY'
good,'G UH D',s,'UH'
my,'M AY',s,'AY'
wilt,'W IH L T',s,'IH'
thou,'DH AW',s,''
not,'N AA T',s,'AA'
stoop,'S T UW P',s,'UW'
be,'B IY',s,'IY'
the,'DH AH',s,''
of,'AH V',s,''
nativity,'N AH T IH V AH T IY',s,'IH IY'
i,'AY',s,'AY'
the,'DH AH',s,''
milk,'M IH L K',s,'IH'
thee,'DH IY',s,'IY'
when,'ʍ e N',s,''
thou,'DH AW',s,''
breast,'B R EH S T',s,''
had,'HH AE D',s,'AE'
been,'B IH N',s,'IH'
a,'AH',s,''
for,'F AO R',s,'AO'
or,'AO R',s,'AO'
when,'ʍ e N',s,''
thou,'DH AW',s,''
keep,'K IY P',s,'IY'
my,'M AY',s,'AY'
afield,'AH F IY L D',s,'IY'
i,'AY',s,'AY'
wish,'W IH SH',s,'IH'
ravenous,'R AE V AH N AH S',s,'AE'
wolf,'W UH L F',s,'UH'
had,'HH AE D',s,'AE'
eaten,'e T ǝ N',s,''
thee,'DH IY',s,'IY'
dost,'D AA S T',s,'AA'
thou,'DH AW',s,''
drab,'D R AE B',s,'AE'
o,'OW',s,''
is,'IH Z',s,'IH'
too,'T UW',s,'UW'
good,'G UH D',s,'UH'
