th,u,s;DH,ɤ,S;s; 
y,ou;Y,UW;s; UW
ou,r;OW,R;s; 
a,n,d;AH,N,D;s; 
ou,r;OW,R;s; 
m,ea,n,s;M,IY,N,Z;s; IY
a,n,d;AH,N,D;s; 
m,y;M,AY;s; AY
m,o,s,t;M,OW,S,T;s; 
f,r,ie,n,d,s;F,R,EH,N,D,Z;s; 
i;AY;s; AY
y,ou;Y,UW;s; UW
a,ll;AA,L;s; AA
s,p,ea,k;S,P,IY,K;s; IY
y,ou,r;Y,AO,R;s; AO
o,f;AH,V;s; 
ou,r;OW,R;s; 
a,n,d;AH,N,D;s; 
l,o,r,d;L,AO,R,D;s; AO
m,a,r,sh,a,l;M,AA,R,SH,AA,L;s; AA,AA
wh,a,t;W,AH,T;s; 
y,ou;Y,UW;s; UW
t,o;T,UW;s; UW
i,t;IH,T;s; IH
v,e,r,y;V,EH,R,IY;s; IY
t,r,ue;T,R,UW;s; UW
l,o,r,d;L,AO,R,D;s; AO
f,o,r;F,AO,R;s; AO
i,n,d,ee,d;IH,N,D,IY,D;s; IH,IY
i,t;IH,T;s; IH
w,a,s;W,AA,Z;s; AA
a,t;AE,T;s; AE
sh,h,r,e,w,s,b,u,r,y;SH,r,OW,Z,B,ǝ,ˌ,r,ǝ,IH;s; IH
th,a,t;DH,AE,T;s; AE
h,e;HH,IY;s; IY
h,i,s;HH,IH,Z;s; IH
a,n,d;AH,N,D;s; 
a,g,ai,n,s,t;AH,G,EH,N,S,T;s; 
u,s;AH,S;s; 
i,n;IH,N;s; IH
f,u,ll;F,UH,L;s; UH
n,ee,d;N,IY,D;s; IY
n,o,t;N,AA,T;s; AA
t,o;T,UW;s; UW
b,e;B,IY;s; IY
d,r,ea,d,e,d;D,R,EH,D,IH,D;s; IH
l,e,t;L,EH,T;s; 
u,s;AH,S;s; 
o,n;AA,N;s; AA
a,n,d;AH,N,D;s; 
p,u,b,l,i,sh;P,AH,B,L,IH,SH;s; IH
th,e;DH,AH;s; 
o,f;AH,V;s; 
ou,r;OW,R;s; 
a,r,m,s;AA,R,M,Z;s; AA
th,e;DH,AH;s; 
c,o,mm,o,n,w,ea,l,th;K,AA,M,AH,N,W,EH,L,TH;s; AA
i,s;IH,Z;s; IH
s,i,ck;S,IH,K;s; IH
o,f;AH,V;s; 
th,ei,r;DH,EH,R;s; 
