y,ou;Y,UW;s; UW
w,e,ll;W,EH,L;s; 
m,y;M,AY;s; AY
c,ou,s,i,n;K,AH,Z,AH,N;s; 
g,oo,d;G,UH,D;s; UH
t,o;T,UW;s; UW
y,ou;Y,UW;s; UW
l,o,r,d;L,AO,R,D;s; AO
a,n,d;AH,N,D;s; 
s,o;S,OW;s; 
t,o;T,UW;s; UW
y,ou;Y,UW;s; UW
l,o,r,d;L,AO,R,D;s; AO
a,n,d;AH,N,D;s; 
t,o;T,UW;s; UW
a,ll;AA,L;s; AA
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
o,f;AH,V;s; 
y,o,r,k;Y,AO,R,K;s; AO
i,t;IH,T;s; IH
b,e,tt,e,r;B,e,T,ə,R;s; 
w,i,th;W,IH,DH;s; IH
y,ou;Y,UW;s; UW
wh,e,n;ʍ,e,N;s; 
th,a,t;DH,AE,T;s; AE
y,ou,r;Y,AO,R;s; AO
f,l,o,ck;F,L,AA,K;s; AA
a,ss,e,m,b,l,e,d;AH,S,EH,M,B,AH,L,D;s; 
b,y;B,AY;s; AY
th,e;DH,AH;s; 
b,e,ll;B,EH,L;s; 
e,n,c,i,r,c,l,e,d;e,N,S,ɐ,R,K,ǝ,L,D;s; 
y,ou;Y,UW;s; UW
t,o;T,UW;s; UW
w,i,th;W,IH,DH;s; IH
r,e,v,e,r,e,ce;r,e,V,r,ǝ,N,S;s; 
y,ou,r;Y,AO,R;s; AO
o,n;AA,N;s; AA
th,e;DH,AH;s; 
h,o,l,y;HH,OW,L,IY;s; IY
th,a,n;DH,AE,N;s; AE
t,o;T,UW;s; UW
s,ee;S,IY;s; IY
y,ou;Y,UW;s; UW
a,n;AE,N;s; AE
m,a,n;M,AE,N;s; AE
a;AH;s; 
o,f;AH,V;s; 
r,e,b,e,l,s;R,EH,B,AH,L,Z;s; 
w,i,th;W,IH,DH;s; IH
y,ou,r;Y,AO,R;s; AO
d,r,u,m;D,R,AH,M;s; 
th,e;DH,AH;s; 
t,o;T,UW;s; UW
a,n,d;AH,N,D;s; 
t,o;T,UW;s; UW
d,ea,th;D,EH,TH;s; 
th,a,t;DH,AE,T;s; AE
m,a,n;M,AE,N;s; AE
th,a,t;DH,AE,T;s; AE
s,i,t,s;S,IH,T,S;s; IH
w,i,th,i,n;W,IH,DH,IH,N;s; IH,IH
a;AH;s; 
h,ea,r,t;HH,AA,R,T;s; AA
a,n,d;AH,N,D;s; 
i,n;IH,N;s; IH
th,e;DH,AH;s; 
o,f;AH,V;s; 
h,i,s;HH,IH,Z;s; IH
h,e;HH,IY;s; IY
th,e;DH,AH;s; 
o,f;AH,V;s; 
th,e;DH,AH;s; 
wh,a,t;W,AH,T;s; 
h,e;HH,IY;s; IY
s,e,t;S,EH,T;s; 
i,n;IH,N;s; IH
o,f;AH,V;s; 
g,r,ea,t,n,e,ss;G,r,e,T,N,ǝ,S;s; 
w,i,th;W,IH,DH;s; IH
y,ou;Y,UW;s; UW
l,o,r,d;L,AO,R,D;s; AO
b,i,sh,o,p;B,IH,SH,AH,P;s; IH
i,t;IH,T;s; IH
i,s;IH,Z;s; IH
e,v,e,n;IY,V,IH,N;s; IY,IH
s,o;S,OW;s; 
wh,o;HH,UW;s; UW
h,a,th;HH,AE,TH;s; AE
n,o,t;N,AA,T;s; AA
i,t;IH,T;s; IH
s,p,o,k,e,n;S,P,IY,K,ǝ,N;s; IY
d,ee,p;D,IY,P;s; IY
y,ou;Y,UW;s; UW
w,re;W,ER;s; 
w,i,th,i,n;W,IH,DH,IH,N;s; IH,IH
th,e;DH,AH;s; 
b,oo,k,s;B,UH,K,S;s; UH
o,f;AH,V;s; 
g,o,d;G,AA,D;s; AA
t,o;T,UW;s; UW
u,s;AH,S;s; 
th,e;DH,AH;s; 
i,n;IH,N;s; IH
h,i,s;HH,IH,Z;s; IH
p,a,r,l,ia,m,e,n,t;P,AA,R,L,AH,M,AH,N,T;s; AA
t,o;T,UW;s; UW
u,s;AH,S;s; 
i,m,a,g,i,n,e,d;IH,M,AW,D,ZH,IH,N,D;s; IH,IH
o,f;AH,V;s; 
g,o,d;G,AA,D;s; AA
h,i,m,s,e,l,f;HH,IH,M,S,EH,L,F;s; IH
th,e;DH,AH;s; 
v,e,r,y;V,EH,R,IY;s; IY
a,n,d;AH,N,D;s; 
b,e,t,w,ee,n;B,IH,T,W,IY,N;s; IH,IY
th,e;DH,AH;s; 
th,e;DH,AH;s; 
o,f;AH,V;s; 
h,ea,v,e,n;HH,EH,V,AH,N;s; 
a,n,d;AH,N,D;s; 
ou,r;OW,R;s; 
d,u,ll;D,ɤ,L;s; 
o;OW;s; 
wh,o;HH,UW;s; UW
sh,a,ll;SH,AE,L;s; AE
b,u,t;B,AH,T;s; 
y,ou;Y,UW;s; UW
th,e;DH,AH;s; 
r,e,v,e,r,e,ce;r,e,V,r,ǝ,N,S;s; 
o,f;AH,V;s; 
y,ou,r;Y,AO,R;s; AO
e,m,p,l,o,y;e,M,P,L,ǝ,IH;s; IH
th,e;DH,AH;s; 
a,n,d;AH,N,D;s; 
o,f;AH,V;s; 
h,ea,v,e,n;HH,EH,V,AH,N;s; 
a,s;AE,Z;s; AE
a;AH;s; 
f,a,v,o,r,te;F,EY,V,ER,IH,T;s; EY,IH
d,o,th;D,AO,TH;s; AO
h,i,s;HH,IH,Z;s; IH
i,n;IH,N;s; IH
