g,o;G,OW;s; 
c,a,ll;K,AO,L;s; AO
th,e;DH,AH;s; 
o,f;AH,V;s; 
s,u,rr,e,y;S,ɤ,r,ǝ,IH;s; IH
a,n,d;AH,N,D;s; 
o,f;AH,V;s; 
b,u,t;B,AH,T;s; 
b,i,d;B,IH,D;s; IH
th,e,m;DH,EH,M;s; 
a,n,d;AH,N,D;s; 
w,e,ll;W,EH,L;s; 
o,f;AH,V;s; 
th,e,m;DH,EH,M;s; 
g,oo,d;G,UH,D;s; UH
s,p,ee,d;S,P,IY,D;s; IY
o,f;AH,V;s; 
m,y;M,AY;s; AY
p,oo,r,e,s,t;P,OW,r,ǝ,S,T;s; 
s,u,b,j,e,c,t,s;S,AH,B,JH,IH,K,T,S;s; IH
a,t;AE,T;s; AE
th,i,s;DH,IH,S;s; IH
a,s,l,ee,p;AH,S,L,IY,P;s; IY
o;OW;s; 
s,l,ee,p;S,L,IY,P;s; IY
o;OW;s; 
s,l,ee,p;S,L,IY,P;s; IY
s,o,f,t;S,AA,F,T;s; AA
n,u,se;N,ER,S;s; 
i;AY;s; AY
th,ee;DH,IY;s; IY
th,a,t;DH,AE,T;s; AE
th,ou;DH,AW;s; 
n,o;N,OW;s; 
w,i,l,t;W,IH,L,T;s; IH
m,y;M,AY;s; AY
d,o,w,n;D,ǝ,UH,N;s; UH
a,n,d;AH,N,D;s; 
s,t,ee,p;S,T,IY,P;s; IY
m,y;M,AY;s; AY
s,e,n,s,e,s;S,EH,N,S,IH,Z;s; IH
i,n;IH,N;s; IH
wh,h,y;ʍ,ǝ,IH;s; IH
s,l,ee,p;S,L,IY,P;s; IY
th,ou;DH,AW;s; 
i,n;IH,N;s; IH
c,r,i,b,s;K,R,IH,B,Z;s; IH
u,p,o,n;AH,P,AA,N;s; AA
p,a,ll,e,t,s;P,AW,L,ǝ,T,S;s; 
th,ee;DH,IY;s; IY
a,n,d;AH,N,D;s; 
w,i,th;W,IH,DH;s; IH
