god,'G AA D', s, AA
i,'AY', s, AY
am,'AE M', s, AE
faith,'F EY TH', s, EY
it,'IH T', s, IH
does,'D AH Z', s, 
me,'M IY', s, IY
it,'IH T', s, IH
discolors,'D IH S K AH L ER Z', s, IH
the,'DH AH', s, 
of,'AH V', s, 
my,'M AY', s, AY
greatness,'G r e T N ǝ S', s, 
to,'T UW', s, UW
it,'IH T', s, IH
doth,'D AO TH', s, AO
it,'IH T', s, IH
not,'N AA T', s, AA
vilely,'V ǝ IH L ǝ IH', s, IH IH
in,'IH N', s, IH
me,'M IY', s, IY
to,'T UW', s, UW
small,'S M AO L', s, AO
beer,'B IH R', s, IH
then,'DH EH N', s, 
my,'M AY', s, AY
was,'W AA Z', s, AA
not,'N AA T', s, AA
princely,'P r IH N S L ǝ IH', s, IH IH
got,'G AA T', s, AA
for,'F AO R', s, AO
by,'B AY', s, AY
my,'M AY', s, AY
troth,'T R OW TH', s, 
i,'AY', s, AY
do,'D OW', s, 
the,'DH AH', s, 
poor,'P UH R', s, UH
creatre,'K R IY CH ER', s, IY
small,'S M AO L', s, AO
beer,'B IH R', s, IH
but,'B AH T', s, 
indeed,'IH N D IY D', s, IH IY
me,'M IY', s, IY
out,'AW T', s, 
of,'AH V', s, 
with,'W IH DH', s, IH
my,'M AY', s, AY
greatness,'G r e T N ǝ S', s, 
what,'W AH T', s, 
a,'AH', s, 
is,'IH Z', s, IH
it,'IH T', s, IH
to,'T UW', s, UW
me,'M IY', s, IY
to,'T UW', s, UW
or,'AO R', s, AO
to,'T UW', s, UW
or,'AO R', s, AO
to,'T UW', s, UW
pair,'P EH R', s, 
of,'AH V', s, 
silk,'S IH L K', s, IH
thou,'DH AW', s, 
and,'AH N D', s, 
that,'DH AE T', s, AE
wre,'W ER', s, 
to,'T UW', s, UW
bear,'B EH R', s, 
the,'DH AH', s, 
inventory,'IH N V ǝ N T r ǝ IH', s, IH IH
of,'AH V', s, 
as,'AE Z', s, AE
for,'F AO R', s, AO
and,'AH N D', s, 
another,'ǝ N ɤ DH ǝ R', s, 
for,'F AO R', s, AO
but,'B AH T', s, 
that,'DH AE T', s, AE
the,'DH AH', s, 
better,'B e T ə R', s, 
than,'DH AE N', s, AE
i,'AY', s, AY
for,'F AO R', s, AO
it,'IH T', s, IH
is,'IH Z', s, IH
a,'AH', s, 
ebb,'EH B', s, 
of,'AH V', s, 
linen,'L IH N AH N', s, IH
with,'W IH DH', s, IH
thee,'DH IY', s, IY
when,'ʍ e N', s, 
thou,'DH AW', s, 
not,'N AA T', s, AA
racket,'R AE K IH T', s, AE IH
as,'AE Z', s, AE
thou,'DH AW', s, 
hast,'HH AE S T', s, AE
not,'N AA T', s, AA
a,'AH', s, 
great,'G r e T', s, 
the,'DH AH', s, 
rest,'R EH S T', s, 
of,'AH V', s, 
the,'DH AH', s, 
countries,'K AH N T R IY Z', s, IY
a,'AH', s, 
shift,'SH IH F T', s, IH
to,'T UW', s, UW
eat,'IY T', s, IY
up,'AH P', s, 
holland,'HH AA L AH N D', s, AA
and,'AH N D', s, 
god,'G AA D', s, AA
that,'DH AE T', s, AE
out,'AW T', s, 
the,'DH AH', s, 
of,'AH V', s, 
linen,'L IH N AH N', s, IH
shall,'SH AE L', s, AE
inherit,'IH N HH EH R AH T', s, IH
his,'HH IH Z', s, IH
but,'B AH T', s, 
the,'DH AH', s, 
the,'DH AH', s, 
children,'CH IH L D R AH N', s, IH
not,'N AA T', s, AA
in,'IH N', s, IH
the,'DH AH', s, 
fault,'F AO L T', s, AO
whereupon,'ʍ EH R ǝ P ɒ N', s, 
the,'DH AH', s, 
increases,'IH N K R IY S AH Z', s, IH IY
and,'AH N D', s, 
mightily,'M ǝ IH T IH L ǝ IH', s, IH IH IH
shall,'SH AE L', s, AE
i,'AY', s, AY
tell,'T EH L', s, 
thee,'DH IY', s, IY
it,'IH T', s, IH
shall,'SH AE L', s, AE
seve,'S ER V', s, 
wits,'W IH T S', s, IH
of,'AH V', s, 
no,'N OW', s, 
than,'DH AE N', s, AE
marrry,'M AW r ǝ IH', s, IH
i,'AY', s, AY
tell,'T EH L', s, 
thee,'DH IY', s, IY
it,'IH T', s, IH
is,'IH Z', s, IH
not,'N AA T', s, AA
meet,'M IY T', s, IY
that,'DH AE T', s, AE
i,'AY', s, AY
be,'B IY', s, IY
sad,'S AE D', s, AE
my,'M AY', s, AY
is,'IH Z', s, IH
i,'AY', s, AY
tell,'T EH L', s, 
to,'T UW', s, UW
thee,'DH IY', s, IY
as,'AE Z', s, AE
to,'T UW', s, UW
it,'IH T', s, IH
pleases,'P L IY Z IH Z', s, IY IH
me,'M IY', s, IY
for,'F AO R', s, AO
fault,'F AO L T', s, AO
of,'AH V', s, 
a,'AH', s, 
better,'B e T ə R', s, 
to,'T UW', s, UW
call,'K AO L', s, AO
my,'M AY', s, AY
friend,'F R EH N D', s, 
i,'AY', s, AY
be,'B IY', s, IY
sad,'S AE D', s, AE
and,'AH N D', s, 
sad,'S AE D', s, AE
indeed,'IH N D IY D', s, IH IY
too,'T UW', s, UW
by,'B AY', s, AY
this,'DH IH S', s, IH
thou,'DH AW', s, 
me,'M IY', s, IY
as,'AE Z', s, AE
far,'F AA R', s, AA
in,'IH N', s, IH
the,'DH AH', s, 
book,'B UH K', s, UH
as,'AE Z', s, AE
thou,'DH AW', s, 
and,'AH N D', s, 
falstaff,'F AO L S T AE F', s, AO AE
for,'F AO R', s, AO
and,'AH N D', s, 
let,'L EH T', s, 
the,'DH AH', s, 
end,'EH N D', s, 
the,'DH AH', s, 
man,'M AE N', s, AE
but,'B AH T', s, 
i,'AY', s, AY
tell,'T EH L', s, 
thee,'DH IY', s, IY
my,'M AY', s, AY
heart,'HH AA R T', s, AA
bleeds,'B L IY D Z', s, IY
that,'DH AE T', s, AE
my,'M AY', s, AY
is,'IH Z', s, IH
so,'S OW', s, 
sick,'S IH K', s, IH
and,'AH N D', s, 
company,'K AH M P AH N IY', s, IY
as,'AE Z', s, AE
thou,'DH AW', s, 
art,'AA R T', s, AA
hath,'HH AE TH', s, AE
in,'IH N', s, IH
reason,'r EH Z ǝ N', s, 
taken,'T EY K AH N', s, EY
from,'F R AH M', s, 
me,'M IY', s, IY
all,'AA L', s, AA
of,'AH V', s, 
what,'W AH T', s, 
thou,'DH AW', s, 
think,'TH IH NG K', s, IH
of,'AH V', s, 
me,'M IY', s, IY
if,'IH F', s, IH
i,'AY', s, AY
weep,'W IY P', s, IY
it,'IH T', s, IH
be,'B IY', s, IY
every,'e V r ǝ IH', s, IH
and,'AH N D', s, 
thou,'DH AW', s, 
art,'AA R T', s, AA
a,'AH', s, 
blessed,'B L e S IH D', s, IH
to,'T UW', s, UW
think,'TH IH NG K', s, IH
as,'AE Z', s, AE
every,'e V r ǝ IH', s, IH
man,'M AE N', s, AE
thinks,'TH IH NG K S', s, IH
never,'N e V ǝ R', s, 
a,'AH', s, 
in,'IH N', s, IH
the,'DH AH', s, 
keeps,'K IY P S', s, IY
the,'DH AH', s, 
