i;AY;s; AY
r,a,n;R,AE,N;s; AE
f,r,o,m;F,R,AH,M;s; 
sh,h,r,e,w,s,b,u,r,y;SH,r,OW,Z,B,ǝ,ˌ,r,ǝ,IH;s; IH
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
d,ea,th;D,EH,TH;s; 
p,u,t;P,UH,T;s; UH
o,n;AA,N;s; AA
h,i,s;HH,IH,Z;s; IH
m,a,s,k;M,AW,S,K;s; 
t,o;T,UW;s; UW
ou,r;OW,R;s; 
p,a,r,t,y;P,AA,R,T,IY;s; AA,IY
d,ou,g,l,a,s;D,AH,G,L,AH,S;s; 
i,s;IH,Z;s; IH
a,n,d;AH,N,D;s; 
y,ou,r;Y,AO,R;s; AO
y,e,t;Y,EH,T;s; 
b,u,t;B,AH,T;s; 
f,o,r;F,AO,R;s; AO
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
y,ou,r;Y,AO,R;s; AO
s,o,n;S,AO,̃;s; AO
y,ou;Y,UW;s; UW
t,oo;T,UW;s; UW
g,r,ea,t;G,r,e,T;s; 
t,o;T,UW;s; UW
b,e;B,IY;s; IY
b,y;B,AY;s; AY
m,e;M,IY;s; IY
y,ou,r;Y,AO,R;s; AO
s,p,i,r,i,t;S,P,IH,R,AH,T;s; IH
i,s;IH,Z;s; IH
t,oo;T,UW;s; UW
t,r,ue;T,R,UW;s; UW
y,ou,r;Y,AO,R;s; AO
f,ea,r,s;F,IY,R,Z;s; IY
t,oo;T,UW;s; UW
c,e,r,t,ai,n;S,ɐ,R,T,ǝ,N;s; 
i;AY;s; AY
a,m;AE,M;s; AE
i;AY;s; AY
y,ou;Y,UW;s; UW
t,o;T,UW;s; UW
th,a,t;DH,AE,T;s; AE
i;AY;s; AY
t,o;T,UW;s; UW
g,o,d;G,AA,D;s; AA
i;AY;s; AY
h,a,d;HH,AE,D;s; AE
n,o,t;N,AA,T;s; AA
s,ee,n;S,IY,N;s; IY
b,u,t;B,AH,T;s; 
h,i,m;HH,IH,M;s; IH
i,n;IH,N;s; IH
b,l,oo,d,y;B,L,AH,D,IY;s; IY
f,ai,n,t;F,EH,N,T;s; 
w,ea,r,ie,d;W,IH,R,IY,D;s; IH,IY
a,n,d;AH,N,D;s; 
t,o;T,UW;s; UW
m,o,n,m,ou,th;M,ɒ,N,M,ǝ,TH;s; 
s,w,i,f,t;S,W,IH,F,T;s; IH
wr,a,th;R,AE,TH;s; AE
b,ea,t;B,IY,T;s; IY
d,o,w,n;D,ǝ,UH,N;s; UH
th,e;DH,AH;s; 
t,o;T,UW;s; UW
th,e;DH,AH;s; 
f,r,o,m;F,R,AH,M;s; 
w,i,th;W,IH,DH;s; IH
h,e;HH,IY;s; IY
n,e,v,e,r;N,e,V,ǝ,R;s; 
u,p;AH,P;s; 
i,n;IH,N;s; IH
f,e,w;F,Y,UW;s; UW
h,i,s;HH,IH,Z;s; IH
d,ea,th;D,EH,TH;s; 
s,p,i,r,i,t;S,P,IH,R,AH,T;s; IH
l,e,n,t;L,EH,N,T;s; 
a;AH;s; 
e,v,e,n;IY,V,IH,N;s; IY,IH
t,o;T,UW;s; UW
th,e;DH,AH;s; 
d,u,ll,e,s,t;D,AH,L,AH,S,T;s; 
p,ea,s,a,n,t;P,EH,Z,AH,N,T;s; 
i,n;IH,N;s; IH
h,i,s;HH,IH,Z;s; IH
c,a,m,p;K,AE,M,P;s; AE
b,ei,n,g;B,IY,IH,NG;s; IY,IH
b,r,ui,t,e,d;B,r,UW,T,IH,D;s; UW,IH
t,oo,k;T,UH,K;s; UH
a,n,d;AH,N,D;s; 
f,r,o,m;F,R,AH,M;s; 
th,e;DH,AH;s; 
i,n;IH,N;s; IH
h,i,s;HH,IH,Z;s; IH
t,r,oo,p,s;T,R,UW,P,S;s; UW
f,o,r;F,AO,R;s; AO
f,r,o,m;F,R,AH,M;s; 
h,i,s;HH,IH,Z;s; IH
w,a,s;W,AA,Z;s; AA
h,i,s;HH,IH,Z;s; IH
p,a,r,t,y;P,AA,R,T,IY;s; AA,IY
i,n;IH,N;s; IH
h,i,m;HH,IH,M;s; IH
a,b,a,t,e,d;ǝ,B,EH,T,IH,D;s; IH
a,ll;AA,L;s; AA
th,e;DH,AH;s; 
r,e,s,t;R,EH,S,T;s; 
t,u,r,n,e,d;T,ɐ,R,N,IH,D;s; IH
o,n;AA,N;s; AA
d,u,ll;D,ɤ,L;s; 
a,n,d;AH,N,D;s; 
h,ea,v,y;e,V,ǝ,IH;s; IH
l,ea,d;L,EH,D;s; 
a,n,d;AH,N,D;s; 
a,s;AE,Z;s; AE
th,e;DH,AH;s; 
h,ea,v,y;e,V,ǝ,IH;s; IH
i,n;IH,N;s; IH
i,t,s,e,l,f;IH,T,S,EH,L,F;s; IH
u,p,o,n;AH,P,AA,N;s; AA
w,i,th;W,IH,DH;s; IH
g,r,ea,t,e,s,t;G,r,e,T,ǝ,S,T;s; 
s,p,ee,d;S,P,IY,D;s; IY
s,o;S,OW;s; 
d,i,d;D,IH,D;s; IH
ou,r;OW,R;s; 
m,e,n;M,EH,N;s; 
h,ea,v,y;e,V,ǝ,IH;s; IH
i,n;IH,N;s; IH
l,o,ss;L,AO,S;s; AO
l,e,n,d;L,EH,N,D;s; 
t,o;T,UW;s; UW
th,i,s;DH,IH,S;s; IH
w,i,th;W,IH,DH;s; IH
th,ei,r;DH,EH,R;s; 
f,ea,r;F,IY,R;s; IY
th,a,t;DH,AE,T;s; AE
f,l,e,d;F,L,EH,D;s; 
n,o,t;N,AA,T;s; AA
s,w,i,f,t,e,r;S,W,IH,F,T,ǝ,R;s; IH
th,ei,r;DH,EH,R;s; 
ai,m;EH,M;s; 
th,a,n;DH,AE,N;s; AE
d,i,d;D,IH,D;s; IH
ou,r;OW,R;s; 
ai,m,i,n,g;EH,M,·,IH,N;s; IH
a,t;AE,T;s; AE
th,ei,r;DH,EH,R;s; 
s,a,f,e,t,y;S,EH,F,T,ǝ,IH;s; IH
f,r,o,m;F,R,AH,M;s; 
th,e;DH,AH;s; 
f,ie,l,d;F,IY,L,D;s; IY
th,e,n;DH,EH,N;s; 
w,a,s;W,AA,Z;s; AA
th,a,t;DH,AE,T;s; AE
s,o;S,OW;s; 
s,oo,n;S,UW,N;s; UW
a,n,d;AH,N,D;s; 
th,a,t;DH,AE,T;s; AE
th,e;DH,AH;s; 
b,l,oo,d,y;B,L,AH,D,IY;s; IY
d,ou,g,l,a,s;D,AH,G,L,AH,S;s; 
h,a,d;HH,AE,D;s; AE
s,l,ai,n;S,L,EH,N;s; 
o,f;AH,V;s; 
th,e;DH,AH;s; 
g,a,n;G,AE,N;s; AE
v,ai,l;V,EY,L;s; EY
h,i,s;HH,IH,Z;s; IH
s,t,o,m,a,ch;S,T,AH,M,AH,K;s; 
a,n,d;AH,N,D;s; 
d,i,d;D,IH,D;s; IH
th,e;DH,AH;s; 
o,f;AH,V;s; 
th,a,t;DH,AE,T;s; AE
t,u,r,n,e,d;T,ɐ,R,N,IH,D;s; IH
th,ei,r;DH,EH,R;s; 
a,n,d;AH,N,D;s; 
i,n;IH,N;s; IH
h,i,s;HH,IH,Z;s; IH
i,n;IH,N;s; IH
f,ea,r;F,IY,R;s; IY
w,a,s;W,AA,Z;s; AA
t,oo,k;T,UH,K;s; UH
th,e;DH,AH;s; 
s,u,m;S,ɤ,M;s; 
o,f;AH,V;s; 
a,ll;AA,L;s; AA
i,s;IH,Z;s; IH
th,a,t;DH,AE,T;s; AE
th,e;DH,AH;s; 
h,a,th;HH,AE,TH;s; AE
w,o,n;W,ɤ,N;s; 
a,n,d;AH,N,D;s; 
h,a,th;HH,AE,TH;s; AE
s,e,n,t;S,EH,N,T;s; 
ou,t;AW,T;s; 
a;AH;s; 
t,o;T,UW;s; UW
y,ou;Y,UW;s; UW
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
u,n,d,e,r;ɤ,N,D,ǝ,R;s; 
th,e;DH,AH;s; 
c,o,n,d,u,c,t;K,ɒ,N,D,ǝ,K,T;s; 
o,f;AH,V;s; 
l,a,n,c,a,s,t,e,r;L,AW,NG,K,AW,S,T,ǝ,R;s; 
a,n,d;AH,N,D;s; 
w,e,s,t,m,o,r,e,l,a,n,d;W,e,S,T,M,ǝ,R,ˌ,L,AW,N,D;s; 
th,i,s;DH,IH,S;s; IH
i,s;IH,Z;s; IH
th,e;DH,AH;s; 
a,t;AE,T;s; AE
f,u,ll;F,UH,L;s; UH
s,w,ee,t;S,W,IY,T;s; IY
n,o,t;N,AA,T;s; AA
w,i,s,d,o,m;W,IH,Z,D,AH,M;s; IH
f,r,o,m;F,R,AH,M;s; 
y,ou,r;Y,AO,R;s; AO
th,e;DH,AH;s; 
o,f;AH,V;s; 
a,ll;AA,L;s; AA
y,ou,r;Y,AO,R;s; AO
l,ea,n;L,IY,N;s; IY
o,n;AA,N;s; AA
y,ou,r;Y,AO,R;s; AO
th,e;DH,AH;s; 
i,f;IH,F;s; IH
y,ou;Y,UW;s; UW
t,o;T,UW;s; UW
p,a,ss,io,n;P,AE,SH,AH,N;s; AE
m,u,s,t;M,AH,S,T;s; 
p,e,r,f,o,ce;P,ER,F,AO,R,S;s; AO
y,ou;Y,UW;s; UW
c,a,s,t;K,AW,S,T;s; 
e,v,e,n,t;IH,V,EH,N,T;s; IH
o,f;AH,V;s; 
w,a,r;W,AO,R;s; AO
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
a,n,d;AH,N,D;s; 
th,e;DH,AH;s; 
o,f;AH,V;s; 
y,ou;Y,UW;s; UW
s,ai,d;S,EH,D;s; 
l,e,t;L,EH,T;s; 
u,s;AH,S;s; 
i,t;IH,T;s; IH
w,a,s;W,AA,Z;s; AA
y,ou,r;Y,AO,R;s; AO
th,a,t;DH,AE,T;s; AE
i,n;IH,N;s; IH
th,e;DH,AH;s; 
o,f;AH,V;s; 
y,ou,r;Y,AO,R;s; AO
s,o,n;S,AO,̃;s; AO
d,r,o,p;D,R,AA,P;s; AA
y,ou;Y,UW;s; UW
h,e;HH,IY;s; IY
p,e,r,i,l,s;P,EH,R,AH,L,Z;s; 
o,n;AA,N;s; AA
a,n;AE,N;s; AE
e,ge;EH,JH;s; 
t,o;T,UW;s; UW
f,a,ll;F,AA,L;s; AA
i,n;IH,N;s; IH
th,a,n;DH,AE,N;s; AE
t,o;T,UW;s; UW
g,e,t;G,EH,T;s; 
y,ou;Y,UW;s; UW
w,re;W,ER;s; 
a,d,v,i,s,e,d;ǝ,D,V,ǝ,IH,Z,D;s; IH
h,i,s;HH,IH,Z;s; IH
f,l,e,sh;F,L,EH,SH;s; 
w,a,s;W,AA,Z;s; AA
o,f;AH,V;s; 
w,ou,n,d,s;W,UW,N,D,Z;s; UW
a,n,d;AH,N,D;s; 
a,n,d;AH,N,D;s; 
th,a,t;DH,AE,T;s; AE
h,i,s;HH,IH,Z;s; IH
s,p,i,r,i,t;S,P,IH,R,AH,T;s; IH
l,i,f,t;L,IH,F,T;s; IH
h,i,m;HH,IH,M;s; IH
m,o,s,t;M,OW,S,T;s; 
o,f;AH,V;s; 
r,a,n,g,e,d;r,EH,N,D,ZH,D;s; 
y,e,t;Y,EH,T;s; 
d,i,d;D,IH,D;s; IH
y,ou;Y,UW;s; UW
g,o;G,OW;s; 
f,o,r,th;F,AO,R,TH;s; AO
a,n,d;AH,N,D;s; 
o,f;AH,V;s; 
th,i,s;DH,IH,S;s; IH
s,t,r,o,n,g,l,y;S,T,r,ɒ,NG,L,ǝ,IH;s; IH
th,e;DH,AH;s; 
a,c,t,io,n;AE,K,SH,AH,N;s; AE
wh,a,t;W,AH,T;s; 
h,a,th;HH,AE,TH;s; AE
th,e,n;DH,EH,N;s; 
o,r;AO,R;s; AO
wh,a,t;W,AH,T;s; 
d,i,d;D,IH,D;s; IH
th,i,s;DH,IH,S;s; IH
b,o,l,d;B,OW,L,D;s; 
e,n,t,e,r,p,r,se;EH,N,T,ER,P,R,AY,Z;s; AY
f,o,r,th;F,AO,R,TH;s; AO
th,a,n;DH,AE,N;s; AE
th,a,t;DH,AE,T;s; AE
b,ei,n,g;B,IY,IH,NG;s; IY,IH
w,a,s;W,AA,Z;s; AA
t,o;T,UW;s; UW
b,e;B,IY;s; IY
th,a,n;DH,AE,N;s; AE
m,y;M,AY;s; AY
m,o,s,t;M,OW,S,T;s; 
l,o,r,d;L,AO,R,D;s; AO
i;AY;s; AY
f,o,r;F,AO,R;s; AO
c,e,r,t,ai,n;S,ɐ,R,T,ǝ,N;s; 
a,n,d;AH,N,D;s; 
s,p,ea,k;S,P,IY,K;s; IY
th,e;DH,AH;s; 
t,r,u,th;T,R,UW,TH;s; UW
th,e;DH,AH;s; 
o,f;AH,V;s; 
y,o,r,k;Y,AO,R,K;s; AO
i,s;IH,Z;s; IH
u,p;AH,P;s; 
w,i,th;W,IH,DH;s; IH
h,e;HH,IY;s; IY
i,s;IH,Z;s; IH
a;AH;s; 
m,a,n;M,AE,N;s; AE
wh,o;HH,UW;s; UW
w,i,th;W,IH,DH;s; IH
a;AH;s; 
s,u,r,e,t,y;SH,UW,R,T,ǝ,IH;s; UW,IH
b,i,n,d,s;B,AY,N,D,Z;s; AY
h,i,s;HH,IH,Z;s; IH
f,o,ll,o,w,e,r,s;F,ɒ,L,ǝ,W,ǝ,R,Z;s; 
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
y,ou,r;Y,AO,R;s; AO
s,o,n;S,AO,̃;s; AO
h,a,d;HH,AE,D;s; AE
o,n,l,y;OW,N,L,IY;s; IY
b,u,t;B,AH,T;s; 
th,e;DH,AH;s; 
b,u,t;B,AH,T;s; 
a,n,d;AH,N,D;s; 
th,e;DH,AH;s; 
o,f;AH,V;s; 
m,e,n;M,EH,N;s; 
t,o;T,UW;s; UW
f,o,r;F,AO,R;s; AO
th,a,t;DH,AE,T;s; AE
d,i,d;D,IH,D;s; IH
th,e;DH,AH;s; 
a,c,t,io,n;AE,K,SH,AH,N;s; AE
o,f;AH,V;s; 
th,ei,r;DH,EH,R;s; 
b,o,d,ie,s;B,AA,D,IY,Z;s; AA,IY
f,r,o,m;F,R,AH,M;s; 
th,ei,r;DH,EH,R;s; 
s,ou,l,s;S,OW,L,Z;s; 
a,n,d;AH,N,D;s; 
d,i,d;D,IH,D;s; IH
w,i,th;W,IH,DH;s; IH
a,s;AE,Z;s; AE
m,e,n;M,EH,N;s; 
d,r,i,n,k;D,R,IH,NG,K;s; IH
th,a,t;DH,AE,T;s; AE
th,ei,r;DH,EH,R;s; 
w,ea,p,o,n,s;W,EH,P,AH,N,Z;s; 
o,n,l,y;OW,N,L,IY;s; IY
o,n;AA,N;s; AA
ou,r;OW,R;s; 
b,u,t;B,AH,T;s; 
f,o,r;F,AO,R;s; AO
th,ei,r;DH,EH,R;s; 
s,p,i,r,i,t,s;S,P,IH,R,AH,T,S;s; IH
a,n,d;AH,N,D;s; 
s,ou,l,s;S,OW,L,Z;s; 
th,i,s;DH,IH,S;s; IH
i,t;IH,T;s; IH
h,a,d;HH,AE,D;s; AE
th,e,m;DH,EH,M;s; 
u,p;AH,P;s; 
a,s;AE,Z;s; AE
f,i,sh;F,IH,SH;s; IH
i,n;IH,N;s; IH
a;AH;s; 
p,o,n,d;P,AA,N,D;s; AA
b,u,t;B,AH,T;s; 
th,e;DH,AH;s; 
b,i,sh,o,p;B,IH,SH,AH,P;s; IH
t,u,r,n,s;T,ɐ,R,N,Z;s; 
t,o;T,UW;s; UW
r,e,l,i,g,io,n;R,IH,L,IH,JH,AH,N;s; IH,IH
a,n,d;AH,N,D;s; 
h,o,l,y;HH,OW,L,IY;s; IY
i,n;IH,N;s; IH
