th,e;DH,AH;s; 
y,ou,r;Y,AO,R;s; AO
i,s;IH,Z;s; IH
a,t;AE,T;s; AE
a,n,d;AH,N,D;s; 
w,ea,k;W,IY,K;s; IY
a,n,d;AH,N,D;s; 
w,ea,r,ie,d;W,IH,R,IY,D;s; IH,IY
p,o,s,t,s;P,OW,S,T,S;s; 
f,r,o,m;F,R,AH,M;s; 
th,e;DH,AH;s; 
n,o,r,th;N,AO,R,TH;s; AO
a,n,d;AH,N,D;s; 
a,s;AE,Z;s; AE
i;AY;s; AY
i;AY;s; AY
m,e,t;M,EH,T;s; 
a,n,d;AH,N,D;s; 
a;AH;s; 
d,o,z,e,n;D,ɤ,Z,ǝ,N;s; 
c,a,p,t,ai,n,s;K,AE,P,T,AH,N,Z;s; AE
a,t;AE,T;s; AE
th,e;DH,AH;s; 
t,a,v,e,r,n,s;T,AW,V,ǝ,R,N,Z;s; 
a,n,d;AH,N,D;s; 
f,o,r;F,AO,R;s; AO
f,a,l,s,t,a,ff;F,AO,L,S,T,AE,F;s; AO,AE
