an, AE1 N , s, 
answer, ˈ AW N S ǝ R, s, 
from, F R AH1 M , s, 
the, DH AH0 , s, 
king, K IH1 NG , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
of, AH1 V , s, 
salisbury, ˈ S AA : L Z B r ǝ IH, s, 
an, AE1 N , s, 
answer, ˈ AW N S ǝ R, s, 
from, F R AH1 M , s, 
the, DH AH0 , s, 
king, K IH1 NG , s, 
or, AO : R, s, 
we, W IY1 , s, 
will, W IH1 L , s, 
all, AA : L, s, 
break, B R EY1 K , s, 
in, IH N, s, 
an, AE1 N , s, 
answer, ˈ AW N S ǝ R, s, 
from, F R AH1 M , s, 
the, DH AH0 , s, 
king, K IH1 NG , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
of, AH1 V , s, 
salisbury, ˈ S AA : L Z B r ǝ IH, s, 
an, AE1 N , s, 
answer, ˈ AW N S ǝ R, s, 
from, F R AH1 M , s, 
the, DH AH0 , s, 
king, K IH1 NG , s, 
or, AO : R, s, 
we, W IY1 , s, 
will, W IH1 L , s, 
all, AA : L, s, 
break, B R EY1 K , s, 
in, IH N, s, 
an, AE1 N , s, 
answer, ˈ AW N S ǝ R, s, 
from, F R AH1 M , s, 
the, DH AH0 , s, 
king, K IH1 NG , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
of, AH1 V , s, 
salisbury, ˈ S AA : L Z B r ǝ IH, s, 
an, AE1 N , s, 
answer, ˈ AW N S ǝ R, s, 
from, F R AH1 M , s, 
the, DH AH0 , s, 
king, K IH1 NG , s, 
or, AO : R, s, 
we, W IY1 , s, 
will, W IH1 L , s, 
all, AA : L, s, 
break, B R EY1 K , s, 
in, IH N, s, 
