god,'G AA D', s, AA
sve,'EH V', s, 
your,'Y AO R', s, AO
majesty,'M AE JH AH S T IY', s, AE IY
he,'HH IY', s, IY
hath,'HH AE TH', s, AE
with,'W IH DH', s, IH
him,'HH IH M', s, IH
a,'AH', s, 
villain,'V IH L AH N', s, IH
and,'AH N D', s, 
a,'AH', s, 
marrry,'M AW r ǝ IH', s, IH
will,'W IH L', s, IH
we,'W IY', s, IY
therefre,'DH EH R F AO R', s, AO
get,'G EH T', s, 
you,'Y UW', s, UW
no,'N OW', s, 
no,'N OW', s, 
and,'AH N D', s, 
therefre,'DH EH R F AO R', s, AO
his,'HH IH Z', s, IH
it,'IH T', s, IH
shall,'SH AE L', s, AE
be,'B IY', s, IY
o,'OW', s, 
god,'G AA D', s, AA
sve,'EH V', s, 
the,'DH AH', s, 
god,'G AA D', s, AA
sve,'EH V', s, 
the,'DH AH', s, 
the,'DH AH', s, 
and,'AH N D', s, 
god,'G AA D', s, AA
sve,'EH V', s, 
the,'DH AH', s, 
god,'G AA D', s, AA
sve,'EH V', s, 
the,'DH AH', s, 
