happiness,'HH AE P IY N AH S', s, AE IY
imprimis,'IH M P r IY M IH S', s, IH IY IH
it,'IH T', s, IH
is,'IH Z', s, IH
agreed,'ǝ ɡ r IY D', s, IY
between,'B IH T W IY N', s, IH IY
the,'DH AH', s, 
french,'F R EH N CH', s, 
and,'AH N D', s, 
de,'D e', s, 
la,'L AA', s, AA
of,'AH V', s, 
for,'F AO R', s, AO
henry,'HH EH N R IY', s, IY
of,'AH V', s, 
england,'IH NG G L AH N D', s, IH
that,'DH AE T', s, AE
the,'DH AH', s, 
said,'S EH D', s, 
henry,'HH EH N R IY', s, IY
shall,'SH AE L', s, AE
the,'DH AH', s, 
lady,'L EY D IY', s, EY IY
unto,'AH N T UW', s, UW
of,'AH V', s, 
naples,'N EY P AH L Z', s, EY
and,'AH N D', s, 
and,'AH N D', s, 
crown,'K r ǝ UH N', s, UH
of,'AH V', s, 
england,'IH NG G L AH N D', s, IH
the,'DH AH', s, 
thirtieth,'TH ER T IY AH TH', s, IY
of,'AH V', s, 
that,'DH AE T', s, AE
the,'DH AH', s, 
of,'AH V', s, 
and,'AH N D', s, 
the,'DH AH', s, 
county,'K AW N T IY', s, IY
of,'AH V', s, 
shall,'SH AE L', s, AE
be,'B IY', s, IY
and,'AH N D', s, 
to,'T UW', s, UW
the,'DH AH', s, 
pardon,'P AA R D ǝ N', s, AA
me,'M IY', s, IY
lord,'L AO R D', s, AO
sudden,'S AH D AH N', s, 
qualm,'K W AO M', s, AO
hath,'HH AE TH', s, AE
me,'M IY', s, IY
at,'AE T', s, AE
the,'DH AH', s, 
heart,'HH AA R T', s, AA
and,'AH N D', s, 
that,'DH AE T', s, AE
i,'AY', s, AY
can,'K AE N', s, AE
read,'r e D', s, 
no,'N OW', s, 
peers,'P IY R Z', s, IY
of,'AH V', s, 
england,'IH NG G L AH N D', s, IH
pillars,'P IH L ǝ R Z', s, IH
of,'AH V', s, 
the,'DH AH', s, 
to,'T UW', s, UW
you,'Y UW', s, UW
must,'M AH S T', s, 
unload,'ɤ N L OW D', s, 
his,'HH IH Z', s, IH
grief,'G R IY F', s, IY
your,'Y AO R', s, AO
grief,'G R IY F', s, IY
the,'DH AH', s, 
common,'K AA M AH N', s, AA
grief,'G R IY F', s, IY
of,'AH V', s, 
all,'AA L', s, AA
the,'DH AH', s, 
land,'L AE N D', s, AE
