it,'IH T', s, IH
your,'Y AO R', s, AO
to,'T UW', s, UW
be,'B IY', s, IY
the,'DH AH', s, 
of,'AH V', s, 
york,'Y AO R K', s, AO
is,'IH Z', s, IH
from,'F R AH M', s, 
and,'AH N D', s, 
with,'W IH DH', s, IH
a,'AH', s, 
puissant,'P W IY S AA ̃', s, IY AA
and,'AH N D', s, 
a,'AH', s, 
mighty,'M ǝ IH T ǝ IH', s, IH IH
of,'AH V', s, 
and,'AH N D', s, 
stout,'S T AW T', s, 
kerns,'K ɐ R N Z', s, 
is,'IH Z', s, IH
hitherward,'IH DH ǝ R ˌ W AA R D', s, IH AA
in,'IH N', s, IH
and,'AH N D', s, 
still,'S T IH L', s, IH
as,'AE Z', s, AE
he,'HH IY', s, IY
his,'HH IH Z', s, IH
arms,'AA R M Z', s, AA
only,'OW N L IY', s, IY
to,'T UW', s, UW
from,'F R AH M', s, 
thee,'DH IY', s, IY
the,'DH AH', s, 
of,'AH V', s, 
whom,'HH UW M', s, UW
he,'HH IY', s, IY
terms,'T ɐ R M Z', s, 
a,'AH', s, 
