run, r ɤ N, s, 
to, T UW1 , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
of, AH1 V , s, 
suffolk, S AH1 F AH0 K , s, 
let, L EH1 T , s, 
him, HH IH1 M , s, 
know, N OW1 , s, 
we, W IY1 , s, 
have, HH AE1 V , s, 
dispatched, D IH0 S P AE1 CH T , s, 
the, DH AH0 , s, 
duke, D UW1 K , s, 
as, AE1 Z , s, 
he, HH IY1 , s, 
commanded, K ǝ ˈ M AW N D IH D, s, 
here, HH IY1 R , s, 
comes, K ɤ M Z, s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
ay, EY1 , s, 
my, M AY1 , s, 
good, G UH1 D , s, 
lord, L AO : R D, s, 
he's, HH IY1 Z , s, 
dead, D EH1 D , s, 
'tis, T IH1 Z , s, 
my, M AY1 , s, 
good, G UH1 D , s, 
lord, L AO : R D, s, 
run, r ɤ N, s, 
to, T UW1 , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
of, AH1 V , s, 
suffolk, S AH1 F AH0 K , s, 
let, L EH1 T , s, 
him, HH IH1 M , s, 
know, N OW1 , s, 
we, W IY1 , s, 
have, HH AE1 V , s, 
dispatched, D IH0 S P AE1 CH T , s, 
the, DH AH0 , s, 
duke, D UW1 K , s, 
as, AE1 Z , s, 
he, HH IY1 , s, 
commanded, K ǝ ˈ M AW N D IH D, s, 
here, HH IY1 R , s, 
comes, K ɤ M Z, s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
ay, EY1 , s, 
my, M AY1 , s, 
good, G UH1 D , s, 
lord, L AO : R D, s, 
he's, HH IY1 Z , s, 
dead, D EH1 D , s, 
'tis, T IH1 Z , s, 
my, M AY1 , s, 
good, G UH1 D , s, 
lord, L AO : R D, s, 
run, r ɤ N, s, 
to, T UW1 , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
of, AH1 V , s, 
suffolk, S AH1 F AH0 K , s, 
let, L EH1 T , s, 
him, HH IH1 M , s, 
know, N OW1 , s, 
we, W IY1 , s, 
have, HH AE1 V , s, 
dispatched, D IH0 S P AE1 CH T , s, 
the, DH AH0 , s, 
duke, D UW1 K , s, 
as, AE1 Z , s, 
he, HH IY1 , s, 
commanded, K ǝ ˈ M AW N D IH D, s, 
here, HH IY1 R , s, 
comes, K ɤ M Z, s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
ay, EY1 , s, 
my, M AY1 , s, 
good, G UH1 D , s, 
lord, L AO : R D, s, 
he's, HH IY1 Z , s, 
dead, D EH1 D , s, 
'tis, T IH1 Z , s, 
my, M AY1 , s, 
good, G UH1 D , s, 
lord, L AO : R D, s, 
