commanders,'K ǝ M AW N D ǝ R Z', s, 
be,'B IY', s, IY
in,'IH N', s, IH
readiness,'R EH D IY N AH S', s, IY
for,'F AO R', s, AO
with,'W IH DH', s, IH
a,'AH', s, 
band,'B AE N D', s, AE
of,'AH V', s, 
men,'M EH N', s, 
of,'AH V', s, 
the,'DH AH', s, 
of,'AH V', s, 
york,'Y AO R K', s, AO
and,'AH N D', s, 
in,'IH N', s, IH
the,'DH AH', s, 
as,'AE Z', s, AE
do,'D OW', s, 
proclaims,'P R OW K L EY M Z', s, EY
him,'HH IH M', s, IH
and,'AH N D', s, 
to,'T UW', s, UW
him,'HH IH M', s, IH
your,'Y AO R', s, AO
for,'F AO R', s, AO
at,'AE T', s, AE
