i,ll;IH,L;s; 
th,e;DH,AH;s; 
th,a,t;DH,AE,T;s; 
p,r,o,f,i,t,s;P,R,AA,F,IH,T,S;s; 
th,i,s;DH,IH,S;s; 
m,a,n;M,AE,N;s; 
wh,o,m;HH,UW,M;s; 
t,o;T,UW;s; 
i;AY;s; 
i,n;IH,N;s; 
b,e;B,IY;s; 
w,i,th;W,IH,DH;s; 
o,f;AH,V;s; 
c,r,o,w,n,s;K,r,ǝ,UH,N,Z;s; 
a,n,d;AH,N,D;s; 
i;AY;s; 
th,a,t;DH,AE,T;s; 
h,a,p,l,y;AW,P,L,ǝ,IH;s; 
th,e,m;DH,EH,M;s; 
f,r,o,m;F,R,AH,M;s; 
h,i,m;HH,IH,M;s; 
y,e,t;Y,EH,T;s; 
y,ie,l,d;Y,IY,L,D;s; 
b,o,th;B,OW,TH;s; 
m,y;M,AY;s; 
a,n,d;AH,N,D;s; 
th,e,m;DH,EH,M;s; 
t,o;T,UW;s; 
m,a,n;M,AE,N;s; 
a,s;AE,Z;s; 
th,i,s;DH,IH,S;s; 
d,ea,d;D,EH,D;s; 
m,a,n;M,AE,N;s; 
d,o,th;D,AO,TH;s; 
m,e;M,IY;s; 
th,i,s;DH,IH,S;s; 
o;OW;s; 
g,o,d;G,AA,D;s; 
i,t;IH,T;s; 
i,s;IH,Z;s; 
m,y;M,AY;s; 
wh,o,m;HH,UW,M;s; 
i,n;IH,N;s; 
th,i,s;DH,IH,S;s; 
c,o,n,f,l,i,c,t;K,ɒ,N,F,L,IH,K,T;s; 
i;AY;s; 
o;OW;s; 
h,ea,v,y;e,V,ǝ,IH;s; 
e,v,e,n,t,s;IH,V,EH,N,T,S;s; 
f,r,o,m;F,R,AH,M;s; 
l,o,n,d,o,n;L,AH,N,D,AH,N;s; 
b,y;B,AY;s; 
th,e;DH,AH;s; 
w,a,s;W,AA,Z;s; 
i;AY;s; 
p,r,e,ss,e,d;P,r,e,S,IH,D;s; 
f,o,r,th;F,AO,R,TH;s; 
m,y;M,AY;s; 
b,ei,n,g;B,IY,IH,NG;s; 
th,e;DH,AH;s; 
o,f;AH,V;s; 
m,a,n;M,AE,N;s; 
o,n;AA,N;s; 
th,e;DH,AH;s; 
p,a,r,t;P,AA,R,T;s; 
o,f;AH,V;s; 
y,o,r,k;Y,AO,R,K;s; 
p,r,e,ss,e,d;P,r,e,S,IH,D;s; 
b,y;B,AY;s; 
h,i,s;HH,IH,Z;s; 
m,a,s,t,e,r;M,AW,S,T,ǝ,R;s; 
a,n,d;AH,N,D;s; 
i;AY;s; 
wh,o;HH,UW;s; 
a,t;AE,T;s; 
h,i,s;HH,IH,Z;s; 
m,y;M,AY;s; 
b,y;B,AY;s; 
m,y;M,AY;s; 
o,f;AH,V;s; 
h,i,m;HH,IH,M;s; 
p,a,r,d,o,n;P,AA,R,D,ǝ,N;s; 
m,e;M,IY;s; 
g,o,d;G,AA,D;s; 
i;AY;s; 
n,o,t;N,AA,T;s; 
wh,a,t;W,AH,T;s; 
i;AY;s; 
d,i,d;D,IH,D;s; 
a,n,d;AH,N,D;s; 
p,a,r,d,o,n;P,AA,R,D,ǝ,N;s; 
f,o,r;F,AO,R;s; 
i;AY;s; 
n,o,t;N,AA,T;s; 
th,ee;DH,IY;s; 
m,y;M,AY;s; 
t,ea,r,s;T,EH,R,Z;s; 
sh,a,ll;SH,AE,L;s; 
b,l,oo,d,y;B,L,AH,D,IY;s; 
m,a,r,k,s;M,AA,R,K,S;s; 
a,n,d;AH,N,D;s; 
n,o;N,OW;s; 
t,i,ll;T,IH,L;s; 
th,ei,r;DH,EH,R;s; 
f,i,ll;F,IH,L;s; 
w,i,ll;W,IH,L;s; 
m,y;M,AY;s; 
f,o,r;F,AO,R;s; 
a;AH;s; 
d,ea,th;D,EH,TH;s; 
o,n;AA,N;s; 
w,i,th;W,IH,DH;s; 
m,e;M,IY;s; 
a,n,d;AH,N,D;s; 
b,e;B,IY;s; 
s,a,t,i,s,f,ie,d;S,AE,T,AH,S,F,AY,D;s; 
w,a,s;W,AA,Z;s; 
s,o,n;S,AO,̃;s; 
s,o;S,OW;s; 
a;AH;s; 
d,ea,th;D,EH,TH;s; 
b,ea,r;B,EH,R;s; 
th,ee;DH,IY;s; 
i;AY;s; 
w,ee,p;W,IY,P;s; 
m,y;M,AY;s; 
f,i,ll;F,IH,L;s; 
