wh,a,t;W,AH,T;s; 
w,i,ll;W,IH,L;s; IH
h,e;HH,IY;s; IY
n,o,t;N,AA,T;s; AA
t,o;T,UW;s; UW
b,e,d;B,EH,D;s; 
th,e,n;DH,EH,N;s; 
sh,a,ll;SH,AE,L;s; AE
b,e;B,IY;s; IY
th,e;DH,AH;s; 
i,f;IH,F;s; IH
b,e;B,IY;s; IY
s,o;S,OW;s; 
n,ea,r;N,IY,R;s; IY
a,s;AE,Z;s; AE
m,e,n;M,EH,N;s; 
r,e,p,o,r,t;r,IH,P,AO,R,T;s; IH,AO
th,e;DH,AH;s; 
g,ua,r,d;G,AA,R,D;s; AA
w,e;W,IY;s; IY
h,i,s;HH,IH,Z;s; IH
t,e,n,t;T,EH,N,T;s; 
b,u,t;B,AH,T;s; 
t,o;T,UW;s; UW
d,e,f,e,n,d;D,IH,F,EH,N,D;s; IH
h,i,s;HH,IH,Z;s; IH
f,r,o,m;F,R,AH,M;s; 
f,oe,s;F,OW,Z;s; 
o,r;AO,R;s; AO
th,ou;DH,AW;s; 
