b,u,t;B,AH,T;s; 
i;AY;s; 
wh,a,t;W,AH,T;s; 
n,o,b,l,e,m,a,n;N,OW,B,AH,L,M,AH,N;s; 
i,s;IH,Z;s; 
th,a,t;DH,AE,T;s; 
th,a,t;DH,AE,T;s; 
w,i,th;W,IH,DH;s; 
th,e;DH,AH;s; 
i,n;IH,N;s; 
h,i,s;HH,IH,Z;s; 
t,e,n,t;T,EH,N,T;s; 
o;OW;s; 
i,s;IH,Z;s; 
i,t;IH,T;s; 
s,o;S,OW;s; 
b,u,t;B,AH,T;s; 
wh,h,y;ʍ,ǝ,IH;s; 
c,o,mm,a,n,d,s;K,ǝ,M,AW,N,D,Z;s; 
th,e;DH,AH;s; 
th,a,t;DH,AE,T;s; 
h,i,s;HH,IH,Z;s; 
ch,ie,f;CH,IY,F;s; 
f,o,ll,o,w,e,r,s;F,ɒ,L,ǝ,W,ǝ,R,Z;s; 
l,o,ge;L,AA,JH;s; 
i,n;IH,N;s; 
h,i,m;HH,IH,M;s; 
h,e;HH,IY;s; 
h,i,m,s,e,l,f;HH,IH,M,S,EH,L,F;s; 
k,ee,p,s;K,IY,P,S;s; 
i,n;IH,N;s; 
th,e;DH,AH;s; 
c,o,l,d;K,OW,L,D;s; 
f,ie,l,d;F,IY,L,D;s; 
b,u,t;B,AH,T;s; 
m,e;M,IY;s; 
w,o,r,sh,i,p;W,AO,R,SH,IH,P;s; 
a,n,d;AH,N,D;s; 
i;AY;s; 
i,t;IH,T;s; 
b,e,tt,e,r;B,e,T,ə,R;s; 
th,a,n;DH,AE,N;s; 
a;AH;s; 
i,f;IH,F;s; 
i,n;IH,N;s; 
wh,a,t;W,AH,T;s; 
h,e;HH,IY;s; 
s,t,a,n,d,s;S,T,AE,N,D,Z;s; 
t,o;T,UW;s; 
b,e;B,IY;s; 
d,ou,b,t,e,d;D,ǝ,UH,T,IH,D;s; 
h,e;HH,IY;s; 
w,a,k,e,n;W,EY,K,AH,N;s; 
h,i,m;HH,IH,M;s; 
