a,n,d;AH,N,D;s; 
i;AY;s; AY
i,n;IH,N;s; IH
g,oi,n,g;G,OW,IH,N;s; IH
m,a,d,a,m;M,AE,D,AH,M;s; AE
w,ee,p;W,IY,P;s; IY
m,y;M,AY;s; AY
d,ea,th;D,EH,TH;s; 
b,u,t;B,AH,T;s; 
i;AY;s; AY
m,u,s,t;M,AH,S,T;s; 
a,tt,e,n,d;AH,T,EH,N,D;s; 
h,i,s;HH,IH,Z;s; IH
c,o,mm,a,n,d;K,ǝ,M,AW,N,D;s; 
t,o;T,UW;s; UW
wh,o,m;HH,UW,M;s; UW
i;AY;s; AY
a,m;AE,M;s; AE
i,n;IH,N;s; IH
w,a,r,d;W,AA,R,D;s; AA
i,n;IH,N;s; IH
wh,a,t;W,AH,T;s; 
i,s;IH,Z;s; IH
i,t;IH,T;s; IH
m,y;M,AY;s; AY
g,oo,d;G,UH,D;s; UH
l,o,r,d;L,AO,R,D;s; AO
th,e;DH,AH;s; 
o,f;AH,V;s; 
i;AY;s; AY
n,o,t;N,AA,T;s; AA
o,f;AH,V;s; 
i,t;IH,T;s; IH
m,a,d,a,m;M,AE,D,AH,M;s; AE
i;AY;s; AY
y,ou,r;Y,AO,R;s; AO
h,o,l,y;HH,OW,L,IY;s; IY
w,i,sh,e,s;W,IH,SH,IH,Z;s; IH,IH
th,e;DH,AH;s; 
b,e,s,t;B,EH,S,T;s; 
w,i,sh,e,s;W,IH,SH,IH,Z;s; IH,IH
th,a,t;DH,AE,T;s; AE
c,a,n;K,AE,N;s; AE
b,e;B,IY;s; IY
i,n;IH,N;s; IH
y,ou,r;Y,AO,R;s; AO
b,e;B,IY;s; IY
t,o;T,UW;s; UW
y,ou;Y,UW;s; UW
b,e;B,IY;s; IY
t,o;T,UW;s; UW
m,y;M,AY;s; AY
y,ou,r;Y,AO,R;s; AO
m,i,s,t,r,e,ss;M,IH,S,T,R,AH,S;s; IH
a,n,d;AH,N,D;s; 
o,f;AH,V;s; 
m,y;M,AY;s; AY
th,a,n,k,s;TH,AE,NG,K,S;s; AE
a,n,d;AH,N,D;s; 
d,u,t,y;D,UW,T,IY;s; UW,IY
y,ou,r;Y,AO,R;s; AO
h,i,s;HH,IH,Z;s; IH
g,oo,d;G,UH,D;s; UH
i,n;IH,N;s; IH
y,ou,r;Y,AO,R;s; AO
th,a,n;DH,AE,N;s; AE
o,n;AA,N;s; AA
h,i,s;HH,IH,Z;s; IH
s,o;S,OW;s; 
i,n;IH,N;s; IH
n,o,t;N,AA,T;s; AA
h,i,s;HH,IH,Z;s; IH
a,s;AE,Z;s; AE
i,n;IH,N;s; IH
y,ou,r;Y,AO,R;s; AO
s,p,ee,ch;S,P,IY,CH;s; IY
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
th,a,n,k;TH,AE,NG,K;s; AE
y,ou,r;Y,AO,R;s; AO
m,a,j,e,s,t,y;M,AE,JH,AH,S,T,IY;s; AE,IY
i;AY;s; AY
a,m;AE,M;s; AE
c,o,mm,a,n,d,e,d;K,ǝ,M,AW,N,D,IH,D;s; IH
a,n,d;AH,N,D;s; 
k,e,p,t;K,EH,P,T;s; 
a;AH;s; 
c,oi,l;K,OY,L;s; 
w,i,th;W,IH,DH;s; IH
t,oo;T,UW;s; UW
a,n,d;AH,N,D;s; 
th,e;DH,AH;s; 
y,ea,r;Y,IH,R;s; IH
a,n,d;AH,N,D;s; 
t,oo;T,UW;s; UW
i;AY;s; AY
sh,a,ll;SH,AE,L;s; AE
th,e;DH,AH;s; 
t,o;T,UW;s; UW
a;AH;s; 
s,m,o,ck;S,M,AA,K;s; AA
m,y;M,AY;s; AY
sh,oe,s;SH,UW,Z;s; UW
o,n;AA,N;s; AA
th,e;DH,AH;s; 
p,l,ai,n;P,L,EH,N;s; 
t,i,ll;T,IH,L;s; IH
b,e;B,IY;s; IY
u,p;AH,P;s; 
a,n,d;AH,N,D;s; 
n,o;N,OW;s; 
w,o,r,n;W,AO,R,N;s; AO
b,u,t;B,AH,T;s; 
t,o;T,UW;s; UW
w,i,th;W,IH,DH;s; IH
b,y;B,AY;s; AY
h,ea,v,e,n;HH,EH,V,AH,N;s; 
s,t,ea,l;S,T,IY,L;s; IY
i;AY;s; AY
t,o;T,UW;s; UW
y,ou;Y,UW;s; UW
a,n,d;AH,N,D;s; 
ou,r;OW,R;s; 
p,a,r,t,i,n,g;P,AA,R,T,·,IH,N;s; AA,IH
i,s;IH,Z;s; IH
a;AH;s; 
b,o,d,y;B,AA,D,IY;s; AA,IY
th,e;DH,AH;s; 
a,n,d;AH,N,D;s; 
i;AY;s; AY
w,i,ll;W,IH,L;s; IH
d,o;D,OW;s; 
s,o;S,OW;s; 
a,n,d;AH,N,D;s; 
s,o;S,OW;s; 
m,y;M,AY;s; AY
