m,a,d,a,m;M,AE,D,AH,M;s; AE
th,e;DH,AH;s; 
i;AY;s; AY
h,a,d;HH,AE,D;s; AE
t,o;T,UW;s; UW
e,v,e,n;IY,V,IH,N;s; IY,IH
y,ou,r;Y,AO,R;s; AO
c,o,n,t,e,n,t;K,ǝ,N,T,e,N,T;s; 
i;AY;s; AY
w,i,sh;W,IH,SH;s; IH
b,e;B,IY;s; IY
i,n;IH,N;s; IH
th,e;DH,AH;s; 
c,a,l,e,n,d,a,r;K,AW,L,ǝ,N,D,ǝ,R;s; 
o,f;AH,V;s; 
m,y;M,AY;s; AY
p,a,s,t;P,AW,S,T;s; 
f,o,r;F,AO,R;s; AO
th,e,n;DH,EH,N;s; 
w,e;W,IY;s; IY
ou,r;OW,R;s; 
m,o,d,e,s,t,y;M,AA,D,AH,S,T,IY;s; AA,IY
a,n,d;AH,N,D;s; 
th,e;DH,AH;s; 
o,f;AH,V;s; 
ou,r;OW,R;s; 
wh,e,n;ʍ,e,N;s; 
o,f;AH,V;s; 
w,e;W,IY;s; IY
p,u,b,l,i,sh;P,AH,B,L,IH,SH;s; IH
th,e,m;DH,EH,M;s; 
i,t;IH,T;s; IH
y,ou;Y,UW;s; UW
m,a,d,a,m;M,AE,D,AH,M;s; AE
th,a,t;DH,AE,T;s; AE
h,e;HH,IY;s; IY
b,i,d;B,IH,D;s; IH
h,e,l,e,n;HH,EH,L,AH,N;s; 
t,o;T,UW;s; UW
y,ou;Y,UW;s; UW
o,f;AH,V;s; 
i;AY;s; AY
a,m;AE,M;s; AE
t,o;T,UW;s; UW
s,p,ea,k;S,P,IY,K;s; IY
i;AY;s; AY
m,a,d,a,m;M,AE,D,AH,M;s; AE
y,ou;Y,UW;s; UW
y,ou,r;Y,AO,R;s; AO
g,e,n,t,l,e,w,o,m,a,n;JH,EH,N,T,AH,L,W,UH,M,AH,N;s; UH
m,a,d,a,m;M,AE,D,AH,M;s; AE
i;AY;s; AY
w,a,s;W,AA,Z;s; AA
v,e,r,y;V,EH,R,IY;s; IY
n,ea,r;N,IY,R;s; IY
th,a,n;DH,AE,N;s; AE
i;AY;s; AY
th,i,n,k;TH,IH,NG,K;s; IH
sh,e;SH,IY;s; IY
w,i,sh,e,d;W,IH,SH,IH,D;s; IH,IH
m,e;M,IY;s; IY
sh,e;SH,IY;s; IY
w,a,s;W,AA,Z;s; AA
a,n,d;AH,N,D;s; 
d,i,d;D,IH,D;s; IH
t,o;T,UW;s; UW
t,o;T,UW;s; UW
ea,r,s;IY,R,Z;s; IY
sh,e;SH,IY;s; IY
i;AY;s; AY
v,o,w;V,ǝ,UH;s; UH
f,o,r;F,AO,R;s; AO
n,o,t;N,AA,T;s; AA
m,a,tt,e,r;M,AW,T,ǝ,R;s; 
w,a,s;W,AA,Z;s; AA
sh,e;SH,IY;s; IY
y,ou,r;Y,AO,R;s; AO
s,o,n;S,AO,̃;s; AO
sh,e;SH,IY;s; IY
s,ai,d;S,EH,D;s; 
w,a,s;W,AA,Z;s; AA
n,o;N,OW;s; 
g,o,dd,e,ss;G,ɒ,D,e,S;s; 
th,a,t;DH,AE,T;s; AE
h,a,d;HH,AE,D;s; AE
p,u,t;P,UH,T;s; UH
th,ei,r;DH,EH,R;s; 
n,o;N,OW;s; 
g,o,d;G,AA,D;s; AA
th,a,t;DH,AE,T;s; AE
n,o,t;N,AA,T;s; AA
h,i,s;HH,IH,Z;s; IH
o,n,l,y;OW,N,L,IY;s; IY
w,re;W,ER;s; 
l,e,v,e,l;L,EH,V,AH,L;s; 
n,o;N,OW;s; 
o,f;AH,V;s; 
th,a,t;DH,AE,T;s; AE
s,u,ff,e,r;S,ɤ,F,ǝ,R;s; 
p,oo,r;P,UH,R;s; UH
i,n;IH,N;s; IH
th,e;DH,AH;s; 
o,r;AO,R;s; AO
r,a,n,s,o,m;R,AE,N,S,AH,M;s; AE
th,i,s;DH,IH,S;s; IH
sh,e;SH,IY;s; IY
i,n;IH,N;s; IH
th,e;DH,AH;s; 
m,o,s,t;M,OW,S,T;s; 
o,f;AH,V;s; 
th,a,t;DH,AE,T;s; AE
i;AY;s; AY
i,n;IH,N;s; IH
i;AY;s; AY
h,e,l,d;HH,EH,L,D;s; 
m,y;M,AY;s; AY
d,u,t,y;D,UW,T,IY;s; UW,IY
s,p,ee,d,i,l,y;S,P,IY,D,AH,L,IY;s; IY,IY
t,o;T,UW;s; UW
a,c,q,uai,n,t;AH,K,W,EY,N,T;s; EY
y,ou;Y,UW;s; UW
w,i,th,a,l;W,IH,DH,AA,L;s; IH,AA
i,n;IH,N;s; IH
th,e;DH,AH;s; 
l,o,ss;L,AO,S;s; AO
th,a,t;DH,AE,T;s; AE
h,a,pp,e,n;HH,AE,P,AH,N;s; AE
i,t;IH,T;s; IH
y,ou;Y,UW;s; UW
t,o;T,UW;s; UW
i,t;IH,T;s; IH
i;AY;s; AY
a,m;AE,M;s; AE
s,ai,n,t;S,EY,N,T;s; EY
p,i,l,g,r,i,m;P,IH,L,G,R,AH,M;s; IH
h,a,th;HH,AE,TH;s; AE
s,o;S,OW;s; 
i,n;IH,N;s; IH
m,e;M,IY;s; IY
o,ff,e,n,d,e,d;AH,F,EH,N,D,AH,D;s; 
th,a,t;DH,AE,T;s; AE
p,l,o,d;P,L,AA,D;s; AA
i;AY;s; AY
th,e;DH,AH;s; 
c,o,l,d;K,OW,L,D;s; 
u,p,o,n;AH,P,AA,N;s; AA
w,i,th;W,IH,DH;s; IH
s,ai,n,t,e,d;S,EH,N,T,IH,D;s; IH
v,o,w;V,ǝ,UH;s; UH
m,y;M,AY;s; AY
f,au,l,t,s;F,AO,L,T,S;s; AO
t,o;T,UW;s; UW
a,m,e,n,d,e,d;AH,M,EH,N,D,AH,D;s; 
th,a,t;DH,AE,T;s; AE
f,r,o,m;F,R,AH,M;s; 
th,e;DH,AH;s; 
b,l,oo,d,y;B,L,AH,D,IY;s; IY
o,f;AH,V;s; 
w,a,r;W,AO,R;s; AO
m,y;M,AY;s; AY
d,ea,r,e,s,t;D,IY,R,ǝ,S,T;s; IY
m,a,s,t,e,r;M,AW,S,T,ǝ,R;s; 
y,ou,r;Y,AO,R;s; AO
d,ea,r;D,IY,R;s; IY
s,o,n;S,AO,̃;s; AO
h,ie;ǝ,IH;s; IH
b,l,e,ss;B,L,EH,S;s; 
h,i,m;HH,IH,M;s; IH
a,t;AE,T;s; AE
h,me;OW,M;s; 
i,n;IH,N;s; IH
i;AY;s; AY
f,r,o,m;F,R,AH,M;s; 
f,a,r;F,AA,R;s; AA
h,i,s;HH,IH,Z;s; IH
w,i,th;W,IH,DH;s; IH
z,ea,l,ou,s;Z,EH,L,AH,S;s; 
h,i,s;HH,IH,Z;s; IH
t,a,k,e,n;T,EY,K,AH,N;s; EY
b,i,d;B,IH,D;s; IH
h,i,m;HH,IH,M;s; IH
m,e;M,IY;s; IY
f,o,r,g,ve;F,ER,G,IH,V;s; IH
i;AY;s; AY
h,i,s;HH,IH,Z;s; IH
d,e,s,p,i,t,e,f,u,l;D,IH,S,P,ǝ,IH,T,F,UH,L;s; IH,IH,UH
s,e,n,t;S,EH,N,T;s; 
h,i,m;HH,IH,M;s; IH
f,o,r,th;F,AO,R,TH;s; AO
f,r,o,m;F,R,AH,M;s; 
c,ou,r,t,l,y;K,AO,R,T,L,IY;s; AO,IY
f,r,ie,n,d,s;F,R,EH,N,D,Z;s; 
w,i,th;W,IH,DH;s; IH
f,oe,s;F,OW,Z;s; 
t,o;T,UW;s; UW
d,ea,th;D,EH,TH;s; 
a,n,d;AH,N,D;s; 
d,o,g,s;D,AA,G,Z;s; AA
th,e;DH,AH;s; 
o,f;AH,V;s; 
w,o,r,th;W,AO,R,TH;s; AO
h,e;HH,IY;s; IY
i,s;IH,Z;s; IH
t,oo;T,UW;s; UW
g,oo,d;G,UH,D;s; UH
a,n,d;AH,N,D;s; 
f,ai,r;F,EH,R;s; 
f,o,r;F,AO,R;s; AO
d,ea,th;D,EH,TH;s; 
a,n,d;AH,N,D;s; 
m,e;M,IY;s; IY
wh,o,m;HH,UW,M;s; UW
i;AY;s; AY
m,y,s,e,l,f;M,AY,S,EH,L,F;s; AY
t,o;T,UW;s; UW
s,e,t;S,EH,T;s; 
h,i,m;HH,IH,M;s; IH
f,r,ee;F,R,IY;s; IY
p,a,r,d,o,n;P,AA,R,D,ǝ,N;s; AA
m,e;M,IY;s; IY
m,a,d,a,m;M,AE,D,AH,M;s; AE
i,f;IH,F;s; IH
i;AY;s; AY
h,a,d;HH,AE,D;s; AE
g,i,v,e,n;G,IH,V,AH,N;s; IH
y,ou;Y,UW;s; UW
th,i,s;DH,IH,S;s; IH
a,t;AE,T;s; AE
sh,e;SH,IY;s; IY
b,ee,n;B,IH,N;s; IH
a,n,d;AH,N,D;s; 
y,e,t;Y,EH,T;s; 
sh,e;SH,IY;s; IY
b,e;B,IY;s; IY
b,u,t;B,AH,T;s; 
v,ai,n;V,EY,N;s; EY
