as,'AE Z',s,'AE'
i,'AY',s,'AY'
adam,'AE D AH M',s,'AE'
it,'IH T',s,'IH'
was,'W AA Z',s,'AA'
upon,'AH P AA N',s,'AA'
this,'DH IH S',s,'IH'
fashion,'F AE SH AH N',s,'AE'
bequeathed,'B AH K W IY TH T',s,'IY'
me,'M IY',s,'IY'
by,'B AY',s,'AY'
will,'W IH L',s,'IH'
but,'B AH T',s,''
poor,'P UH R',s,'UH'
a,'AH',s,''
crowns,'K r ǝ UH N Z',s,'UH'
and,'AH N D',s,''
as,'AE Z',s,'AE'
thou,'DH AW',s,''
my,'M AY',s,'AY'
on,'AA N',s,'AA'
his,'HH IH Z',s,'IH'
to,'T UW',s,'UW'
breed,'B R IY D',s,'IY'
me,'M IY',s,'IY'
well,'W EH L',s,''
and,'AH N D',s,''
begins,'B IH G IH N Z',s,'IH IH'
my,'M AY',s,'AY'
sadness,'S AE D N AH S',s,'AE'
my,'M AY',s,'AY'
he,'HH IY',s,'IY'
keeps,'K IY P S',s,'IY'
at,'AE T',s,'AE'
scchool,'S K UW L',s,'UW'
and,'AH N D',s,''
report,'r IH P AO R T',s,'IH AO'
speaks,'S P IY K S',s,'IY'
of,'AH V',s,''
his,'HH IH Z',s,'IH'
profit,'P R AA F AH T',s,'AA'
for,'F AO R',s,'AO'
my,'M AY',s,'AY'
part,'P AA R T',s,'AA'
he,'HH IY',s,'IY'
keeps,'K IY P S',s,'IY'
me,'M IY',s,'IY'
at,'AE T',s,'AE'
hme,'OW M',s,''
or,'AO R',s,'AO'
to,'T UW',s,'UW'
speak,'S P IY K',s,'IY'
me,'M IY',s,'IY'
at,'AE T',s,'AE'
hme,'OW M',s,''
unkept,'ɤ N K e P T',s,''
for,'F AO R',s,'AO'
call,'K AO L',s,'AO'
you,'Y UW',s,'UW'
that,'DH AE T',s,'AE'
for,'F AO R',s,'AO'
a,'AH',s,''
gentleman,'JH EH N T AH L M AH N',s,''
of,'AH V',s,''
my,'M AY',s,'AY'
that,'DH AE T',s,'AE'
not,'N AA T',s,'AA'
from,'F R AH M',s,''
the,'DH AH',s,''
of,'AH V',s,''
an,'AE N',s,'AE'
his,'HH IH Z',s,'IH'
horses,'HH AO R S AH Z',s,'AO'
bred,'B R EH D',s,''
better,'B e T ə R',s,''
for,'F AO R',s,'AO'
besides,'B IH S ə IH D Z',s,'IH IH'
that,'DH AE T',s,'AE'
fair,'F EH R',s,''
with,'W IH DH',s,'IH'
their,'DH EH R',s,''
their,'DH EH R',s,''
and,'AH N D',s,''
to,'T UW',s,'UW'
that,'DH AE T',s,'AE'
end,'EH N D',s,''
dearly,'D IH R L IY',s,'IH IY'
but,'B AH T',s,''
i,'AY',s,'AY'
his,'HH IH Z',s,'IH'
gain,'G EH N',s,''
under,'ɤ N D ǝ R',s,''
him,'HH IH M',s,'IH'
but,'B AH T',s,''
for,'F AO R',s,'AO'
the,'DH AH',s,''
his,'HH IH Z',s,'IH'
animals,'AE N AH M AH L Z',s,'AE'
on,'AA N',s,'AA'
his,'HH IH Z',s,'IH'
as,'AE Z',s,'AE'
to,'T UW',s,'UW'
him,'HH IH M',s,'IH'
as,'AE Z',s,'AE'
i,'AY',s,'AY'
besides,'B IH S ə IH D Z',s,'IH IH'
this,'DH IH S',s,'IH'
that,'DH AE T',s,'AE'
he,'HH IY',s,'IY'
so,'S OW',s,''
me,'M IY',s,'IY'
the,'DH AH',s,''
that,'DH AE T',s,'AE'
natre,'N EY CH ER',s,'EY'
me,'M IY',s,'IY'
his,'HH IH Z',s,'IH'
seems,'S IY M Z',s,'IY'
to,'T UW',s,'UW'
from,'F R AH M',s,''
me,'M IY',s,'IY'
he,'HH IY',s,'IY'
lets,'L EH T S',s,''
me,'M IY',s,'IY'
feed,'F IY D',s,'IY'
with,'W IH DH',s,'IH'
his,'HH IH Z',s,'IH'
hinds,'ǝ IH N D Z',s,'IH'
bars,'B AA R Z',s,'AA'
me,'M IY',s,'IY'
the,'DH AH',s,''
of,'AH V',s,''
a,'AH',s,''
and,'AH N D',s,''
as,'AE Z',s,'AE'
as,'AE Z',s,'AE'
in,'IH N',s,'IH'
him,'HH IH M',s,'IH'
mines,'M ǝ IH N Z',s,'IH'
my,'M AY',s,'AY'
gentility,'JH EH N T IH L IH T IY',s,'IH IH IY'
with,'W IH DH',s,'IH'
my,'M AY',s,'AY'
education,'EH JH AH K EY SH AH N',s,'EY'
this,'DH IH S',s,'IH'
is,'IH Z',s,'IH'
it,'IH T',s,'IH'
adam,'AE D AH M',s,'AE'
that,'DH AE T',s,'AE'
me,'M IY',s,'IY'
and,'AH N D',s,''
the,'DH AH',s,''
spirit,'S P IH R AH T',s,'IH'
of,'AH V',s,''
my,'M AY',s,'AY'
i,'AY',s,'AY'
