i,'AY',s,'AY'
from,'F R AH M',s,''
a,'AH',s,''
great,'G r e T',s,''
supper,'S ɤ P ǝ R',s,''
the,'DH AH',s,''
your,'Y AO R',s,'AO'
is,'IH Z',s,'IH'
entertained,'ˌ e N T ǝ R T EH N D',s,''
by,'B AY',s,'AY'
and,'AH N D',s,''
i,'AY',s,'AY'
can,'K AE N',s,'AE'
you,'Y UW',s,'UW'
of,'AH V',s,''
an,'AE N',s,'AE'
intended,'IH N T EH N D AH D',s,'IH'
marrry,'M AW r ǝ IH',s,'IH'
it,'IH T',s,'IH'
is,'IH Z',s,'IH'
your,'Y AO R',s,'AO'
even,'IY V IH N',s,'IY IH'
he,'HH IY',s,'IY'
marrry,'M AW r ǝ IH',s,'IH'
on,'AA N',s,'AA'
hero,'HH IH R OW',s,'IH'
the,'DH AH',s,''
and,'AH N D',s,''
of,'AH V',s,''
being,'B IY IH NG',s,'IY IH'
entertained,'ˌ e N T ǝ R T EH N D',s,''
for,'F AO R',s,'AO'
a,'AH',s,''
as,'AE Z',s,'AE'
i,'AY',s,'AY'
was,'W AA Z',s,'AA'
a,'AH',s,''
musty,'M AH S T IY',s,'IY'
room,'R UW M',s,'UW'
me,'M IY',s,'IY'
the,'DH AH',s,''
and,'AH N D',s,''
in,'IH N',s,'IH'
in,'IH N',s,'IH'
sad,'S AE D',s,'AE'
conferece,'K AA N F ER AH N S',s,'AA'
i,'AY',s,'AY'
me,'M IY',s,'IY'
behind,'B IH ə IH N D',s,'IH IH'
the,'DH AH',s,''
and,'AH N D',s,''
it,'IH T',s,'IH'
agreed,'ǝ ɡ r IY D',s,'IY'
upon,'AH P AA N',s,'AA'
that,'DH AE T',s,'AE'
the,'DH AH',s,''
woo,'W UW',s,'UW'
hero,'HH IH R OW',s,'IH'
for,'F AO R',s,'AO'
himself,'HH IH M S EH L F',s,'IH'
and,'AH N D',s,''
to,'T UW',s,'UW'
wait,'W EH T',s,''
upon,'AH P AA N',s,'AA'
your,'Y AO R',s,'AO'
and,'AH N D',s,''
that,'DH AE T',s,'AE'
is,'IH Z',s,'IH'
i,'AY',s,'AY'
him,'HH IH M',s,'IH'
by,'B AY',s,'AY'
his,'HH IH Z',s,'IH'
so,'S OW',s,''
did,'D IH D',s,'IH'
i,'AY',s,'AY'
too,'T UW',s,'UW'
and,'AH N D',s,''
he,'HH IY',s,'IY'
he,'HH IY',s,'IY'
marrry,'M AW r ǝ IH',s,'IH'
yea,'Y EH',s,''
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
but,'B AH T',s,''
i,'AY',s,'AY'
can,'K AE N',s,'AE'
cross,'K R AO S',s,'AO'
it,'IH T',s,'IH'
not,'N AA T',s,'AA'
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
but,'B AH T',s,''
so,'S OW',s,''
that,'DH AE T',s,'AE'
no,'N OW',s,''
shall,'SH AE L',s,'AE'
appear,'ǝ P IY R',s,'IY'
in,'IH N',s,'IH'
me,'M IY',s,'IY'
i,'AY',s,'AY'
think,'TH IH NG K',s,'IH'
i,'AY',s,'AY'
told,'T OW L D',s,''
your,'Y AO R',s,'AO'
a,'AH',s,''
year,'Y IH R',s,'IH'
i,'AY',s,'AY'
am,'AE M',s,'AE'
in,'IH N',s,'IH'
the,'DH AH',s,''
of,'AH V',s,''
the,'DH AH',s,''
gentlewoman,'JH EH N T AH L W UH M AH N',s,'UH'
to,'T UW',s,'UW'
hero,'HH IH R OW',s,'IH'
i,'AY',s,'AY'
can,'K AE N',s,'AE'
at,'AE T',s,'AE'
instant,'IH N S T AH N T',s,'IH'
of,'AH V',s,''
the,'DH AH',s,''
to,'T UW',s,'UW'
look,'L UH K',s,'UH'
out,'AW T',s,''
at,'AE T',s,'AE'
the,'DH AH',s,''
of,'AH V',s,''
that,'DH AE T',s,'AE'
in,'IH N',s,'IH'
you,'Y UW',s,'UW'
to,'T UW',s,'UW'
go,'G OW',s,''
you,'Y UW',s,'UW'
to,'T UW',s,'UW'
the,'DH AH',s,''
your,'Y AO R',s,'AO'
not,'N AA T',s,'AA'
to,'T UW',s,'UW'
tell,'T EH L',s,''
him,'HH IH M',s,'IH'
that,'DH AE T',s,'AE'
he,'HH IY',s,'IY'
hath,'HH AE TH',s,'AE'
his,'HH IH Z',s,'IH'
in,'IH N',s,'IH'
the,'DH AH',s,''
do,'D OW',s,''
you,'Y UW',s,'UW'
mightily,'M ǝ IH T IH L ǝ IH',s,'IH IH IH'
up,'AH P',s,''
to,'T UW',s,'UW'
a,'AH',s,''
a,'AH',s,''
as,'AE Z',s,'AE'
hero,'HH IH R OW',s,'IH'
proof,'P R UW F',s,'UW'
to,'T UW',s,'UW'
the,'DH AH',s,''
to,'T UW',s,'UW'
to,'T UW',s,'UW'
undo,'AH N D UW',s,'UW'
hero,'HH IH R OW',s,'IH'
and,'AH N D',s,''
kill,'K IH L',s,'IH'
look,'L UH K',s,'UH'
you,'Y UW',s,'UW'
for,'F AO R',s,'AO'
go,'G OW',s,''
then,'DH EH N',s,''
me,'M IY',s,'IY'
a,'AH',s,''
meet,'M IY T',s,'IY'
to,'T UW',s,'UW'
don,'D AA N',s,'AA'
pedro,'P e D r OW',s,''
and,'AH N D',s,''
the,'DH AH',s,''
tell,'T EH L',s,''
them,'DH EH M',s,''
that,'DH AE T',s,'AE'
you,'Y UW',s,'UW'
that,'DH AE T',s,'AE'
hero,'HH IH R OW',s,'IH'
me,'M IY',s,'IY'
intend,'IH N T EH N D',s,'IH'
a,'AH',s,''
of,'AH V',s,''
zeal,'Z IY L',s,'IY'
both,'B OW TH',s,''
to,'T UW',s,'UW'
the,'DH AH',s,''
and,'AH N D',s,''
as,'AE Z',s,'AE'
in,'IH N',s,'IH'
of,'AH V',s,''
your,'Y AO R',s,'AO'
who,'HH UW',s,'UW'
hath,'HH AE TH',s,'AE'
this,'DH IH S',s,'IH'
and,'AH N D',s,''
his,'HH IH Z',s,'IH'
who,'HH UW',s,'UW'
is,'IH Z',s,'IH'
thus,'DH ɤ S',s,''
to,'T UW',s,'UW'
be,'B IY',s,'IY'
with,'W IH DH',s,'IH'
the,'DH AH',s,''
of,'AH V',s,''
a,'AH',s,''
maid,'M EY D',s,'EY'
that,'DH AE T',s,'AE'
you,'Y UW',s,'UW'
thus,'DH ɤ S',s,''
will,'W IH L',s,'IH'
this,'DH IH S',s,'IH'
offer,'ɒ F ǝ R',s,''
them,'DH EH M',s,''
instances,'IH N S T AH N S AH Z',s,'IH'
shall,'SH AE L',s,'AE'
bear,'B EH R',s,''
no,'N OW',s,''
less,'L EH S',s,''
likelihood,'L ǝ IH K L IH ˌ UH D',s,'IH IH UH'
than,'DH AE N',s,'AE'
to,'T UW',s,'UW'
see,'S IY',s,'IY'
me,'M IY',s,'IY'
at,'AE T',s,'AE'
me,'M IY',s,'IY'
call,'K AO L',s,'AO'
hero,'HH IH R OW',s,'IH'
term,'T ɐ R M',s,''
me,'M IY',s,'IY'
and,'AH N D',s,''
them,'DH EH M',s,''
to,'T UW',s,'UW'
see,'S IY',s,'IY'
this,'DH IH S',s,'IH'
the,'DH AH',s,''
very,'V EH R IY',s,'IY'
the,'DH AH',s,''
intended,'IH N T EH N D AH D',s,'IH'
for,'F AO R',s,'AO'
in,'IH N',s,'IH'
the,'DH AH',s,''
i,'AY',s,'AY'
will,'W IH L',s,'IH'
so,'S OW',s,''
fashion,'F AE SH AH N',s,'AE'
the,'DH AH',s,''
matter,'M AW T ǝ R',s,''
that,'DH AE T',s,'AE'
hero,'HH IH R OW',s,'IH'
shall,'SH AE L',s,'AE'
be,'B IY',s,'IY'
absent,'AE B S AH N T',s,'AE'
and,'AH N D',s,''
shall,'SH AE L',s,'AE'
appear,'ǝ P IY R',s,'IY'
truth,'T R UW TH',s,'UW'
of,'AH V',s,''
that,'DH AE T',s,'AE'
shall,'SH AE L',s,'AE'
be,'B IY',s,'IY'
and,'AH N D',s,''
all,'AA L',s,'AA'
the,'DH AH',s,''
be,'B IY',s,'IY'
you,'Y UW',s,'UW'
