a,'AH', s, 
poor,'P UH R', s, UH
egyptian,'IH JH IH P SH AH N', s, IH IH
yet,'Y EH T', s, 
the,'DH AH', s, 
my,'M AY', s, AY
mistress,'M IH S T R AH S', s, IH
confined,'K ǝ N F ǝ IH N D', s, IH
in,'IH N', s, IH
all,'AA L', s, AA
she,'SH IY', s, IY
of,'AH V', s, 
intents,'IH N T EH N T S', s, IH
desires,'D IH Z ǝ IH R Z', s, IH IH
instruction,'IH N S T R AH K SH AH N', s, IH
that,'DH AE T', s, AE
she,'SH IY', s, IY
to,'T UW', s, UW
forced,'F AO R S IH D', s, AO IH
to,'T UW', s, UW
so,'S OW', s, 
the,'DH AH', s, 
gods,'G AA D Z', s, AA
preseve,'P R AH Z ER V', s, 
thee,'DH IY', s, IY
