th,e;DH,AH;s; 
h,a,th;HH,AE,TH;s; 
s,e,n,t;S,EH,N,T;s; 
a,pp,p,r,oa,ch;ǝ,P,r,OW,T,SH;s; 
h,o;HH,OW;s; 
n,o,t;N,AA,T;s; 
w,e,ll;W,EH,L;s; 
wh,a,t;W,AH,T;s; 
w,o,r,k;W,AO,R,K;s; 
i,s;IH,Z;s; 
i,s;IH,Z;s; 
th,i,s;DH,IH,S;s; 
w,e,ll;W,EH,L;s; 
a;AH;s; 
c,ou,n,t,r,y,m,a,n;K,AH,N,T,R,IY,M,AH,N;s; 
th,a,t;DH,AE,T;s; 
f,i,g,s;F,IH,G,Z;s; 
th,i,s;DH,IH,S;s; 
w,a,s;W,AA,Z;s; 
h,i,s;HH,IH,Z;s; 
b,a,s,k,e,t;B,AW,S,K,IH,T;s; 
o;OW;s; 
th,i,s;DH,IH,S;s; 
b,u,t;B,AH,T;s; 
sh,e;SH,IY;s; 
s,t,oo,d;S,T,UH,D;s; 
a,n,d;AH,N,D;s; 
i;AY;s; 
u,p;AH,P;s; 
th,e;DH,AH;s; 
o,n;AA,N;s; 
d,ea,d;D,EH,D;s; 
m,i,s,t,r,e,ss;M,IH,S,T,R,AH,S;s; 
sh,e;SH,IY;s; 
s,t,oo,d;S,T,UH,D;s; 
a,n,d;AH,N,D;s; 
o,n;AA,N;s; 
th,e;DH,AH;s; 
s,u,dd,e,n;S,AH,D,AH,N;s; 
th,i,s;DH,IH,S;s; 
i,s;IH,Z;s; 
a,n;AE,N;s; 
t,r,ai,l;T,r,EH,L;s; 
a,n,d;AH,N,D;s; 
f,i,g;F,IH,G;s; 
u,p,o,n;AH,P,AA,N;s; 
th,e,m;DH,EH,M;s; 
a,s;AE,Z;s; 
u,p,o,n;AH,P,AA,N;s; 
th,e;DH,AH;s; 
o,f;AH,V;s; 
