there's, DH EH1 R Z , s, 
sent, S EH1 N T , s, 
from, F R AH1 M , s, 
caesar, S IY1 Z ER0 , s, 
call, K AO1 L , s, 
him, HH IH1 M , s, 
all, AA : L, s, 
dead, D EH1 D , s, 
there's, DH EH1 R Z , s, 
sent, S EH1 N T , s, 
from, F R AH1 M , s, 
caesar, S IY1 Z ER0 , s, 
call, K AO1 L , s, 
him, HH IH1 M , s, 
all, AA : L, s, 
dead, D EH1 D , s, 
there's, DH EH1 R Z , s, 
sent, S EH1 N T , s, 
from, F R AH1 M , s, 
caesar, S IY1 Z ER0 , s, 
call, K AO1 L , s, 
him, HH IH1 M , s, 
all, AA : L, s, 
dead, D EH1 D , s, 
all, AA : L, s, 
all, AA : L, s, 
all, AA : L, s, 
all, AA : L, s, 
all, AA : L, s, 
all, AA : L, s, 
all, AA : L, s, 
all, AA : L, s, 
all, AA : L, s, 
all, AA : L, s, 
all, AA : L, s, 
all, AA : L, s, 
