a,n,t,o,n,y;AE,N,T,AH,N,IY;s; AE,IY
h,a,th;HH,AE,TH;s; AE
a,f,t,e,r;AW,F,T,ǝ,R;s; 
th,ee;DH,IY;s; IY
s,e,n,t;S,EH,N,T;s; 
a,ll;AA,L;s; AA
w,i,th;W,IH,DH;s; IH
h,i,s;HH,IH,Z;s; IH
th,e;DH,AH;s; 
o,n;AA,N;s; AA
m,y;M,AY;s; AY
g,ua,r,d;G,AA,R,D;s; AA
a,n,d;AH,N,D;s; 
a,t;AE,T;s; AE
t,e,n,t;T,EH,N,T;s; 
i,s;IH,Z;s; IH
o,f;AH,V;s; 
h,i,s;HH,IH,Z;s; IH
m,u,l,e,s;M,Y,UW,L,Z;s; UW
m,o,ck;M,AA,K;s; AA
n,o,t;N,AA,T;s; AA
i;AY;s; AY
t,e,ll;T,EH,L;s; 
y,ou;Y,UW;s; UW
t,r,ue;T,R,UW;s; UW
b,e,s,t;B,EH,S,T;s; 
y,ou;Y,UW;s; UW
th,e;DH,AH;s; 
b,r,i,n,g,e,r;B,r,IH,NG,ɡ,ə,R;s; IH
ou,t;AW,T;s; 
o,f;AH,V;s; 
th,e;DH,AH;s; 
i;AY;s; AY
m,u,s,t;M,AH,S,T;s; 
a,tt,e,n,d;AH,T,EH,N,D;s; 
o,r;AO,R;s; AO
m,y,s,e,l,f;M,AY,S,EH,L,F;s; AY
y,ou,r;Y,AO,R;s; AO
s,t,i,ll;S,T,IH,L;s; IH
a;AH;s; 
