antony,'AE N T AH N IY', s, AE IY
hath,'HH AE TH', s, AE
after,'AW F T ǝ R', s, 
thee,'DH IY', s, IY
sent,'S EH N T', s, 
all,'AA L', s, AA
with,'W IH DH', s, IH
his,'HH IH Z', s, IH
the,'DH AH', s, 
on,'AA N', s, AA
my,'M AY', s, AY
guard,'G AA R D', s, AA
and,'AH N D', s, 
at,'AE T', s, AE
tent,'T EH N T', s, 
is,'IH Z', s, IH
of,'AH V', s, 
his,'HH IH Z', s, IH
mules,'M Y UW L Z', s, UW
mock,'M AA K', s, AA
not,'N AA T', s, AA
i,'AY', s, AY
tell,'T EH L', s, 
you,'Y UW', s, UW
true,'T R UW', s, UW
best,'B EH S T', s, 
you,'Y UW', s, UW
the,'DH AH', s, 
bringer,'B r IH NG ɡ ə R', s, IH
out,'AW T', s, 
of,'AH V', s, 
the,'DH AH', s, 
i,'AY', s, AY
must,'M AH S T', s, 
attend,'AH T EH N D', s, 
or,'AO R', s, AO
myself,'M AY S EH L F', s, AY
your,'Y AO R', s, AO
still,'S T IH L', s, IH
a,'AH', s, 
