c,o,n,t,e,n,t;K,ǝ,N,T,e,N,T;s; 
c,o,n,t,e,n,t;K,ǝ,N,T,e,N,T;s; 
th,e,r,e,f,re;DH,EH,R,F,AO,R;s; AO
l,e,t;L,EH,T;s; 
h,i,m;HH,IH,M;s; IH
b,e;B,IY;s; IY
c,o,n,s,u,l;K,AA,N,S,AH,L;s; AA
th,e;DH,AH;s; 
g,o,d,s;G,AA,D,Z;s; AA
h,i,m;HH,IH,M;s; IH
a,n,d;AH,N,D;s; 
h,i,m;HH,IH,M;s; IH
g,oo,d;G,UH,D;s; UH
f,r,ie,n,d;F,R,EH,N,D;s; 
t,o;T,UW;s; UW
th,e;DH,AH;s; 
a,m,e,n;EY,M,EH,N;s; EY
a,m,e,n;EY,M,EH,N;s; EY
g,o,d;G,AA,D;s; AA
s,ve;EH,V;s; 
th,ee;DH,IY;s; IY
c,o,n,s,u,l;K,AA,N,S,AH,L;s; AA
n,o;N,OW;s; 
n,o;N,OW;s; 
n,o;N,OW;s; 
m,a,n;M,AE,N;s; AE
w,e;W,IY;s; IY
w,i,ll;W,IH,L;s; IH
s,o;S,OW;s; 
a,l,m,o,s,t;AA,L,M,OW,S,T;s; AA
a,ll;AA,L;s; AA
r,e,p,e,n,t;R,IH,P,EH,N,T;s; IH
i,n;IH,N;s; IH
th,ei,r;DH,EH,R;s; 
e,l,e,c,t,io,n;IH,L,EH,K,SH,AH,N;s; IH
