let, L EH1 T , s, 
him, HH IH1 M , s, 
die, D ǝ IH, s, 
for, F AO1 R , s, 
kill, K IH1 L , s, 
kill, K IH1 L , s, 
kill, K IH1 L , s, 
kill, K IH1 L , s, 
kill, K IH1 L , s, 
him, HH IH1 M , s, 
let, L EH1 T , s, 
him, HH IH1 M , s, 
die, D ǝ IH, s, 
for, F AO1 R , s, 
kill, K IH1 L , s, 
kill, K IH1 L , s, 
kill, K IH1 L , s, 
kill, K IH1 L , s, 
kill, K IH1 L , s, 
him, HH IH1 M , s, 
let, L EH1 T , s, 
him, HH IH1 M , s, 
die, D ǝ IH, s, 
for, F AO1 R , s, 
kill, K IH1 L , s, 
kill, K IH1 L , s, 
kill, K IH1 L , s, 
kill, K IH1 L , s, 
kill, K IH1 L , s, 
him, HH IH1 M , s, 
die, D ǝ IH, s, 
die, D ǝ IH, s, 
die, D ǝ IH, s, 
die, D ǝ IH, s, 
