y,ou;Y,UW;s; UW
m,o,s,t;M,OW,S,T;s; 
h,me;OW,M;s; 
w,e;W,IY;s; IY
h,o;HH,OW;s; 
n,o;N,OW;s; 
th,e;DH,AH;s; 
m,a,n;M,AE,N;s; AE
i,s;IH,Z;s; IH
a,n,d;AH,N,D;s; 
h,i,s;HH,IH,Z;s; IH
f,o,l,d,s;F,OW,L,D,Z;s; 
i,n;IH,N;s; IH
th,i,s;DH,IH,S;s; IH
o,r,b;AO,R,B;s; AO
h,i,s;HH,IH,Z;s; IH
l,a,s,t;L,AE,S,T;s; AE
o,ff,e,n,s,e,s;AH,F,EH,N,S,IH,Z;s; IH
t,o;T,UW;s; UW
u,s;AH,S;s; 
sh,a,ll;SH,AE,L;s; AE
s,t,a,n,d;S,T,AE,N,D;s; AE
a,n,d;AH,N,D;s; 
n,o,t;N,AA,T;s; AA
th,e;DH,AH;s; 
th,ou;DH,AW;s; 
h,a,s,t;HH,AE,S,T;s; AE
a;AH;s; 
d,ee,d;D,IY,D;s; IY
w,i,ll;W,IH,L;s; IH
w,ee,p;W,IY,P;s; IY
h,i,s;HH,IH,Z;s; IH
f,r,o,m;F,R,AH,M;s; 
a;AH;s; 
g,r,ea,t;G,r,e,T;s; 
p,a,r,t;P,AA,R,T;s; AA
o,f;AH,V;s; 
th,e;DH,AH;s; 
b,e,s,t;B,EH,S,T;s; 
o,f;AH,V;s; 
i,t;IH,T;s; IH
