a,l,m,o,s,t;AA,L,M,OW,S,T;s; AA
s,t,a,n,d;S,T,AE,N,D;s; AE
f,o,r;F,AO,R;s; AO
a;AH;s; 
b,u,t;B,AH,T;s; 
a,n,d;AH,N,D;s; 
n,o,t;N,AA,T;s; AA
th,e;DH,AH;s; 
c,o,mm,o,n;K,AA,M,AH,N;s; AA
i,f;IH,F;s; IH
h,e;HH,IY;s; IY
d,i,d;D,IH,D;s; IH
n,o,t;N,AA,T;s; AA
h,e;HH,IY;s; IY
h,a,d;HH,AE,D;s; AE
th,ei,r;DH,EH,R;s; 
o,r;AO,R;s; AO
n,o;N,OW;s; 
h,e;HH,IY;s; IY
i,n,d,i,ff,e,r,e,n,t,l,y;IH,N,D,IH,F,r,ǝ,N,T,L,ǝ,IH;s; IH,IH,IH
d,oi,n,g;D,UW,IH,N;s; UW,IH
th,e,m;DH,EH,M;s; 
n,ei,th,e,r;N,EH,DH,ǝ,R;s; 
g,oo,d;G,UH,D;s; UH
n,o,r;N,AO,R;s; AO
b,u,t;B,AH,T;s; 
h,e;HH,IY;s; IY
s,ee,k,s;S,IY,K,S;s; IY
th,ei,r;DH,EH,R;s; 
w,i,th;W,IH,DH;s; IH
g,r,ea,t,e,r;G,r,e,T,ǝ,R;s; 
th,a,n;DH,AE,N;s; AE
c,a,n;K,AE,N;s; AE
r,e,n,d,e,r;r,e,N,D,ǝ,R;s; 
i,t;IH,T;s; IH
h,i,m;HH,IH,M;s; IH
a,n,d;AH,N,D;s; 
th,a,t;DH,AE,T;s; AE
f,u,ll,l,y;F,UH,L,ǝ,IH;s; UH,IH
d,i,sc,o,v,e,r;D,IH,S,K,AH,V,ER;s; IH
h,i,m;HH,IH,M;s; IH
th,ei,r;DH,EH,R;s; 
t,o;T,UW;s; UW
s,ee,m;S,IY,M;s; IY
t,o;T,UW;s; UW
a,ff,e,c,t;ǝ,F,e,K,T;s; 
th,e;DH,AH;s; 
a,n,d;AH,N,D;s; 
o,f;AH,V;s; 
th,e;DH,AH;s; 
i,s;IH,Z;s; IH
a,s;AE,Z;s; AE
b,a,d;B,AE,D;s; AE
a,s;AE,Z;s; AE
th,a,t;DH,AE,T;s; AE
h,e;HH,IY;s; IY
d,i,s,l,i,k,e,s;D,IH,S,L,ǝ,IH,K,S;s; IH,IH
t,o;T,UW;s; UW
th,e,m;DH,EH,M;s; 
f,o,r;F,AO,R;s; AO
th,ei,r;DH,EH,R;s; 
n,o;N,OW;s; 
o,f;AH,V;s; 
h,i,m;HH,IH,M;s; IH
a;AH;s; 
m,a,n;M,AE,N;s; AE
h,e;HH,IY;s; IY
d,o,th;D,AO,TH;s; AO
a,pp,ea,r;ǝ,P,IY,R;s; IY
