y,ou;Y,UW;s; UW
f,r,o,m;F,R,AH,M;s; 
y,ou;Y,UW;s; UW
n,o,t;N,AA,T;s; AA
p,a,ss;P,AE,S;s; AE
y,ou;Y,UW;s; UW
m,u,s,t;M,AH,S,T;s; 
r,e,t,u,r,n;r,IH,T,ɐ,R,N;s; IH
ou,r;OW,R;s; 
w,i,ll;W,IH,L;s; IH
n,o;N,OW;s; 
f,r,o,m;F,R,AH,M;s; 
b,e;B,IY;s; IY
i,t;IH,T;s; IH
s,o;S,OW;s; 
g,o;G,OW;s; 
b,a,ck;B,AE,K;s; AE
th,e;DH,AH;s; 
o,f;AH,V;s; 
y,ou,r;Y,AO,R;s; AO
i,s;IH,Z;s; IH
n,o,t;N,AA,T;s; AA
f,ai,th;F,EY,TH;s; EY
i,f;IH,F;s; IH
y,ou;Y,UW;s; UW
h,a,d;HH,AE,D;s; AE
t,o,l,d;T,OW,L,D;s; 
a,s;AE,Z;s; AE
i,n;IH,N;s; IH
h,i,s;HH,IH,Z;s; IH
a,s;AE,Z;s; AE
y,ou;Y,UW;s; UW
i,n;IH,N;s; IH
y,ou,r;Y,AO,R;s; AO
y,ou;Y,UW;s; UW
n,o,t;N,AA,T;s; AA
p,a,ss;P,AE,S;s; AE
n,o;N,OW;s; 
i,t;IH,T;s; IH
w,re;W,ER;s; 
a,s;AE,Z;s; AE
v,i,r,t,uou,s;V,ER,CH,UW,AH,S;s; UW
t,o;T,UW;s; UW
a,s;AE,Z;s; AE
t,o;T,UW;s; UW
th,e,r,e,f,re;DH,EH,R,F,AO,R;s; AO
g,o;G,OW;s; 
b,a,ck;B,AE,K;s; AE
y,ou;Y,UW;s; UW
a;AH;s; 
r,o,m,a,n;r,OW,M,ǝ,N;s; 
y,ou;Y,UW;s; UW
th,e,n;DH,EH,N;s; 
y,ou;Y,UW;s; UW
a,s;AE,Z;s; AE
h,e;HH,IY;s; IY
d,oe,s;D,AH,Z;s; 
c,a,n;K,AE,N;s; AE
y,ou;Y,UW;s; UW
wh,e,n;ʍ,e,N;s; 
y,ou;Y,UW;s; UW
ou,t;AW,T;s; 
y,ou,r;Y,AO,R;s; AO
th,e;DH,AH;s; 
v,e,r,y;V,EH,R,IY;s; IY
o,f;AH,V;s; 
th,e,m;DH,EH,M;s; 
a,n,d;AH,N,D;s; 
i,n;IH,N;s; IH
a;AH;s; 
p,o,p,u,l,a,r;P,AA,P,Y,AH,L,ER;s; AA
i,g,n,o,r,a,ce;IH,G,N,ER,AH,N,S;s; IH
g,i,v,e,n;G,IH,V,AH,N;s; IH
y,ou,r;Y,AO,R;s; AO
e,n,e,m,y;EH,N,AH,M,IY;s; IY
y,ou,r;Y,AO,R;s; AO
sh,ie,l,d;SH,IY,L,D;s; IY
th,i,n,k;TH,IH,NG,K;s; IH
t,o;T,UW;s; UW
f,r,o,n,t;F,r,ɤ,N,T;s; 
h,i,s;HH,IH,Z;s; IH
w,i,th;W,IH,DH;s; IH
th,e;DH,AH;s; 
g,r,oa,n,s;G,r,OW,N,Z;s; 
o,f;AH,V;s; 
o,l,d;OW,L,D;s; 
w,o,m,e,n;W,IH,M,AH,N;s; IH
th,e;DH,AH;s; 
o,f;AH,V;s; 
y,ou,r;Y,AO,R;s; AO
o,r;AO,R;s; AO
w,i,th;W,IH,DH;s; IH
th,e;DH,AH;s; 
o,f;AH,V;s; 
a;AH;s; 
a,s;AE,Z;s; AE
y,ou;Y,UW;s; UW
s,ee,m;S,IY,M;s; IY
t,o;T,UW;s; UW
b,e;B,IY;s; IY
c,a,n;K,AE,N;s; AE
y,ou;Y,UW;s; UW
th,i,n,k;TH,IH,NG,K;s; IH
t,o;T,UW;s; UW
ou,t;AW,T;s; 
th,e;DH,AH;s; 
i,n,t,e,n,d,e,d;IH,N,T,EH,N,D,AH,D;s; IH
y,ou,r;Y,AO,R;s; AO
i,s;IH,Z;s; IH
r,ea,d,y;R,EH,D,IY;s; IY
t,o;T,UW;s; UW
i,n;IH,N;s; IH
w,i,th;W,IH,DH;s; IH
w,ea,k;W,IY,K;s; IY
b,r,ea,th;B,R,EH,TH;s; 
a,s;AE,Z;s; AE
th,i,s;DH,IH,S;s; IH
n,o;N,OW;s; 
y,ou;Y,UW;s; UW
th,e,r,e,f,re;DH,EH,R,F,AO,R;s; AO
b,a,ck;B,AE,K;s; AE
t,o;T,UW;s; UW
a,n,d;AH,N,D;s; 
f,o,r;F,AO,R;s; AO
y,ou,r;Y,AO,R;s; AO
y,ou;Y,UW;s; UW
ou,r;OW,R;s; 
s,w,o,r,n;S,W,AO,R,N;s; AO
y,ou;Y,UW;s; UW
ou,t;AW,T;s; 
o,f;AH,V;s; 
a,n,d;AH,N,D;s; 
p,a,r,d,o,n;P,AA,R,D,ǝ,N;s; AA
m,y;M,AY;s; AY
c,a,p,t,ai,n;K,AE,P,T,AH,N;s; AE
y,ou;Y,UW;s; UW
n,o,t;N,AA,T;s; AA
m,y;M,AY;s; AY
n,o,t;N,AA,T;s; AA
f,o,r;F,AO,R;s; AO
y,ou;Y,UW;s; UW
b,a,ck;B,AE,K;s; AE
i;AY;s; AY
g,o;G,OW;s; 
l,e,s,t;L,EH,S,T;s; 
i;AY;s; AY
l,e,t;L,EH,T;s; 
f,o,r,th;F,AO,R,TH;s; AO
y,ou,r;Y,AO,R;s; AO
o,f;AH,V;s; 
b,l,oo,d;B,L,AH,D;s; 
b,a,ck;B,AE,K;s; AE
