th,e;DH,AH;s; 
m,a,d,a,m;M,AE,D,AH,M;s; AE
d,e,s,i,r,e,s;D,IH,Z,ǝ,IH,R,Z;s; IH,IH
y,ou,r;Y,AO,R;s; AO
c,o,m,p,a,n,y;K,AH,M,P,AH,N,IY;s; IY
y,ou;Y,UW;s; UW
m,a,d,a,m;M,AE,D,AH,M;s; AE
a,l,m,o,s,t;AA,L,M,OW,S,T;s; AA
m,a,d,a,m;M,AE,D,AH,M;s; AE
th,a,t;DH,AE,T;s; AE
n,o;N,OW;s; 
th,a,n;DH,AE,N;s; AE
a,s;AE,Z;s; AE
d,ea,r;D,IY,R;s; IY
a,s;AE,Z;s; AE
y,ou,r,s;Y,UH,R,Z;s; UH
c,a,n;K,AE,N;s; AE
b,oa,s,t;B,OW,S,T;s; 
o,f;AH,V;s; 
y,ou,r;Y,AO,R;s; AO
p,l,ea,s,re;P,L,EH,ZH,ER;s; 
t,o;T,UW;s; UW
k,ee,p;K,IY,P;s; IY
m,y;M,AY;s; AY
g,oo,d;G,UH,D;s; UH
o,r;AO,R;s; AO
t,o;T,UW;s; UW
r,e,p,o,r,t;r,IH,P,AO,R,T;s; IH,AO
o,f;AH,V;s; 
y,ou;Y,UW;s; UW
wh,a,t;W,AH,T;s; 
i;AY;s; AY
sh,a,ll;SH,AE,L;s; AE
th,i,n,k;TH,IH,NG,K;s; IH
i,s;IH,Z;s; IH
g,oo,d;G,UH,D;s; UH
th,e;DH,AH;s; 
p,r,i,n,c,e,ss;P,R,IH,N,S,EH,S;s; IH
