is,'IH Z', s, IH
neither,'N EH DH ǝ R', s, 
nor,'N AO R', s, AO
we,'W IY', s, IY
fain,'F EH N', s, 
either,'EH DH ǝ R', s, 
meet,'M IY T', s, IY
you,'Y UW', s, UW
at,'AE T', s, AE
that,'DH AE T', s, AE
master,'M AW S T ǝ R', s, 
antipholus,'AW N T IH F ǝ ˌ L ɤ S', s, IH
i,'AY', s, AY
it,'IH T', s, IH
well,'W EH L', s, 
lo,'L OW', s, 
the,'DH AH', s, 
i,'AY', s, AY
to,'T UW', s, UW
you,'Y UW', s, UW
at,'AE T', s, AE
the,'DH AH', s, 
the,'DH AH', s, 
me,'M IY', s, IY
thus,'DH ɤ S', s, 
what,'W AH T', s, 
i,'AY', s, AY
it,'IH T', s, IH
for,'F AO R', s, AO
you,'Y UW', s, UW
not,'N AA T', s, AA
nor,'N AO R', s, AO
but,'B AH T', s, 
you,'Y UW', s, UW
go,'G OW', s, 
hme,'OW M', s, 
with,'W IH DH', s, IH
it,'IH T', s, IH
and,'AH N D', s, 
your,'Y AO R', s, AO
withal,'W IH DH AA L', s, IH AA
and,'AH N D', s, 
soon,'S UW N', s, UW
at,'AE T', s, AE
supper,'S ɤ P ǝ R', s, 
visit,'V IH Z AH T', s, IH
you,'Y UW', s, UW
and,'AH N D', s, 
then,'DH EH N', s, 
my,'M AY', s, AY
for,'F AO R', s, AO
the,'DH AH', s, 
you,'Y UW', s, UW
a,'AH', s, 
merrry,'M e r ǝ IH', s, IH
man,'M AE N', s, AE
you,'Y UW', s, UW
well,'W EH L', s, 
even,'IY V IH N', s, IY IH
the,'DH AH', s, 
sum,'S ɤ M', s, 
that,'DH AE T', s, AE
i,'AY', s, AY
do,'D OW', s, 
we,'OW', s, 
to,'T UW', s, UW
you,'Y UW', s, UW
is,'IH Z', s, IH
to,'T UW', s, UW
me,'M IY', s, IY
by,'B AY', s, AY
antipholus,'AW N T IH F ǝ ˌ L ɤ S', s, IH
and,'AH N D', s, 
in,'IH N', s, IH
the,'DH AH', s, 
instant,'IH N S T AH N T', s, IH
that,'DH AE T', s, AE
i,'AY', s, AY
met,'M EH T', s, 
with,'W IH DH', s, IH
you,'Y UW', s, UW
he,'HH IY', s, IY
had,'HH AE D', s, AE
of,'AH V', s, 
me,'M IY', s, IY
a,'AH', s, 
at,'AE T', s, AE
i,'AY', s, AY
shall,'SH AE L', s, AE
the,'DH AH', s, 
for,'F AO R', s, AO
the,'DH AH', s, 
you,'Y UW', s, UW
with,'W IH DH', s, IH
me,'M IY', s, IY
down,'D ǝ UH N', s, UH
to,'T UW', s, UW
his,'HH IH Z', s, IH
i,'AY', s, AY
will,'W IH L', s, IH
my,'M AY', s, AY
bond,'B AA N D', s, AA
and,'AH N D', s, 
thank,'TH AE NG K', s, AE
you,'Y UW', s, UW
too,'T UW', s, UW
your,'Y AO R', s, AO
merrry,'M e r ǝ IH', s, IH
humor,'HH Y UW M ER', s, UW
the,'DH AH', s, 
your,'Y AO R', s, AO
to,'T UW', s, UW
the,'DH AH', s, 
utmost,'AH T M OW S T', s, 
carat,'K EH R AH T', s, 
the,'DH AH', s, 
of,'AH V', s, 
the,'DH AH', s, 
gold,'G OW L D', s, 
and,'AH N D', s, 
fashion,'F AE SH AH N', s, AE
doth,'D AO TH', s, AO
to,'T UW', s, UW
than,'DH AE N', s, AE
i,'AY', s, AY
stand,'S T AE N D', s, AE
to,'T UW', s, UW
this,'DH IH S', s, IH
gentleman,'JH EH N T AH L M AH N', s, 
i,'AY', s, AY
you,'Y UW', s, UW
see,'S IY', s, IY
him,'HH IH M', s, IH
presently,'P R EH Z AH N T L IY', s, IY
for,'F AO R', s, AO
he,'HH IY', s, IY
is,'IH Z', s, IH
to,'T UW', s, UW
sea,'S IY', s, IY
and,'AH N D', s, 
but,'B AH T', s, 
for,'F AO R', s, AO
it,'IH T', s, IH
then,'DH EH N', s, 
you,'Y UW', s, UW
will,'W IH L', s, IH
the,'DH AH', s, 
to,'T UW', s, UW
well,'W EH L', s, 
i,'AY', s, AY
will,'W IH L', s, IH
you,'Y UW', s, UW
the,'DH AH', s, 
you,'Y UW', s, UW
i,'AY', s, AY
you,'Y UW', s, UW
me,'M IY', s, IY
the,'DH AH', s, 
both,'B OW TH', s, 
and,'AH N D', s, 
for,'F AO R', s, AO
this,'DH IH S', s, IH
gentleman,'JH EH N T AH L M AH N', s, 
and,'AH N D', s, 
i,'AY', s, AY
to,'T UW', s, UW
held,'HH EH L D', s, 
him,'HH IH M', s, IH
too,'T UW', s, UW
you,'Y UW', s, UW
he,'HH IY', s, IY
me,'M IY', s, IY
the,'DH AH', s, 
you,'Y UW', s, UW
i,'AY', s, AY
it,'IH T', s, IH
you,'Y UW', s, UW
even,'IY V IH N', s, IY IH
either,'EH DH ǝ R', s, 
send,'S EH N D', s, 
the,'DH AH', s, 
or,'AO R', s, AO
send,'S EH N D', s, 
by,'B AY', s, AY
me,'M IY', s, IY
token,'T OW K ǝ N', s, 
the,'DH AH', s, 
that,'DH AE T', s, AE
you,'Y UW', s, UW
we,'OW', s, 
me,'M IY', s, IY
for,'F AO R', s, AO
the,'DH AH', s, 
you,'Y UW', s, UW
i,'AY', s, AY
it,'IH T', s, IH
you,'Y UW', s, UW
an,'AE N', s, AE
you,'Y UW', s, UW
me,'M IY', s, IY
in,'IH N', s, IH
it,'IH T', s, IH
it,'IH T', s, IH
stands,'S T AE N D Z', s, AE
upon,'AH P AA N', s, AA
my,'M AY', s, AY
credit,'K R EH D AH T', s, 
this,'DH IH S', s, IH
me,'M IY', s, IY
in,'IH N', s, IH
either,'EH DH ǝ R', s, 
consent,'K AH N S EH N T', s, 
to,'T UW', s, UW
this,'DH IH S', s, IH
sum,'S ɤ M', s, 
for,'F AO R', s, AO
me,'M IY', s, IY
or,'AO R', s, AO
i,'AY', s, AY
attach,'AH T AE CH', s, AE
you,'Y UW', s, UW
by,'B AY', s, AY
this,'DH IH S', s, IH
is,'IH Z', s, IH
fee,'F IY', s, IY
him,'HH IH M', s, IH
i,'AY', s, AY
not,'N AA T', s, AA
my,'M AY', s, AY
in,'IH N', s, IH
this,'DH IH S', s, IH
if,'IH F', s, IH
he,'HH IY', s, IY
me,'M IY', s, IY
so,'S OW', s, 
apparently,'AH P EH R AH N T L IY', s, IY
i,'AY', s, AY
shall,'SH AE L', s, AE
in,'IH N', s, IH
to,'T UW', s, UW
your,'Y AO R', s, AO
i,'AY', s, AY
doubt,'D ǝ UH T', s, UH
it,'IH T', s, IH
not,'N AA T', s, AA
i,'AY', s, AY
am,'AE M', s, AE
that,'DH AE T', s, AE
i,'AY', s, AY
you,'Y UW', s, UW
but,'B AH T', s, 
i,'AY', s, AY
protest,'P R OW T EH S T', s, 
he,'HH IY', s, IY
had,'HH AE D', s, AE
the,'DH AH', s, 
of,'AH V', s, 
me,'M IY', s, IY
most,'M OW S T', s, 
dishonestly,'D IH S AO N AH S T L IY', s, IH AO IY
he,'HH IY', s, IY
doth,'D AO TH', s, AO
it,'IH T', s, IH
of,'AH V', s, 
very,'V EH R IY', s, IY
of,'AH V', s, 
credit,'K R EH D AH T', s, 
second,'S EH K AH N D', s, 
to,'T UW', s, UW
that,'DH AE T', s, AE
in,'IH N', s, IH
the,'DH AH', s, 
his,'HH IH Z', s, IH
bear,'B EH R', s, 
my,'M AY', s, AY
wealth,'W EH L TH', s, 
at,'AE T', s, AE
so,'S OW', s, 
and,'AH N D', s, 
that,'DH AE T', s, AE
self,'S EH L F', s, 
his,'HH IH Z', s, IH
neck,'N EH K', s, 
he,'HH IY', s, IY
most,'M OW S T', s, 
to,'T UW', s, UW
good,'G UH D', s, UH
near,'N IY R', s, IY
to,'T UW', s, UW
me,'M IY', s, IY
speak,'S P IY K', s, IY
to,'T UW', s, UW
him,'HH IH M', s, IH
antipholus,'AW N T IH F ǝ ˌ L ɤ S', s, IH
i,'AY', s, AY
wonder,'W ɤ N D ǝ R', s, 
that,'DH AE T', s, AE
you,'Y UW', s, UW
put,'P UH T', s, UH
me,'M IY', s, IY
to,'T UW', s, UW
this,'DH IH S', s, IH
and,'AH N D', s, 
and,'AH N D', s, 
not,'N AA T', s, AA
to,'T UW', s, UW
with,'W IH DH', s, IH
and,'AH N D', s, 
so,'S OW', s, 
to,'T UW', s, UW
this,'DH IH S', s, IH
you,'Y UW', s, UW
wear,'W EH R', s, 
so,'S OW', s, 
besides,'B IH S ə IH D Z', s, IH IH
the,'DH AH', s, 
the,'DH AH', s, 
you,'Y UW', s, UW
to,'T UW', s, UW
this,'DH IH S', s, IH
my,'M AY', s, AY
friend,'F R EH N D', s, 
who,'HH UW', s, UW
but,'B AH T', s, 
for,'F AO R', s, AO
on,'AA N', s, AA
our,'OW R', s, 
