good,'G UH D', s, UH
you,'Y UW', s, UW
must,'M AH S T', s, 
us,'AH S', s, 
all,'AA L', s, AA
my,'M AY', s, AY
is,'IH Z', s, IH
when,'ʍ e N', s, 
i,'AY', s, AY
keep,'K IY P', s, IY
not,'N AA T', s, AA
that,'DH AE T', s, AE
i,'AY', s, AY
with,'W IH DH', s, IH
you,'Y UW', s, UW
at,'AE T', s, AE
your,'Y AO R', s, AO
shop,'SH AA P', s, AA
to,'T UW', s, UW
see,'S IY', s, IY
the,'DH AH', s, 
of,'AH V', s, 
and,'AH N D', s, 
that,'DH AE T', s, AE
you,'Y UW', s, UW
will,'W IH L', s, IH
it,'IH T', s, IH
hme,'OW M', s, 
but,'B AH T', s, 
a,'AH', s, 
villain,'V IH L AH N', s, IH
that,'DH AE T', s, AE
me,'M IY', s, IY
down,'D ǝ UH N', s, UH
he,'HH IY', s, IY
met,'M EH T', s, 
me,'M IY', s, IY
on,'AA N', s, AA
the,'DH AH', s, 
mart,'M AA R T', s, AA
and,'AH N D', s, 
that,'DH AE T', s, AE
i,'AY', s, AY
beat,'B IY T', s, IY
him,'HH IH M', s, IH
and,'AH N D', s, 
him,'HH IH M', s, IH
with,'W IH DH', s, IH
a,'AH', s, 
marks,'M AA R K S', s, AA
in,'IH N', s, IH
gold,'G OW L D', s, 
and,'AH N D', s, 
that,'DH AE T', s, AE
i,'AY', s, AY
did,'D IH D', s, IH
my,'M AY', s, AY
and,'AH N D', s, 
thou,'DH AW', s, 
drunkard,'D r ɤ NG K ǝ R D', s, 
thou,'DH AW', s, 
what,'W AH T', s, 
thou,'DH AW', s, 
mean,'M IY N', s, IY
by,'B AY', s, AY
this,'DH IH S', s, IH
i,'AY', s, AY
think,'TH IH NG K', s, IH
thou,'DH AW', s, 
art,'AA R T', s, AA
an,'AE N', s, AE
ass,'AE S', s, AE
youre,'Y UH R', s, UH
sad,'S AE D', s, AE
god,'G AA D', s, AA
our,'OW R', s, 
my,'M AY', s, AY
goodwill,'G UH D W IH L', s, UH IH
and,'AH N D', s, 
your,'Y AO R', s, AO
good,'G UH D', s, UH
o,'OW', s, 
either,'EH DH ǝ R', s, 
at,'AE T', s, AE
flesh,'F L EH SH', s, 
or,'AO R', s, AO
fish,'F IH SH', s, IH
a,'AH', s, 
full,'F UH L', s, UH
of,'AH V', s, 
dish,'D IH SH', s, IH
and,'AH N D', s, 
common,'K AA M AH N', s, AA
for,'F AO R', s, AO
but,'B AH T', s, 
to,'T UW', s, UW
a,'AH', s, 
and,'AH N D', s, 
guest,'G EH S T', s, 
but,'B AH T', s, 
my,'M AY', s, AY
be,'B IY', s, IY
mean,'M IY N', s, IY
them,'DH EH M', s, 
in,'IH N', s, IH
good,'G UH D', s, UH
part,'P AA R T', s, AA
better,'B e T ə R', s, 
you,'Y UW', s, UW
but,'B AH T', s, 
not,'N AA T', s, AA
with,'W IH DH', s, IH
better,'B e T ə R', s, 
heart,'HH AA R T', s, AA
but,'B AH T', s, 
soft,'S AA F T', s, AA
my,'M AY', s, AY
door,'D AO R', s, AO
is,'IH Z', s, IH
go,'G OW', s, 
bid,'B IH D', s, IH
them,'DH EH M', s, 
let,'L EH T', s, 
us,'AH S', s, 
in,'IH N', s, IH
who,'HH UW', s, UW
within,'W IH DH IH N', s, IH IH
ho,'HH OW', s, 
open,'OW P ǝ N', s, 
the,'DH AH', s, 
door,'D AO R', s, AO
for,'F AO R', s, AO
my,'M AY', s, AY
i,'AY', s, AY
not,'N AA T', s, AA
dined,'D ǝ IH N D', s, IH
what,'W AH T', s, 
art,'AA R T', s, AA
thou,'DH AW', s, 
that,'DH AE T', s, AE
me,'M IY', s, IY
out,'AW T', s, 
from,'F R AH M', s, 
the,'DH AH', s, 
i,'AY', s, AY
we,'OW', s, 
do,'D OW', s, 
you,'Y UW', s, UW
you,'Y UW', s, UW
let,'L EH T', s, 
us,'AH S', s, 
in,'IH N', s, IH
i,'AY', s, AY
thou,'DH AW', s, 
