p,r,o,c,ee,d;P,R,AH,S,IY,D;s; IY
t,o;T,UW;s; UW
m,y;M,AY;s; AY
f,a,ll;F,AA,L;s; AA
a,n,d;AH,N,D;s; 
b,y;B,AY;s; AY
th,e;DH,AH;s; 
d,oo,m;D,ɤ,M;s; 
o,f;AH,V;s; 
d,ea,th;D,EH,TH;s; 
e,n,d;EH,N,D;s; 
w,oe,s;W,OW,Z;s; 
a,n,d;AH,N,D;s; 
a,ll;AA,L;s; AA
y,e,t;Y,EH,T;s; 
th,i,s;DH,IH,S;s; IH
m,y;M,AY;s; AY
c,o,m,f,o,r,t;K,ɤ,M,F,ǝ,R,T;s; 
wh,e,n;ʍ,e,N;s; 
y,ou,r;Y,AO,R;s; AO
m,y;M,AY;s; AY
w,oe,s;W,OW,Z;s; 
e,n,d;EH,N,D;s; 
l,i,k,e,w,se;L,AY,K,W,AY,Z;s; AY,AY
w,i,th;W,IH,DH;s; IH
th,e;DH,AH;s; 
s,u,n;S,AH,N;s; 
a;AH;s; 
t,a,s,k;T,AW,S,K;s; 
n,o,t;N,AA,T;s; AA
b,ee,n;B,IH,N;s; IH
th,a,n;DH,AE,N;s; AE
i;AY;s; AY
t,o;T,UW;s; UW
s,p,ea,k;S,P,IY,K;s; IY
m,y;M,AY;s; AY
y,e,t;Y,EH,T;s; 
th,a,t;DH,AE,T;s; AE
th,e;DH,AH;s; 
w,i,t,n,e,ss;W,IH,T,N,AH,S;s; IH
th,a,t;DH,AE,T;s; AE
m,y;M,AY;s; AY
e,n,d;EH,N,D;s; 
w,a,s;W,AA,Z;s; AA
b,y;B,AY;s; AY
n,a,t,re;N,EY,CH,ER;s; EY
n,o,t;N,AA,T;s; AA
b,y;B,AY;s; AY
wh,a,t;W,AH,T;s; 
m,y;M,AY;s; AY
m,e;M,IY;s; IY
i,n;IH,N;s; IH
w,a,s;W,AA,Z;s; AA
i;AY;s; AY
b,o,r,n;B,AO,R,N;s; AO
a,n,d;AH,N,D;s; 
w,e,d;W,EH,D;s; 
u,n,t,o;AH,N,T,UW;s; UW
a;AH;s; 
w,o,m,a,n;W,UH,M,AH,N;s; UH
b,u,t;B,AH,T;s; 
f,o,r;F,AO,R;s; AO
m,e;M,IY;s; IY
a,n,d;AH,N,D;s; 
b,y;B,AY;s; AY
m,e;M,IY;s; IY
h,a,d;HH,AE,D;s; AE
n,o,t;N,AA,T;s; AA
ou,r;OW,R;s; 
b,ee,n;B,IH,N;s; IH
b,a,d;B,AE,D;s; AE
w,i,th;W,IH,DH;s; IH
i;AY;s; AY
i,n;IH,N;s; IH
ou,r;OW,R;s; 
w,ea,l,th;W,EH,L,TH;s; 
b,y;B,AY;s; AY
i;AY;s; AY
t,o;T,UW;s; UW
t,i,ll;T,IH,L;s; IH
m,y;M,AY;s; AY
d,ea,th;D,EH,TH;s; 
a,n,d;AH,N,D;s; 
th,e;DH,AH;s; 
g,r,ea,t;G,r,e,T;s; 
o,f;AH,V;s; 
g,oo,d,s;G,UH,D,Z;s; UH
a,t;AE,T;s; AE
r,a,n,d,o,m;R,AE,N,D,AH,M;s; AE
l,e,f,t;L,EH,F,T;s; 
m,e;M,IY;s; IY
f,r,o,m;F,R,AH,M;s; 
o,f;AH,V;s; 
m,y;M,AY;s; AY
f,r,o,m;F,R,AH,M;s; 
wh,o,m;HH,UW,M;s; UW
m,y;M,AY;s; AY
w,a,s;W,AA,Z;s; AA
n,o,t;N,AA,T;s; AA
o,l,d;OW,L,D;s; 
a,t;AE,T;s; AE
u,n,d,e,r;ɤ,N,D,ǝ,R;s; 
th,e;DH,AH;s; 
p,u,n,i,sh,h,m,e,n,t;P,ɤ,N,IH,SH,ˌ,M,e,N,T;s; IH
th,a,t;DH,AE,T;s; AE
w,o,m,e,n;W,IH,M,AH,N;s; IH
b,ea,r;B,EH,R;s; 
h,a,d;HH,AE,D;s; AE
f,o,r;F,AO,R;s; AO
m,e;M,IY;s; IY
a,n,d;AH,N,D;s; 
s,oo,n;S,UW,N;s; UW
a,n,d;AH,N,D;s; 
i;AY;s; AY
w,a,s;W,AA,Z;s; AA
h,a,d;HH,AE,D;s; AE
sh,e;SH,IY;s; IY
n,o,t;N,AA,T;s; AA
b,ee,n;B,IH,N;s; IH
b,u,t;B,AH,T;s; 
sh,e;SH,IY;s; IY
a;AH;s; 
o,f;AH,V;s; 
s,o,n,s;S,AH,N,Z;s; 
a,n,d;AH,N,D;s; 
w,a,s;W,AA,Z;s; AA
th,e;DH,AH;s; 
s,o;S,OW;s; 
th,e;DH,AH;s; 
a,s;AE,Z;s; AE
n,o,t;N,AA,T;s; AA
b,e;B,IY;s; IY
d,i,s,t,i,n,g,ui,sh,e,d;D,IH,S,T,IH,NG,G,W,IH,SH,T;s; IH,IH,IH
b,u,t;B,AH,T;s; 
b,y;B,AY;s; AY
th,a,t;DH,AE,T;s; AE
v,e,r,y;V,EH,R,IY;s; IY
a,n,d;AH,N,D;s; 
i,n;IH,N;s; IH
th,e;DH,AH;s; 
i,nn;IH,N;s; IH
a;AH;s; 
m,ea,n;M,IY,N;s; IY
w,o,m,a,n;W,UH,M,AH,N;s; UH
w,a,s;W,AA,Z;s; AA
o,f;AH,V;s; 
a;AH;s; 
b,u,r,d,e,n;B,ɐ,R,DH,ə,N;s; 
t,w,i,n,s;T,W,IH,N,Z;s; IH
b,o,th;B,OW,TH;s; 
f,o,r;F,AO,R;s; AO
th,ei,r;DH,EH,R;s; 
p,a,r,e,n,t,s;P,EH,R,AH,N,T,S;s; 
w,re;W,ER;s; 
p,oo,r;P,UH,R;s; UH
i;AY;s; AY
a,n,d;AH,N,D;s; 
u,p;AH,P;s; 
t,o;T,UW;s; UW
a,tt,e,n,d;AH,T,EH,N,D;s; 
m,y;M,AY;s; AY
s,o,n,s;S,AH,N,Z;s; 
m,y;M,AY;s; AY
n,o,t;N,AA,T;s; AA
o,f;AH,V;s; 
f,o,r;F,AO,R;s; AO
ou,r;OW,R;s; 
h,me;OW,M;s; 
r,e,t,u,r,n;r,IH,T,ɐ,R,N;s; IH
i;AY;s; AY
a,g,r,ee,d;ǝ,ɡ,r,IY,D;s; IY
a,l,a,s;AH,L,AE,S;s; AE
t,oo;T,UW;s; UW
s,oo,n;S,UW,N;s; UW
w,e;W,IY;s; IY
a,b,oa,r,d;AH,B,AO,R,D;s; AO
a;AH;s; 
f,r,o,m;F,R,AH,M;s; 
h,a,d;HH,AE,D;s; AE
w,e;W,IY;s; IY
th,e;DH,AH;s; 
d,ee,p;D,IY,P;s; IY
t,r,a,g,i,c;T,R,AE,JH,IH,K;s; AE,IH
o,f;AH,V;s; 
ou,r;OW,R;s; 
b,u,t;B,AH,T;s; 
l,o,n,g,e,r;L,ɒ,NG,G,ǝ,R;s; 
d,i,d;D,IH,D;s; IH
w,e;W,IY;s; IY
n,o,t;N,AA,T;s; AA
r,e,t,ai,n;R,IH,T,EY,N;s; IH,EY
f,o,r;F,AO,R;s; AO
wh,a,t;W,AH,T;s; 
