o;OW;s; 
m,i,s,t,r,e,ss;M,IH,S,T,R,AH,S;s; IH
m,i,s,t,r,e,ss;M,IH,S,T,R,AH,S;s; IH
sh,i,f,t;SH,IH,F,T;s; IH
a,n,d;AH,N,D;s; 
s,ve;EH,V;s; 
m,y;M,AY;s; AY
m,a,s,t,e,r;M,AW,S,T,ǝ,R;s; 
a,n,d;AH,N,D;s; 
h,i,s;HH,IH,Z;s; IH
m,a,n;M,AE,N;s; AE
b,o,th;B,OW,TH;s; 
b,ea,t,e,n;B,IY,T,ə,N;s; IY
th,e;DH,AH;s; 
m,ai,d,s;M,EY,D,Z;s; EY
a,n,d;AH,N,D;s; 
th,e;DH,AH;s; 
b,ea,r,d;B,EH,R,D;s; 
o,ff;AO,F;s; AO
w,i,th;W,IH,DH;s; IH
b,r,a,n,d,s;B,R,AE,N,D,Z;s; AE
o,f;AH,V;s; 
a,n,d;AH,N,D;s; 
a,s;AE,Z;s; AE
i,t;IH,T;s; IH
o,n;AA,N;s; AA
h,i,m;HH,IH,M;s; IH
g,r,ea,t;G,r,e,T;s; 
p,ai,l,s;P,EH,L,Z;s; 
o,f;AH,V;s; 
t,o;T,UW;s; UW
th,e;DH,AH;s; 
h,ai,r;HH,EH,R;s; 
m,y;M,AY;s; AY
m,a,s,t,e,r;M,AW,S,T,ǝ,R;s; 
p,r,ea,ch,e,s;P,R,IY,CH,IH,Z;s; IY,IH
t,o;T,UW;s; UW
h,i,m;HH,IH,M;s; IH
a,n,d;AH,N,D;s; 
th,e;DH,AH;s; 
h,i,s;HH,IH,Z;s; IH
m,a,n;M,AE,N;s; AE
w,i,th;W,IH,DH;s; IH
h,i,m;HH,IH,M;s; IH
a;AH;s; 
f,oo,l;F,UH,L;s; UH
a,n,d;AH,N,D;s; 
u,n,l,e,ss;ɤ,N,L,e,S;s; 
y,ou;Y,UW;s; UW
s,e,n,d;S,EH,N,D;s; 
p,r,e,s,e,n,t;P,r,IH,Z,e,N,T;s; IH
b,e,t,w,ee,n;B,IH,T,W,IY,N;s; IH,IY
th,e,m;DH,EH,M;s; 
w,i,ll;W,IH,L;s; IH
k,i,ll;K,IH,L;s; IH
th,e;DH,AH;s; 
m,i,s,t,r,e,ss;M,IH,S,T,R,AH,S;s; IH
u,p,o,n;AH,P,AA,N;s; AA
m,y;M,AY;s; AY
i;AY;s; AY
t,e,ll;T,EH,L;s; 
y,ou;Y,UW;s; UW
t,r,ue;T,R,UW;s; UW
i;AY;s; AY
n,o,t;N,AA,T;s; AA
a,l,m,o,s,t;AA,L,M,OW,S,T;s; AA
i;AY;s; AY
d,i,d;D,IH,D;s; IH
s,ee;S,IY;s; IY
i,t;IH,T;s; IH
h,e;HH,IY;s; IY
c,r,ie,s;K,R,AY,Z;s; AY
f,o,r;F,AO,R;s; AO
y,ou;Y,UW;s; UW
a,n,d;AH,N,D;s; 
v,o,w,s;V,ǝ,UH,Z;s; UH
i,f;IH,F;s; IH
h,e;HH,IY;s; IY
c,a,n;K,AE,N;s; AE
y,ou;Y,UW;s; UW
t,o;T,UW;s; UW
y,ou,r;Y,AO,R;s; AO
a,n,d;AH,N,D;s; 
t,o;T,UW;s; UW
y,ou;Y,UW;s; UW
i;AY;s; AY
h,i,m;HH,IH,M;s; IH
m,i,s,t,r,e,ss;M,IH,S,T,R,AH,S;s; IH
