m,e;M,IY;s; IY
y,ou,r;Y,AO,R;s; AO
a,n,d;AH,N,D;s; 
l,e,t;L,EH,T;s; 
m,e;M,IY;s; IY
f,ee,l;F,IY,L;s; IY
y,ou,r;Y,AO,R;s; AO
i;AY;s; AY
th,ee;DH,IY;s; IY
s,a,t,a,n;S,AW,T,ǝ,N;s; 
w,i,th,i,n;W,IH,DH,IH,N;s; IH,IH
th,i,s;DH,IH,S;s; IH
m,a,n;M,AE,N;s; AE
t,o;T,UW;s; UW
y,ie,l,d;Y,IY,L,D;s; IY
t,o;T,UW;s; UW
m,y;M,AY;s; AY
h,o,l,y;HH,OW,L,IY;s; IY
a,n,d;AH,N,D;s; 
t,o;T,UW;s; UW
o,f;AH,V;s; 
d,a,r,k,n,e,ss;D,AA,R,K,N,AH,S;s; AA
h,ie;ǝ,IH;s; IH
th,ee;DH,IY;s; IY
i;AY;s; AY
c,o,n,j,re;K,AA,N,JH,ER;s; AA
th,ee;DH,IY;s; IY
b,y;B,AY;s; AY
a,ll;AA,L;s; AA
th,e;DH,AH;s; 
s,ai,n,t,s;S,EY,N,T,S;s; EY
i,n;IH,N;s; IH
h,ea,v,e,n;HH,EH,V,AH,N;s; 
i,t;IH,T;s; IH
i,s;IH,Z;s; IH
n,o;N,OW;s; 
th,e;DH,AH;s; 
h,i,s;HH,IH,Z;s; IH
v,ei,n;V,EY,N;s; EY
a,n,d;AH,N,D;s; 
t,o;T,UW;s; UW
h,i,m;HH,IH,M;s; IH
w,e,ll;W,EH,L;s; 
h,i,s;HH,IH,Z;s; IH
m,i,s,t,r,e,ss;M,IH,S,T,R,AH,S;s; IH
b,o,th;B,OW,TH;s; 
m,a,n;M,AE,N;s; AE
a,n,d;AH,N,D;s; 
m,a,s,t,e,r;M,AW,S,T,ǝ,R;s; 
i,s;IH,Z;s; IH
i;AY;s; AY
i,t;IH,T;s; IH
b,y;B,AY;s; AY
th,ei,r;DH,EH,R;s; 
a,n,d;AH,N,D;s; 
d,ea,d,l,y;D,EH,D,L,IY;s; IY
l,oo,k,s;L,UH,K,S;s; UH
m,u,s,t;M,AH,S,T;s; 
b,e;B,IY;s; IY
a,n,d;AH,N,D;s; 
l,ai,d;L,EH,D;s; 
i,n;IH,N;s; IH
d,a,r,k;D,AA,R,K;s; AA
r,oo,m;R,UW,M;s; UW
c,o,m,p,a,n,y;K,AH,M,P,AH,N,IY;s; IY
th,e;DH,AH;s; 
f,ie,n,d;F,IY,N,D;s; IY
i,s;IH,Z;s; IH
w,i,th,i,n;W,IH,DH,IH,N;s; IH,IH
h,i,m;HH,IH,M;s; IH
g,o;G,OW;s; 
b,i,n,d;B,AY,N,D;s; AY
th,i,s;DH,IH,S;s; IH
m,a,n;M,AE,N;s; AE
f,o,r;F,AO,R;s; AO
h,e;HH,IY;s; IY
i,s;IH,Z;s; IH
f,r,a,n,t,i,c;F,R,AE,N,T,IH,K;s; AE,IH
t,oo;T,UW;s; UW
