y,ou,r;Y,AO,R;s; AO
m,a,j,e,s,t,y;M,AE,JH,AH,S,T,IY;s; AE,IY
t,o;T,UW;s; UW
u,s;AH,S;s; 
f,r,ee,l,y;F,R,IY,L,IY;s; IY,IY
t,o;T,UW;s; UW
r,e,n,d,e,r;r,e,N,D,ǝ,R;s; 
wh,a,t;W,AH,T;s; 
w,e;W,IY;s; IY
i,n;IH,N;s; IH
o,r;AO,R;s; AO
sh,a,ll;SH,AE,L;s; AE
w,e;W,IY;s; IY
y,ou;Y,UW;s; UW
f,a,r;F,AA,R;s; AA
o,ff;AO,F;s; AO
th,e;DH,AH;s; 
a,n,d;AH,N,D;s; 
ou,r;OW,R;s; 
th,u,s;DH,ɤ,S;s; 
th,e,n;DH,EH,N;s; 
i,n;IH,N;s; IH
f,e,w;F,Y,UW;s; UW
y,ou,r;Y,AO,R;s; AO
l,a,t,e,l,y;L,EH,T,L,ǝ,IH;s; IH
i,n,t,o;IH,N,T,UW;s; IH,UW
d,i,d;D,IH,D;s; IH
c,l,ai,m;K,L,EH,M;s; 
c,e,r,t,ai,n;S,ɐ,R,T,ǝ,N;s; 
d,u,k,e,d,o,m,s;D,Y,UW,K,D,ǝ,M,Z;s; UW
i,n;IH,N;s; IH
th,e;DH,AH;s; 
o,f;AH,V;s; 
y,ou,r;Y,AO,R;s; AO
g,r,ea,t;G,r,e,T;s; 
e,d,w,a,r,d;e,D,W,ǝ,R,D;s; 
th,e;DH,AH;s; 
i,n;IH,N;s; IH
o,f;AH,V;s; 
c,l,ai,m;K,L,EH,M;s; 
th,e;DH,AH;s; 
ou,r;OW,R;s; 
m,a,s,t,e,r;M,AW,S,T,ǝ,R;s; 
th,a,t;DH,AE,T;s; AE
y,ou;Y,UW;s; UW
t,oo;T,UW;s; UW
o,f;AH,V;s; 
y,ou,r;Y,AO,R;s; AO
y,ou,th;Y,UW,TH;s; UW
a,n,d;AH,N,D;s; 
b,i,d,s;B,IH,D,Z;s; IH
y,ou;Y,UW;s; UW
b,e;B,IY;s; IY
a,d,v,i,s,e,d;ǝ,D,V,ǝ,IH,Z,D;s; IH
i,n;IH,N;s; IH
th,a,t;DH,AE,T;s; AE
c,a,n;K,AE,N;s; AE
b,e;B,IY;s; IY
w,i,th;W,IH,DH;s; IH
a;AH;s; 
w,o,n;W,ɤ,N;s; 
y,ou;Y,UW;s; UW
c,a,nn,o,t;K,AE,N,AA,T;s; AE,AA
r,e,v,e,l;R,EH,V,AH,L;s; 
i,n,t,o;IH,N,T,UW;s; IH,UW
d,u,k,e,d,o,m,s;D,Y,UW,K,D,ǝ,M,Z;s; UW
h,e;HH,IY;s; IY
th,e,r,e,f,re;DH,EH,R,F,AO,R;s; AO
s,e,n,d,s;S,EH,N,D,Z;s; 
y,ou;Y,UW;s; UW
f,o,r;F,AO,R;s; AO
y,ou,r;Y,AO,R;s; AO
s,p,i,r,i,t;S,P,IH,R,AH,T;s; IH
th,i,s;DH,IH,S;s; IH
t,u,n;T,ɤ,N;s; 
o,f;AH,V;s; 
a,n,d;AH,N,D;s; 
i,n;IH,N;s; IH
l,ieu;L,UW;s; UW
o,f;AH,V;s; 
th,i,s;DH,IH,S;s; IH
d,e,s,i,r,e,s;D,IH,Z,ǝ,IH,R,Z;s; IH,IH
y,ou;Y,UW;s; UW
l,e,t;L,EH,T;s; 
th,e;DH,AH;s; 
d,u,k,e,d,o,m,s;D,Y,UW,K,D,ǝ,M,Z;s; UW
th,a,t;DH,AE,T;s; AE
y,ou;Y,UW;s; UW
c,l,ai,m;K,L,EH,M;s; 
n,o;N,OW;s; 
o,f;AH,V;s; 
y,ou;Y,UW;s; UW
th,i,s;DH,IH,S;s; IH
th,e;DH,AH;s; 
s,p,ea,k,s;S,P,IY,K,S;s; IY
