un,'œ ̃', s, 
peu,'P ø', s, 
la,'L AA', s, AA
main,'M EH N', s, 
de,'D e', s, 
les,'L EH S', s, 
ma,'M AA', s, AA
les,'L EH S', s, 
mais,'M EY Z', s, EY
je,'JH IY', s, IY
me,'M IY', s, IY
les,'L EH S', s, 
je,'JH IY', s, IY
de,'D e', s, 
de,'D e', s, 
les,'L EH S', s, 
les,'L EH S', s, 
de,'D e', s, 
bien,'B IY N', s, IY
il,'IY L', s, IY
bon,'B AA N', s, AA
anglais,'AA ̃ G L W EH', s, AA
de,'D e', s, 
il,'IY L', s, IY
je,'JH IY', s, IY
de,'D e', s, 
nick,'N IH K', s, IH
de,'D e', s, 
chin,'CH IH N', s, IH
en,'AA ̃', s, AA
les,'L EH S', s, 
mots,'M AA T S', s, AA
que,'K ǝ', s, 
les,'L EH S', s, 
pas,'P AA Z', s, AA
que,'K ǝ', s, 
je,'JH IY', s, IY
ai,'AY', s, AY
de,'D e', s, 
le,'L AH', s, 
foot,'F UH T', s, UH
le,'L AH', s, 
dat,'D AE T', s, AE
de,'D e', s, 
of,'AH V', s, 
de,'D e', s, 
mans,'M AE N Z', s, AE
is,'IH Z', s, IH
be,'B IY', s, IY
full,'F UH L', s, UH
of,'AH V', s, 
deceits,'D AH S IY T S', s, IY
dat,'D AE T', s, AE
is,'IH Z', s, IH
de,'D e', s, 
princess,'P R IH N S EH S', s, IH
dat,'D AE T', s, AE
it,'IH T', s, IH
is,'IH Z', s, IH
not,'N AA T', s, AA
be,'B IY', s, IY
de,'D e', s, 
fashion,'F AE SH AH N', s, AE
pour,'P UW R', s, UW
les,'L EH S', s, 
ladies,'L EY D IY Z', s, EY IY
of,'AH V', s, 
cannot,'K AE N AA T', s, AE AA
tell,'T EH L', s, 
wat,'W AO T', s, AO
is,'IH Z', s, IH
en,'AA ̃', s, AA
your,'Y AO R', s, AO
que,'K ǝ', s, 
amen,'EY M EH N', s, EY
