o;OW;s; 
f,o,r;F,AO,R;s; AO
a;AH;s; 
o,f;AH,V;s; 
th,a,t;DH,AE,T;s; AE
a,sc,e,n,d;AH,S,EH,N,D;s; 
th,e;DH,AH;s; 
h,ea,v,e,n;HH,EH,V,AH,N;s; 
o,f;AH,V;s; 
a;AH;s; 
f,o,r;F,AO,R;s; AO
a;AH;s; 
p,r,i,n,c,e,s;P,R,IH,N,S,AH,Z;s; IH
t,o;T,UW;s; UW
a,c,t;AE,K,T;s; AE
a,n,d;AH,N,D;s; 
t,o;T,UW;s; UW
b,e,h,o,l,d;B,IH,HH,OW,L,D;s; IH
th,e;DH,AH;s; 
th,e,n;DH,EH,N;s; 
th,e;DH,AH;s; 
h,i,m,s,e,l,f;HH,IH,M,S,EH,L,F;s; IH
th,e;DH,AH;s; 
p,o,r,t;P,AO,R,T;s; AO
o,f;AH,V;s; 
m,a,r,s;M,AA,R,Z;s; AA
a,n,d;AH,N,D;s; 
a,t;AE,T;s; AE
h,i,s;HH,IH,Z;s; IH
i,n;IH,N;s; IH
h,ou,n,d,s;ǝ,UH,N,D,Z;s; UH
a,n,d;AH,N,D;s; 
f,o,r;F,AO,R;s; AO
e,m,p,l,o,y,m,e,n,t;e,M,P,L,ǝ,IH,M,ǝ,N,T;s; IH
b,u,t;B,AH,T;s; 
p,a,r,d,o,n;P,AA,R,D,ǝ,N;s; AA
g,e,n,t,l,e,s;JH,EH,N,T,AH,L,Z;s; 
a,ll;AA,L;s; AA
th,e;DH,AH;s; 
f,l,a,t;F,L,AE,T;s; AE
s,p,i,r,i,t,s;S,P,IH,R,AH,T,S;s; IH
th,a,t;DH,AE,T;s; AE
h,a,th;HH,AE,TH;s; AE
o,n;AA,N;s; AA
th,i,s;DH,IH,S;s; IH
t,o;T,UW;s; UW
f,o,r,th;F,AO,R,TH;s; AO
s,o;S,OW;s; 
g,r,ea,t;G,r,e,T;s; 
a,n;AE,N;s; AE
o,b,j,e,c,t;AA,B,JH,EH,K,T;s; AA
c,a,n;K,AE,N;s; AE
th,i,s;DH,IH,S;s; IH
th,e;DH,AH;s; 
f,ie,l,d,s;F,IY,L,D,Z;s; IY
o,f;AH,V;s; 
o,r;AO,R;s; AO
w,e;W,IY;s; IY
c,r,a,m;K,R,AE,M;s; AE
w,i,th,i,n;W,IH,DH,IH,N;s; IH,IH
th,i,s;DH,IH,S;s; IH
w,oo,d,e,n;W,UH,D,AH,N;s; UH
o;OW;s; 
th,e;DH,AH;s; 
v,e,r,y;V,EH,R,IY;s; IY
th,a,t;DH,AE,T;s; AE
d,i,d;D,IH,D;s; IH
th,e;DH,AH;s; 
ai,r;EH,R;s; 
a,t;AE,T;s; AE
o;OW;s; 
p,a,r,d,o,n;P,AA,R,D,ǝ,N;s; AA
a;AH;s; 
a,tt,e,s,t;AH,T,EH,S,T;s; 
i,n;IH,N;s; IH
a;AH;s; 
a,n,d;AH,N,D;s; 
l,e,t;L,EH,T;s; 
u,s;AH,S;s; 
c,i,p,h,e,r,s;S,ǝ,IH,F,ǝ,R,Z;s; IH
t,o;T,UW;s; UW
th,i,s;DH,IH,S;s; IH
g,r,ea,t;G,r,e,T;s; 
o,n;AA,N;s; AA
y,ou,r;Y,AO,R;s; AO
f,o,r,c,e,s;F,AO,R,S,IH,Z;s; AO,IH
w,o,r,k;W,AO,R,K;s; AO
w,i,th,i,n;W,IH,DH,IH,N;s; IH,IH
th,e;DH,AH;s; 
o,f;AH,V;s; 
c,o,n,f,i,n,e,d;K,ǝ,N,F,ǝ,IH,N,D;s; IH
m,i,g,h,t,y;M,ǝ,IH,T,ǝ,IH;s; IH,IH
a,n,d;AH,N,D;s; 
f,r,o,n,t,s;F,r,ɤ,N,T,S;s; 
th,e;DH,AH;s; 
o,c,ea,n;OW,SH,AH,N;s; 
p,a,r,t,s;P,AA,R,T,S;s; AA
ou,t;AW,T;s; 
ou,r;OW,R;s; 
w,i,th;W,IH,DH;s; IH
y,ou,r;Y,AO,R;s; AO
i,n,t,o;IH,N,T,UW;s; IH,UW
a;AH;s; 
p,a,r,t,s;P,AA,R,T,S;s; AA
m,a,n;M,AE,N;s; AE
a,n,d;AH,N,D;s; 
th,i,n,k;TH,IH,NG,K;s; IH
wh,e,n;ʍ,e,N;s; 
w,e;W,IY;s; IY
o,f;AH,V;s; 
h,o,r,s,e,s;HH,AO,R,S,AH,Z;s; AO
th,a,t;DH,AE,T;s; AE
y,ou;Y,UW;s; UW
s,ee;S,IY;s; IY
th,e,m;DH,EH,M;s; 
th,ei,r;DH,EH,R;s; 
h,oo,f,s;HH,UH,F,S;s; UH
