w,e;W,IY;s; IY
s,ee;S,IY;s; IY
th,e;DH,AH;s; 
o,f;AH,V;s; 
th,e;DH,AH;s; 
b,u,t;B,AH,T;s; 
i;AY;s; AY
th,i,n,k;TH,IH,NG,K;s; IH
w,e;W,IY;s; IY
sh,a,ll;SH,AE,L;s; AE
n,e,v,e,r;N,e,V,ǝ,R;s; 
s,ee;S,IY;s; IY
th,e;DH,AH;s; 
e,n,d;EH,N,D;s; 
o,f;AH,V;s; 
g,oe,s;G,OW,Z;s; 
u,n,d,e,r;ɤ,N,D,ǝ,R;s; 
wh,a,t;W,AH,T;s; 
c,a,p,t,ai,n;K,AE,P,T,AH,N;s; AE
s,e,ve;S,ER,V;s; 
y,ou;Y,UW;s; UW
a;AH;s; 
g,oo,d;G,UH,D;s; UH
o,l,d;OW,L,D;s; 
c,o,mm,a,n,d,e,r;K,ǝ,M,AW,N,D,ǝ,R;s; 
a,n,d;AH,N,D;s; 
a;AH;s; 
m,o,s,t;M,OW,S,T;s; 
g,e,n,t,l,e,m,a,n;JH,EH,N,T,AH,L,M,AH,N;s; 
i;AY;s; AY
y,ou;Y,UW;s; UW
wh,a,t;W,AH,T;s; 
th,i,n,k,s;TH,IH,NG,K,S;s; IH
h,e;HH,IY;s; IY
o,f;AH,V;s; 
ou,r;OW,R;s; 
th,a,n;DH,AE,N;s; AE
w,e;W,IY;s; IY
b,u,t;B,AH,T;s; 
i,f;IH,F;s; IH
th,e;DH,AH;s; 
b,e;B,IY;s; IY
n,o,t;N,AA,T;s; AA
g,oo,d;G,UH,D;s; UH
th,e;DH,AH;s; 
h,i,m,s,e,l,f;HH,IH,M,S,EH,L,F;s; IH
h,a,th;HH,AE,TH;s; AE
a;AH;s; 
h,ea,v,y;e,V,ǝ,IH;s; IH
t,o;T,UW;s; UW
wh,e,n;ʍ,e,N;s; 
a,ll;AA,L;s; AA
l,e,g,s;L,EH,G,Z;s; 
a,n,d;AH,N,D;s; 
a,r,m,s;AA,R,M,Z;s; AA
a,n,d;AH,N,D;s; 
h,ea,d,s;HH,EH,D,Z;s; 
o,ff;AO,F;s; AO
i,n;IH,N;s; IH
a;AH;s; 
sh,a,ll;SH,AE,L;s; AE
j,oi,n;JH,OY,N;s; 
a,t;AE,T;s; AE
th,e;DH,AH;s; 
a,n,d;AH,N,D;s; 
a,ll;AA,L;s; AA
w,e;W,IY;s; IY
d,ie,d;D,AY,D;s; AY
a,t;AE,T;s; AE
a;AH;s; 
c,r,y,i,n,g;K,r,ǝ,IH,IH,N;s; IH,IH
f,o,r;F,AO,R;s; AO
a;AH;s; 
u,p,o,n;AH,P,AA,N;s; AA
th,ei,r;DH,EH,R;s; 
l,e,f,t;L,EH,F,T;s; 
p,oo,r;P,UH,R;s; UH
b,e,h,i,n,d;B,IH,ə,IH,N,D;s; IH,IH
th,e,m;DH,EH,M;s; 
u,p,o,n;AH,P,AA,N;s; AA
th,e;DH,AH;s; 
we;OW;s; 
u,p,o,n;AH,P,AA,N;s; AA
th,ei,r;DH,EH,R;s; 
ch,i,l,d,r,e,n;CH,IH,L,D,R,AH,N;s; IH
r,a,w,l,y;r,AO,L,ǝ,IH;s; AO,IH
l,e,f,t;L,EH,F,T;s; 
i;AY;s; AY
a,m;AE,M;s; AE
f,e,w;F,Y,UW;s; UW
w,e,ll;W,EH,L;s; 
th,a,t;DH,AE,T;s; AE
i,n;IH,N;s; IH
a;AH;s; 
f,o,r;F,AO,R;s; AO
c,a,n;K,AE,N;s; AE
o,f;AH,V;s; 
wh,e,n;ʍ,e,N;s; 
b,l,oo,d;B,L,AH,D;s; 
i,s;IH,Z;s; IH
th,ei,r;DH,EH,R;s; 
i,f;IH,F;s; IH
m,e,n;M,EH,N;s; 
d,o;D,OW;s; 
n,o,t;N,AA,T;s; AA
w,e,ll;W,EH,L;s; 
i,t;IH,T;s; IH
w,i,ll;W,IH,L;s; IH
b,e;B,IY;s; IY
a;AH;s; 
b,l,a,ck;B,L,AE,K;s; AE
m,a,tt,e,r;M,AW,T,ǝ,R;s; 
f,o,r;F,AO,R;s; AO
th,e;DH,AH;s; 
th,a,t;DH,AE,T;s; AE
l,e,d;L,EH,D;s; 
th,e,m;DH,EH,M;s; 
t,o;T,UW;s; UW
i,t;IH,T;s; IH
wh,o;HH,UW;s; UW
t,o;T,UW;s; UW
w,re;W,ER;s; 
a,g,ai,n,s,t;AH,G,EH,N,S,T;s; 
a,ll;AA,L;s; AA
o,f;AH,V;s; 
c,e,r,t,ai,n;S,ɐ,R,T,ǝ,N;s; 
e,v,e,r,y;e,V,r,ǝ,IH;s; IH
m,a,n;M,AE,N;s; AE
th,a,t;DH,AE,T;s; AE
i,ll;IH,L;s; IH
th,e;DH,AH;s; 
i,ll;IH,L;s; IH
u,p,o,n;AH,P,AA,N;s; AA
h,i,s;HH,IH,Z;s; IH
th,e;DH,AH;s; 
i,s;IH,Z;s; IH
n,o,t;N,AA,T;s; AA
t,o;T,UW;s; UW
i,t;IH,T;s; IH
h,e;HH,IY;s; IY
s,ai,d;S,EH,D;s; 
s,o;S,OW;s; 
t,o;T,UW;s; UW
u,s;AH,S;s; 
b,u,t;B,AH,T;s; 
wh,e,n;ʍ,e,N;s; 
ou,r;OW,R;s; 
c,u,t;K,ɤ,T;s; 
h,e;HH,IY;s; IY
b,e;B,IY;s; IY
a,n,d;AH,N,D;s; 
w,e;W,IY;s; IY
th,e;DH,AH;s; 
y,ou;Y,UW;s; UW
h,i,m;HH,IH,M;s; IH
th,e,n;DH,EH,N;s; 
a;AH;s; 
sh,o,t;SH,AA,T;s; AA
ou,t;AW,T;s; 
o,f;AH,V;s; 
a,n;AE,N;s; AE
e,l,d,e,r;e,L,D,ǝ,R;s; 
g,u,n;G,AH,N;s; 
th,a,t;DH,AE,T;s; AE
a;AH;s; 
p,oo,r;P,UH,R;s; UH
a,n,d;AH,N,D;s; 
a;AH;s; 
