n,o;N,OW;s; 
d,ou,b,t;D,ǝ,UH,T;s; UH
m,y;M,AY;s; AY
i,f;IH,F;s; IH
ea,ch;IY,CH;s; IY
m,a,n;M,AE,N;s; AE
d,o;D,OW;s; 
h,i,s;HH,IH,Z;s; IH
b,e,s,t;B,EH,S,T;s; 
s,o;S,OW;s; 
sh,a,ll;SH,AE,L;s; AE
w,i,th;W,IH,DH;s; IH
a,n,d;AH,N,D;s; 
sh,a,ll;SH,AE,L;s; AE
r,e,f,r,e,sh;R,IH,F,R,EH,SH;s; IH
i,t,s,e,l,f;IH,T,S,EH,L,F;s; IH
w,i,th;W,IH,DH;s; IH
t,o;T,UW;s; UW
d,o;D,OW;s; 
y,ou,r;Y,AO,R;s; AO
i,n,c,e,ss,a,n,t;IH,N,S,EH,S,AH,N,T;s; IH
s,e,r,v,i,c,e,s;S,ɐ,R,V,IH,S,IH,Z;s; IH,IH
b,u,t;B,AH,T;s; 
t,oo;T,UW;s; UW
l,e,t;L,EH,T;s; 
h,i,m;HH,IH,M;s; IH
b,e;B,IY;s; IY
l,e,s,t;L,EH,S,T;s; 
b,r,ee,d;B,R,IY,D;s; IY
b,y;B,AY;s; AY
h,i,s;HH,IH,Z;s; IH
o,f;AH,V;s; 
a;AH;s; 
s,o;S,OW;s; 
d,i,d;D,IH,D;s; IH
y,ou;Y,UW;s; UW
m,e;M,IY;s; IY
m,y;M,AY;s; AY
t,o;T,UW;s; UW
w,e;W,IY;s; IY
a,ll;AA,L;s; AA
a,pp,ea,l;ǝ,P,IY,L;s; IY
ou,r;OW,R;s; 
p,u,r,p,o,s,e,s;P,ɐ,R,P,ǝ,S,IH,Z;s; IH
g,o,d;G,AA,D;s; AA
h,a,th;HH,AE,TH;s; AE
a,n,d;AH,N,D;s; 
i;AY;s; AY
r,e,p,e,n,t;R,IH,P,EH,N,T;s; IH
m,y;M,AY;s; AY
f,au,l,t;F,AO,L,T;s; AO
th,a,n;DH,AE,N;s; AE
m,y;M,AY;s; AY
d,ea,th;D,EH,TH;s; 
i;AY;s; AY
b,e,s,ee,ch;B,IY,S,IY,CH;s; IY,IY
y,ou,r;Y,AO,R;s; AO
t,o;T,UW;s; UW
f,o,r,g,ve;F,ER,G,IH,V;s; IH
m,y;M,AY;s; AY
b,o,d,y;B,AA,D,IY;s; AA,IY
th,e;DH,AH;s; 
o,f;AH,V;s; 
i,t;IH,T;s; IH
