was,'W AA Z', s, AA
he,'HH IY', s, IY
mad,'M AE D', s, AE
you,'Y UW', s, UW
a,'AH', s, 
merrry,'M e r ǝ IH', s, IH
my,'M AY', s, AY
lord,'L AO R D', s, AO
sands,'S AW N D Z', s, 
you,'Y UW', s, UW
cannot,'K AE N AA T', s, AE AA
me,'M IY', s, IY
not,'N AA T', s, AA
for,'F AO R', s, AO
that,'DH AE T', s, AE
neither,'N EH DH ǝ R', s, 
the,'DH AH', s, 
that,'DH AE T', s, AE
his,'HH IH Z', s, IH
so,'S OW', s, 
with,'W IH DH', s, IH
and,'AH N D', s, 
she,'SH IY', s, IY
so,'S OW', s, 
good,'G UH D', s, UH
a,'AH', s, 
lady,'L EY D IY', s, EY IY
that,'DH AE T', s, AE
no,'N OW', s, 
of,'AH V', s, 
my,'M AY', s, AY
she,'SH IY', s, IY
never,'N e V ǝ R', s, 
after,'AW F T ǝ R', s, 
so,'S OW', s, 
of,'AH V', s, 
the,'DH AH', s, 
sun,'S AH N', s, 
still,'S T IH L', s, IH
in,'IH N', s, IH
a,'AH', s, 
majesty,'M AE JH AH S T IY', s, AE IY
and,'AH N D', s, 
pomp,'P AA M P', s, AA
the,'DH AH', s, 
to,'T UW', s, UW
a,'AH', s, 
than,'DH AE N', s, AE
sweet,'S W IY T', s, IY
at,'AE T', s, AE
this,'DH IH S', s, IH
process,'P r OW S e S', s, 
to,'T UW', s, UW
the,'DH AH', s, 
avaunt,'ǝ V AO N T', s, AO
it,'IH T', s, IH
is,'IH Z', s, IH
a,'AH', s, 
a,'AH', s, 
monster,'M ɒ N S T ǝ R', s, 
o,'OW', s, 
will,'W IH L', s, IH
better,'B e T ə R', s, 
she,'SH IY', s, IY
had,'HH AE D', s, AE
pomp,'P AA M P', s, AA
be,'B IY', s, IY
yet,'Y EH T', s, 
if,'IH F', s, IH
that,'DH AE T', s, AE
do,'D OW', s, 
it,'IH T', s, IH
from,'F R AH M', s, 
the,'DH AH', s, 
bearer,'B EH r ə R', s, 
a,'AH', s, 
as,'AE Z', s, AE
soul,'S OW L', s, 
and,'AH N D', s, 
so,'S OW', s, 
the,'DH AH', s, 
must,'M AH S T', s, 
drop,'D R AA P', s, AA
