this, DH IH1 S , s, 
is, IH1 Z , s, 
a, AH0 , s, 
piece, P IY1 S , s, 
of, AH1 V , s, 
malice, M AE1 L AH0 S , s, 
i, AY1 , s, 
am, AE1 M , s, 
glad, G L AE1 D , s, 
i, AY1 , s, 
came, K EY1 M , s, 
this, DH IH1 S , s, 
way, W EY1 , s, 
so, S OW :, s, 
happily, ˈ AW P IH ˌ L ǝ IH, s, 
the, DH AH0 , s, 
king, K IH1 NG , s, 
shall, SH AE1 L , s, 
understand, AH2 N D ER0 S T AE1 N D , s, 
it, IH1 T , s, 
presently, P R EH1 Z AH0 N T L IY0 , s, 
i'll, AY1 L , s, 
show, SH OW :, s, 
your, Y AO1 R , s, 
grace, G r EH: : S, s, 
the, DH AH0 , s, 
strangest, EH: : N D ZH ǝ S T, s, 
sight, S AY1 T , s, 
i, AY1 , s, 
think, TH IH1 NG K , s, 
your, Y AO1 R , s, 
highness, HH AY1 N AH0 S , s, 
saw, S AO1 , s, 
this, DH IH1 S , s, 
many, ˈ M AW N ǝ IH, s, 
a, AH0 , s, 
day, D EY1 , s, 
there, DH EH1 R , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
the, DH AH0 , s, 
high, ǝ IH, s, 
promotion, P R AH0 M OW1 SH AH0 N , s, 
of, AH1 V , s, 
his, HH IH1 Z , s, 
grace, G r EH: : S, s, 
of, AH1 V , s, 
canterbury, ˈ K AW N T ǝ R ˌ B r IY :, s, 
who, HH UW1 , s, 
holds, OW : L D Z, s, 
his, HH IH1 Z , s, 
state, S T EY1 T , s, 
at, AE1 T , s, 
door, D AO1 R , s, 
pursuivants, ˈ P ɐ : R S IH ˌ V AW N T S, s, 
pages, P EY1 JH AH0 Z , s, 
and, AH0 N D , s, 
this, DH IH1 S , s, 
is, IH1 Z , s, 
a, AH0 , s, 
piece, P IY1 S , s, 
of, AH1 V , s, 
malice, M AE1 L AH0 S , s, 
i, AY1 , s, 
am, AE1 M , s, 
glad, G L AE1 D , s, 
i, AY1 , s, 
came, K EY1 M , s, 
this, DH IH1 S , s, 
way, W EY1 , s, 
so, S OW :, s, 
happily, ˈ AW P IH ˌ L ǝ IH, s, 
the, DH AH0 , s, 
king, K IH1 NG , s, 
shall, SH AE1 L , s, 
understand, AH2 N D ER0 S T AE1 N D , s, 
it, IH1 T , s, 
presently, P R EH1 Z AH0 N T L IY0 , s, 
i'll, AY1 L , s, 
show, SH OW :, s, 
your, Y AO1 R , s, 
grace, G r EH: : S, s, 
the, DH AH0 , s, 
strangest, EH: : N D ZH ǝ S T, s, 
sight, S AY1 T , s, 
i, AY1 , s, 
think, TH IH1 NG K , s, 
your, Y AO1 R , s, 
highness, HH AY1 N AH0 S , s, 
saw, S AO1 , s, 
this, DH IH1 S , s, 
many, ˈ M AW N ǝ IH, s, 
a, AH0 , s, 
day, D EY1 , s, 
there, DH EH1 R , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
the, DH AH0 , s, 
high, ǝ IH, s, 
promotion, P R AH0 M OW1 SH AH0 N , s, 
of, AH1 V , s, 
his, HH IH1 Z , s, 
grace, G r EH: : S, s, 
of, AH1 V , s, 
canterbury, ˈ K AW N T ǝ R ˌ B r IY :, s, 
who, HH UW1 , s, 
holds, OW : L D Z, s, 
his, HH IH1 Z , s, 
state, S T EY1 T , s, 
at, AE1 T , s, 
door, D AO1 R , s, 
pursuivants, ˈ P ɐ : R S IH ˌ V AW N T S, s, 
pages, P EY1 JH AH0 Z , s, 
and, AH0 N D , s, 
this, DH IH1 S , s, 
is, IH1 Z , s, 
a, AH0 , s, 
piece, P IY1 S , s, 
of, AH1 V , s, 
malice, M AE1 L AH0 S , s, 
i, AY1 , s, 
am, AE1 M , s, 
glad, G L AE1 D , s, 
i, AY1 , s, 
came, K EY1 M , s, 
this, DH IH1 S , s, 
way, W EY1 , s, 
so, S OW :, s, 
happily, ˈ AW P IH ˌ L ǝ IH, s, 
the, DH AH0 , s, 
king, K IH1 NG , s, 
shall, SH AE1 L , s, 
understand, AH2 N D ER0 S T AE1 N D , s, 
it, IH1 T , s, 
presently, P R EH1 Z AH0 N T L IY0 , s, 
i'll, AY1 L , s, 
show, SH OW :, s, 
your, Y AO1 R , s, 
grace, G r EH: : S, s, 
the, DH AH0 , s, 
strangest, EH: : N D ZH ǝ S T, s, 
sight, S AY1 T , s, 
i, AY1 , s, 
think, TH IH1 NG K , s, 
your, Y AO1 R , s, 
highness, HH AY1 N AH0 S , s, 
saw, S AO1 , s, 
this, DH IH1 S , s, 
many, ˈ M AW N ǝ IH, s, 
a, AH0 , s, 
day, D EY1 , s, 
there, DH EH1 R , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
the, DH AH0 , s, 
high, ǝ IH, s, 
promotion, P R AH0 M OW1 SH AH0 N , s, 
of, AH1 V , s, 
his, HH IH1 Z , s, 
grace, G r EH: : S, s, 
of, AH1 V , s, 
canterbury, ˈ K AW N T ǝ R ˌ B r IY :, s, 
who, HH UW1 , s, 
holds, OW : L D Z, s, 
his, HH IH1 Z , s, 
state, S T EY1 T , s, 
at, AE1 T , s, 
door, D AO1 R , s, 
pursuivants, ˈ P ɐ : R S IH ˌ V AW N T S, s, 
pages, P EY1 JH AH0 Z , s, 
and, AH0 N D , s, 
