m,a,d,a,m;M,AE,D,AH,M;s; AE
th,e;DH,AH;s; 
y,ou,r;Y,AO,R;s; AO
s,e,r,v,a,n,t;S,ɐ,R,V,ǝ,N,T;s; 
l,a,d,y;L,EY,D,IY;s; EY,IY
t,o;T,UW;s; UW
y,ou,r;Y,AO,R;s; AO
th,e;DH,AH;s; 
th,e;DH,AH;s; 
th,a,t;DH,AE,T;s; AE
i;AY;s; AY
v,i,s,i,t;V,IH,Z,AH,T;s; IH
y,ou;Y,UW;s; UW
wh,o;HH,UW;s; UW
f,o,r;F,AO,R;s; AO
y,ou,r;Y,AO,R;s; AO
w,ea,k,n,e,ss;W,IY,K,N,AH,S;s; IY
a,n,d;AH,N,D;s; 
b,y;B,AY;s; AY
m,e;M,IY;s; IY
s,e,n,d,s;S,EH,N,D,Z;s; 
y,ou;Y,UW;s; UW
h,i,s;HH,IH,Z;s; IH
p,r,i,n,c,e,l,y;P,r,IH,N,S,L,ǝ,IH;s; IH,IH
a,n,d;AH,N,D;s; 
y,ou;Y,UW;s; UW
g,oo,d;G,UH,D;s; UH
c,o,m,f,o,r,t;K,ɤ,M,F,ǝ,R,T;s; 
m,a,d,a,m;M,AE,D,AH,M;s; AE
i,n;IH,N;s; IH
g,oo,d;G,UH,D;s; UH
m,o,s,t;M,OW,S,T;s; 
m,a,d,a,m;M,AE,D,AH,M;s; AE
b,y;B,AY;s; AY
h,ea,v,e,n;HH,EH,V,AH,N;s; 
i;AY;s; AY
w,i,ll;W,IH,L;s; IH
o,r;AO,R;s; AO
l,e,t;L,EH,T;s; 
m,e;M,IY;s; IY
th,e;DH,AH;s; 
f,a,sh,io,n;F,AE,SH,AH,N;s; AE
o,f;AH,V;s; 
a;AH;s; 
m,a,n;M,AE,N;s; AE
