w,e;W,IY;s; IY
m,u,s,t;M,AH,S,T;s; 
l,o,n,g,e,r;L,ɒ,NG,G,ǝ,R;s; 
i;AY;s; AY
a,m;AE,M;s; AE
a;AH;s; 
s,ui,t,o,r;SH,UW,T,ǝ,R;s; UW
th,a,n,k;TH,AE,NG,K;s; AE
y,ou,r;Y,AO,R;s; AO
m,a,j,e,s,t,y;M,AE,JH,AH,S,T,IY;s; AE,IY
th,a,t;DH,AE,T;s; AE
y,ou;Y,UW;s; UW
a,n,d;AH,N,D;s; 
i,n;IH,N;s; IH
th,a,t;DH,AE,T;s; AE
n,o,t;N,AA,T;s; AA
u,n,c,o,n,s,i,d,e,r,e,d;ˌ,ɤ,N,K,ǝ,N,S,IH,D,ǝ,R,D;s; IH
y,ou,r;Y,AO,R;s; AO
n,o,r;N,AO,R;s; AO
th,e;DH,AH;s; 
d,i,g,n,i,t,y;D,IH,G,N,AH,T,IY;s; IH,IY
o,f;AH,V;s; 
y,ou,r;Y,AO,R;s; AO
i,s;IH,Z;s; IH
th,e;DH,AH;s; 
o,f;AH,V;s; 
m,y;M,AY;s; AY
i;AY;s; AY
a,m;AE,M;s; AE
s,o,l,i,c,i,t,e,d;S,AH,L,IH,S,IH,T,IH,D;s; IH,IH,IH
n,o,t;N,AA,T;s; AA
b,y;B,AY;s; AY
a;AH;s; 
f,e,w;F,Y,UW;s; UW
a,n,d;AH,N,D;s; 
o,f;AH,V;s; 
t,r,ue;T,R,UW;s; UW
c,o,n,d,i,t,io,n;K,AH,N,D,IH,SH,AH,N;s; IH
th,a,t;DH,AE,T;s; AE
y,ou,r;Y,AO,R;s; AO
s,u,b,j,e,c,t,s;S,AH,B,JH,IH,K,T,S;s; IH
i,n;IH,N;s; IH
g,r,ea,t;G,r,e,T;s; 
b,ee,n;B,IH,N;s; IH
c,o,mm,i,ss,io,n,s;K,AH,M,IH,SH,AH,N,Z;s; IH
s,e,n,t;S,EH,N,T;s; 
d,o,w,n;D,ǝ,UH,N;s; UH
h,a,th;HH,AE,TH;s; AE
th,e;DH,AH;s; 
h,ea,r,t;HH,AA,R,T;s; AA
o,f;AH,V;s; 
a,ll;AA,L;s; AA
th,ei,r;DH,EH,R;s; 
wh,e,r,ei,n;ʍ,EH,R,IH,N;s; IH
m,y;M,AY;s; AY
g,oo,d;G,UH,D;s; UH
l,o,r,d;L,AO,R,D;s; AO
c,a,r,d,i,n,a,l;K,AA,R,D,AH,N,AH,L;s; AA
v,e,n,t;V,EH,N,T;s; 
m,o,s,t;M,OW,S,T;s; 
o,n;AA,N;s; AA
y,ou;Y,UW;s; UW
a,s;AE,Z;s; AE
p,u,tt,e,r,-,o,n;P,UH,T,ǝ,R,-,ɒ,N;s; UH
o,f;AH,V;s; 
y,e,t;Y,EH,T;s; 
th,e;DH,AH;s; 
ou,r;OW,R;s; 
m,a,s,t,e,r;M,AW,S,T,ǝ,R;s; 
h,ea,v,e,n;HH,EH,V,AH,N;s; 
