b,e;B,IY;s; IY
a,s;AE,Z;s; AE
u,n,l,e,ss;ɤ,N,L,e,S;s; 
w,e;W,IY;s; IY
s,w,ee,p;S,W,IY,P;s; IY
f,r,o,m;F,R,AH,M;s; 
th,e;DH,AH;s; 
d,oo,r;D,AO,R;s; AO
w,i,th;W,IH,DH;s; IH
c,a,nn,o,n,s;K,AE,N,AH,N,Z;s; AE
t,o;T,UW;s; UW
a,s;AE,Z;s; AE
t,o;T,UW;s; UW
s,l,ee,p;S,L,IY,P;s; IY
o,n;AA,N;s; AA
w,i,ll;W,IH,L;s; IH
n,e,v,e,r;N,e,V,ǝ,R;s; 
b,e;B,IY;s; IY
w,e;W,IY;s; IY
a,s;AE,Z;s; AE
w,e,ll;W,EH,L;s; 
p,u,sh;P,UH,SH;s; UH
a,g,ai,n,s,t;AH,G,EH,N,S,T;s; 
a,s;AE,Z;s; AE
s,t,i,r;S,T,ɐ,R;s; 
a,l,a,s;AH,L,AE,S;s; AE
i;AY;s; AY
n,o,t;N,AA,T;s; AA
g,e,t,s;G,EH,T,S;s; 
th,e;DH,AH;s; 
i,n;IH,N;s; IH
a,s;AE,Z;s; AE
a,s;AE,Z;s; AE
c,u,d,g,e,l;K,ɤ,D,ZH,ǝ,L;s; 
o,f;AH,V;s; 
f,ou,r;F,AO,R;s; AO
f,oo,t;F,UH,T;s; UH
y,ou;Y,UW;s; UW
s,ee;S,IY;s; IY
th,e;DH,AH;s; 
p,oo,r;P,UH,R;s; UH
i;AY;s; AY
n,o;N,OW;s; 
i;AY;s; AY
a,m;AE,M;s; AE
n,o,t;N,AA,T;s; AA
s,a,m,s,o,n;S,AE,M,S,AH,N;s; AE
n,o,r;N,AO,R;s; AO
n,o,r;N,AO,R;s; AO
t,o;T,UW;s; UW
d,o,w,n;D,ǝ,UH,N;s; UH
m,e;M,IY;s; IY
b,u,t;B,AH,T;s; 
i,f;IH,F;s; IH
i;AY;s; AY
th,a,t;DH,AE,T;s; AE
