me,'M IY', s, IY
stand,'S T AE N D', s, AE
and,'AH N D', s, 
unfold,'ɤ N F OW L D', s, 
you,'Y UW', s, UW
most,'M OW S T', s, 
upon,'AH P AA N', s, AA
your,'Y AO R', s, AO
for,'F AO R', s, AO
this,'DH IH S', s, IH
relief,'R IH L IY F', s, IH IY
thanks,'TH AE NG K S', s, AE
cold,'K OW L D', s, 
and,'AH N D', s, 
i,'AY', s, AY
am,'AE M', s, AE
sick,'S IH K', s, IH
at,'AE T', s, AE
heart,'HH AA R T', s, AA
not,'N AA T', s, AA
a,'AH', s, 
i,'AY', s, AY
think,'TH IH NG K', s, IH
i,'AY', s, AY
ho,'HH OW', s, 
who,'HH UW', s, UW
is,'IH Z', s, IH
you,'Y UW', s, UW
good,'G UH D', s, UH
hath,'HH AE TH', s, AE
my,'M AY', s, AY
you,'Y UW', s, UW
good,'G UH D', s, UH
