good,'G UH D', s, UH
cast,'K AW S T', s, 
off,'AO F', s, AO
and,'AH N D', s, 
let,'L EH T', s, 
look,'L UH K', s, UH
a,'AH', s, 
friend,'F R EH N D', s, 
on,'AA N', s, AA
denmark,'D e N M AA R K', s, AA
do,'D OW', s, 
not,'N AA T', s, AA
with,'W IH DH', s, IH
lids,'L IH D Z', s, IH
seek,'S IY K', s, IY
for,'F AO R', s, AO
in,'IH N', s, IH
the,'DH AH', s, 
dust,'D AH S T', s, 
thou,'DH AW', s, 
common,'K AA M AH N', s, AA
all,'AA L', s, AA
that,'DH AE T', s, AE
must,'M AH S T', s, 
natre,'N EY CH ER', s, EY
to,'T UW', s, UW
if,'IH F', s, IH
it,'IH T', s, IH
be,'B IY', s, IY
whhy,'ʍ ǝ IH', s, IH
seems,'S IY M Z', s, IY
it,'IH T', s, IH
so,'S OW', s, 
with,'W IH DH', s, IH
thee,'DH IY', s, IY
let,'L EH T', s, 
not,'N AA T', s, AA
i,'AY', s, AY
thee,'DH IY', s, IY
with,'W IH DH', s, IH
us,'AH S', s, 
go,'G OW', s, 
not,'N AA T', s, AA
to,'T UW', s, UW
good,'G UH D', s, UH
gentlemen,'JH EH N T AH L M IH N', s, IH
he,'HH IY', s, IY
hath,'HH AE TH', s, AE
of,'AH V', s, 
you,'Y UW', s, UW
and,'AH N D', s, 
i,'AY', s, AY
am,'AE M', s, AE
men,'M EH N', s, 
is,'IH Z', s, IH
not,'N AA T', s, AA
to,'T UW', s, UW
whom,'HH UW M', s, UW
he,'HH IY', s, IY
if,'IH F', s, IH
it,'IH T', s, IH
will,'W IH L', s, IH
you,'Y UW', s, UW
to,'T UW', s, UW
us,'AH S', s, 
so,'S OW', s, 
gentry,'JH EH N T R IY', s, IY
and,'AH N D', s, 
goodwill,'G UH D W IH L', s, UH IH
as,'AE Z', s, AE
to,'T UW', s, UW
your,'Y AO R', s, AO
with,'W IH DH', s, IH
us,'AH S', s, 
for,'F AO R', s, AO
the,'DH AH', s, 
suppply,'S ǝ P L ǝ IH', s, IH
and,'AH N D', s, 
profit,'P R AA F AH T', s, AA
of,'AH V', s, 
our,'OW R', s, 
your,'Y AO R', s, AO
visitation,'V IH Z AH T EY SH AH N', s, IH EY
shall,'SH AE L', s, AE
thanks,'TH AE NG K S', s, AE
as,'AE Z', s, AE
fits,'F IH T S', s, IH
a,'AH', s, 
thanks,'TH AE NG K S', s, AE
and,'AH N D', s, 
and,'AH N D', s, 
i,'AY', s, AY
beseech,'B IY S IY CH', s, IY IY
you,'Y UW', s, UW
instantly,'IH N S T AH N T L IY', s, IH IY
to,'T UW', s, UW
visit,'V IH Z AH T', s, IH
my,'M AY', s, AY
too,'T UW', s, UW
of,'AH V', s, 
you,'Y UW', s, UW
and,'AH N D', s, 
gentlemen,'JH EH N T AH L M IH N', s, IH
is,'IH Z', s, IH
amen,'EY M EH N', s, EY
i,'AY', s, AY
doubt,'D ǝ UH T', s, UH
it,'IH T', s, IH
is,'IH Z', s, IH
no,'N OW', s, 
but,'B AH T', s, 
the,'DH AH', s, 
main,'M EH N', s, 
his,'HH IH Z', s, IH
death,'D EH TH', s, 
and,'AH N D', s, 
