o,f;AH,V;s; 
b,r,u,t,u,s;B,R,UW,T,AH,S;s; UW
o,f;AH,V;s; 
n,o,t;N,AA,T;s; AA
n,ea,r;N,IY,R;s; IY
a,n;AE,N;s; AE
t,o;T,UW;s; UW
c,i,nn,a;S,IH,N,ǝ;s; IH
t,r,u,s,t;T,r,ɤ,S,T;s; 
n,o,t;N,AA,T;s; AA
m,a,r,k;M,AA,R,K;s; AA
w,e,ll;W,EH,L;s; 
b,r,u,t,u,s;B,R,UW,T,AH,S;s; UW
th,ee;DH,IY;s; IY
n,o,t;N,AA,T;s; AA
th,ou;DH,AW;s; 
h,a,s,t;HH,AE,S,T;s; AE
i,s;IH,Z;s; IH
b,u,t;B,AH,T;s; 
i,n;IH,N;s; IH
a,ll;AA,L;s; AA
m,e,n;M,EH,N;s; 
a,n,d;AH,N,D;s; 
i,t;IH,T;s; IH
i,s;IH,Z;s; IH
b,e,n,t;B,EH,N,T;s; 
a,g,ai,n,s,t;AH,G,EH,N,S,T;s; 
i,f;IH,F;s; IH
th,ou;DH,AW;s; 
n,o,t;N,AA,T;s; AA
i,mm,o,r,t,a,l;IH,M,AO,R,T,AH,L;s; IH,AO
l,oo,k;L,UH,K;s; UH
y,ou;Y,UW;s; UW
t,o;T,UW;s; UW
c,o,n,s,p,i,r,a,c,y;K,AH,N,S,P,IH,R,AH,S,IY;s; IH,IY
th,e;DH,AH;s; 
m,i,g,h,t,y;M,ǝ,IH,T,ǝ,IH;s; IH,IH
g,o,d,s;G,AA,D,Z;s; AA
d,e,f,e,n,d;D,IH,F,EH,N,D;s; IH
th,ee;DH,IY;s; IY
w,i,ll;W,IH,L;s; IH
i;AY;s; AY
s,t,a,n,d;S,T,AE,N,D;s; AE
t,i,ll;T,IH,L;s; IH
p,a,ss;P,AE,S;s; AE
a,n,d;AH,N,D;s; 
a,s;AE,Z;s; AE
a;AH;s; 
s,ui,t,o,r;SH,UW,T,ǝ,R;s; UW
w,i,ll;W,IH,L;s; IH
i;AY;s; AY
h,i,m;HH,IH,M;s; IH
th,i,s;DH,IH,S;s; IH
m,y;M,AY;s; AY
h,ea,r,t;HH,AA,R,T;s; AA
l,a,m,e,n,t,s;L,ǝ,M,e,N,T,S;s; 
th,a,t;DH,AE,T;s; AE
c,a,nn,o,t;K,AE,N,AA,T;s; AE,AA
ou,t;AW,T;s; 
o,f;AH,V;s; 
th,e;DH,AH;s; 
t,ee,th;T,IY,TH;s; IY
o,f;AH,V;s; 
i,f;IH,F;s; IH
th,ou;DH,AW;s; 
r,ea,d;r,e,D;s; 
th,i,s;DH,IH,S;s; IH
o;OW;s; 
th,ou;DH,AW;s; 
i,f;IH,F;s; IH
n,o,t;N,AA,T;s; AA
th,e;DH,AH;s; 
w,i,th;W,IH,DH;s; IH
d,o;D,OW;s; 
h,ai,l;HH,EY,L;s; EY
r,ea,d;r,e,D;s; 
th,i,s;DH,IH,S;s; IH
o;OW;s; 
r,ea,d;r,e,D;s; 
f,o,r;F,AO,R;s; AO
a;AH;s; 
s,ui,t;SH,UW,T;s; UW
th,a,t;DH,AE,T;s; AE
r,ea,d;r,e,D;s; 
i,t;IH,T;s; IH
g,r,ea,t;G,r,e,T;s; 
n,o,t;N,AA,T;s; AA
r,ea,d;r,e,D;s; 
i,t;IH,T;s; IH
i,n,s,t,a,n,t,l,y;IH,N,S,T,AH,N,T,L,IY;s; IH,IY
