hme,'OW M', s, 
you,'Y UW', s, UW
get,'G EH T', s, 
you,'Y UW', s, UW
hme,'OW M', s, 
is,'IH Z', s, IH
this,'DH IH S', s, IH
a,'AH', s, 
what,'W AH T', s, 
you,'Y UW', s, UW
not,'N AA T', s, AA
being,'B IY IH NG', s, IY IH
you,'Y UW', s, UW
not,'N AA T', s, AA
upon,'AH P AA N', s, AA
a,'AH', s, 
the,'DH AH', s, 
sign,'S ǝ IH N', s, IH
of,'AH V', s, 
your,'Y AO R', s, AO
what,'W AH T', s, 
art,'AA R T', s, AA
thou,'DH AW', s, 
what,'W AH T', s, 
thou,'DH AW', s, 
knve,'N EY V', s, EY
thou,'DH AW', s, 
knve,'N EY V', s, EY
what,'W AH T', s, 
thou,'DH AW', s, 
art,'AA R T', s, AA
a,'AH', s, 
art,'AA R T', s, AA
thou,'DH AW', s, 
but,'B AH T', s, 
art,'AA R T', s, AA
not,'N AA T', s, AA
in,'IH N', s, IH
shop,'SH AA P', s, AA
whhy,'ʍ ǝ IH', s, IH
dost,'D AA S T', s, AA
thou,'DH AW', s, 
lead,'L EH D', s, 
men,'M EH N', s, 
the,'DH AH', s, 
streets,'S T R IY T S', s, IY
go,'G OW', s, 
go,'G OW', s, 
good,'G UH D', s, UH
countrymen,'K AH N T R IY M IH N', s, IY IH
and,'AH N D', s, 
for,'F AO R', s, AO
this,'DH IH S', s, IH
fault,'F AO L T', s, AO
all,'AA L', s, AA
the,'DH AH', s, 
poor,'P UH R', s, UH
men,'M EH N', s, 
of,'AH V', s, 
your,'Y AO R', s, AO
sort,'S AO R T', s, AO
them,'DH EH M', s, 
to,'T UW', s, UW
banks,'B AE NG K S', s, AE
and,'AH N D', s, 
weep,'W IY P', s, IY
your,'Y AO R', s, AO
tears,'T EH R Z', s, 
into,'IH N T UW', s, IH UW
the,'DH AH', s, 
channel,'CH AE N AH L', s, AE
till,'T IH L', s, IH
the,'DH AH', s, 
stream,'S T R IY M', s, IY
do,'D OW', s, 
kiss,'K IH S', s, IH
the,'DH AH', s, 
most,'M OW S T', s, 
of,'AH V', s, 
all,'AA L', s, AA
see,'S IY', s, IY
their,'DH EH R', s, 
be,'B IY', s, IY
not,'N AA T', s, AA
vanish,'V AE N IH SH', s, AE IH
tongue-tied,'T ɒ NG - ˌ T ǝ IH D', s, IH
in,'IH N', s, IH
their,'DH EH R', s, 
go,'G OW', s, 
you,'Y UW', s, UW
down,'D ǝ UH N', s, UH
that,'DH AE T', s, AE
towards,'T AH W AO R D Z', s, AO
the,'DH AH', s, 
this,'DH IH S', s, IH
will,'W IH L', s, IH
i,'AY', s, AY
the,'DH AH', s, 
images,'IH M AH JH AH Z', s, IH
if,'IH F', s, IH
you,'Y UW', s, UW
do,'D OW', s, 
them,'DH EH M', s, 
with,'W IH DH', s, IH
it,'IH T', s, IH
is,'IH Z', s, IH
no,'N OW', s, 
matter,'M AW T ǝ R', s, 
let,'L EH T', s, 
no,'N OW', s, 
images,'IH M AH JH AH Z', s, IH
be,'B IY', s, IY
with,'W IH DH', s, IH
and,'AH N D', s, 
the,'DH AH', s, 
vulgar,'V ɤ L G ǝ R', s, 
from,'F R AH M', s, 
the,'DH AH', s, 
streets,'S T R IY T S', s, IY
so,'S OW', s, 
do,'D OW', s, 
you,'Y UW', s, UW
too,'T UW', s, UW
you,'Y UW', s, UW
percve,'P ER S IY V', s, IY
them,'DH EH M', s, 
thick,'TH IH K', s, IH
from,'F R AH M', s, 
will,'W IH L', s, IH
him,'HH IH M', s, IH
an,'AE N', s, AE
who,'HH UW', s, UW
soar,'S OW R', s, 
the,'DH AH', s, 
view,'V Y UW', s, UW
of,'AH V', s, 
men,'M EH N', s, 
and,'AH N D', s, 
keep,'K IY P', s, IY
us,'AH S', s, 
all,'AA L', s, AA
in,'IH N', s, IH
