good,'G UH D', s, UH
from,'F R AH M', s, 
a,'AH', s, 
i,'AY', s, AY
am,'AE M', s, AE
not,'N AA T', s, AA
sick,'S IH K', s, IH
if,'IH F', s, IH
brutus,'B R UW T AH S', s, UW
in,'IH N', s, IH
the,'DH AH', s, 
of,'AH V', s, 
by,'B AY', s, AY
all,'AA L', s, AA
the,'DH AH', s, 
gods,'G AA D Z', s, AA
that,'DH AE T', s, AE
romans,'R OW M AH N Z', s, 
i,'AY', s, AY
my,'M AY', s, AY
soul,'S OW L', s, 
of,'AH V', s, 
son,'S AO ̃', s, AO
derived,'D IH r ǝ IH V D', s, IH IH
from,'F R AH M', s, 
honorale,'AA N ER AH B AH L', s, AA
thou,'DH AW', s, 
an,'AE N', s, AE
exorcist,'EH K S ER S AH S T', s, 
hast,'HH AE S T', s, AE
up,'AH P', s, 
my,'M AY', s, AY
spirit,'S P IH R AH T', s, IH
bid,'B IH D', s, IH
me,'M IY', s, IY
run,'r ɤ N', s, 
and,'AH N D', s, 
i,'AY', s, AY
will,'W IH L', s, IH
with,'W IH DH', s, IH
yea,'Y EH', s, 
get,'G EH T', s, 
the,'DH AH', s, 
better,'B e T ə R', s, 
of,'AH V', s, 
them,'DH EH M', s, 
to,'T UW', s, UW
do,'D OW', s, 
but,'B AH T', s, 
not,'N AA T', s, AA
that,'DH AE T', s, AE
we,'W IY', s, IY
must,'M AH S T', s, 
sick,'S IH K', s, IH
set,'S EH T', s, 
on,'AA N', s, AA
your,'Y AO R', s, AO
foot,'F UH T', s, UH
and,'AH N D', s, 
with,'W IH DH', s, IH
a,'AH', s, 
heart,'HH AA R T', s, AA
i,'AY', s, AY
you,'Y UW', s, UW
to,'T UW', s, UW
do,'D OW', s, 
i,'AY', s, AY
not,'N AA T', s, AA
what,'W AH T', s, 
but,'B AH T', s, 
it,'IH T', s, IH
that,'DH AE T', s, AE
brutus,'B R UW T AH S', s, UW
leads,'L IY D Z', s, IY
me,'M IY', s, IY
on,'AA N', s, AA
