you,'Y UW',s,'UW'
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
i,'AY',s,'AY'
will,'W IH L',s,'IH'
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
the,'DH AH',s,''
taper,'T EH P ǝ R',s,''
in,'IH N',s,'IH'
your,'Y AO R',s,'AO'
closet,'K L AA Z AH T',s,'AA'
searching,'S ɐ R T SH IH N',s,'IH'
the,'DH AH',s,''
for,'F AO R',s,'AO'
a,'AH',s,''
flint,'F L IH N T',s,'IH'
i,'AY',s,'AY'
this,'DH IH S',s,'IH'
paper,'P EH P ǝ R',s,''
thus,'DH ɤ S',s,''
up,'AH P',s,''
and,'AH N D',s,''
i,'AY',s,'AY'
am,'AE M',s,'AE'
it,'IH T',s,'IH'
did,'D IH D',s,'IH'
not,'N AA T',s,'AA'
when,'ʍ e N',s,''
i,'AY',s,'AY'
went,'W EH N T',s,''
to,'T UW',s,'UW'
bed,'B EH D',s,''
i,'AY',s,'AY'
not,'N AA T',s,'AA'
i,'AY',s,'AY'
will,'W IH L',s,'IH'
is,'IH Z',s,'IH'
wasted,'W AW S T IH D',s,'IH'
fifteen,'F IH F T IY N',s,'IH IY'
your,'Y AO R',s,'AO'
at,'AE T',s,'AE'
the,'DH AH',s,''
door,'D AO R',s,'AO'
who,'HH UW',s,'UW'
doth,'D AO TH',s,'AO'
to,'T UW',s,'UW'
see,'S IY',s,'IY'
you,'Y UW',s,'UW'
no,'N OW',s,''
with,'W IH DH',s,'IH'
him,'HH IH M',s,'IH'
no,'N OW',s,''
their,'DH EH R',s,''
their,'DH EH R',s,''
ears,'IY R Z',s,'IY'
and,'AH N D',s,''
their,'DH EH R',s,''
faces,'F EH S IH Z',s,'IH'
in,'IH N',s,'IH'
their,'DH EH R',s,''
that,'DH AE T',s,'AE'
by,'B AY',s,'AY'
no,'N OW',s,''
means,'M IY N Z',s,'IY'
i,'AY',s,'AY'
discover,'D IH S K AH V ER',s,'IH'
them,'DH EH M',s,''
by,'B AY',s,'AY'
mark,'M AA R K',s,'AA'
of,'AH V',s,''
is,'IH Z',s,'IH'
a,'AH',s,''
sick,'S IH K',s,'IH'
man,'M AE N',s,'AE'
that,'DH AE T',s,'AE'
speak,'S P IY K',s,'IY'
with,'W IH DH',s,'IH'
you,'Y UW',s,'UW'
to,'T UW',s,'UW'
my,'M AY',s,'AY'
errand,'EH R AH N D',s,''
madam,'M AE D AH M',s,'AE'
madam,'M AE D AH M',s,'AE'
what,'W AH T',s,''
i,'AY',s,'AY'
do,'D OW',s,''
run,'r ɤ N',s,''
to,'T UW',s,'UW'
the,'DH AH',s,''
and,'AH N D',s,''
and,'AH N D',s,''
so,'S OW',s,''
return,'r IH T ɐ R N',s,'IH'
to,'T UW',s,'UW'
you,'Y UW',s,'UW'
and,'AH N D',s,''
i,'AY',s,'AY'
madam,'M AE D AH M',s,'AE'
madam,'M AE D AH M',s,'AE'
i,'AY',s,'AY'
in,'IH N',s,'IH'
the,'DH AH',s,''
tent,'T EH N T',s,''
varro,'V AW r OW',s,''
and,'AH N D',s,''
i,'AY',s,'AY'
was,'W AA Z',s,'AA'
your,'Y AO R',s,'AO'
did,'D IH D',s,'IH'
not,'N AA T',s,'AA'
it,'IH T',s,'IH'
me,'M IY',s,'IY'
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
an,'AE N',s,'AE'
you,'Y UW',s,'UW'
it,'IH T',s,'IH'
is,'IH Z',s,'IH'
my,'M AY',s,'AY'
duty,'D UW T IY',s,'UW IY'
i,'AY',s,'AY'
slept,'S L EH P T',s,''
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
the,'DH AH',s,''
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
i,'AY',s,'AY'
do,'D OW',s,''
not,'N AA T',s,'AA'
that,'DH AE T',s,'AE'
i,'AY',s,'AY'
did,'D IH D',s,'IH'
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
