l,e,t;L,EH,T;s; 
m,e;M,IY;s; IY
g,o;G,OW;s; 
i,n;IH,N;s; IH
t,o;T,UW;s; UW
s,ee;S,IY;s; IY
th,e;DH,AH;s; 
i,s;IH,Z;s; IH
b,e,t,w,ee,n;B,IH,T,W,IY,N;s; IH,IY
n,o,t;N,AA,T;s; AA
m,ee,t;M,IY,T;s; IY
b,e;B,IY;s; IY
b,u,t;B,AH,T;s; 
d,ea,th;D,EH,TH;s; 
sh,a,ll;SH,AE,L;s; AE
m,e;M,IY;s; IY
f,o,r;F,AO,R;s; AO
y,ou;Y,UW;s; UW
wh,a,t;W,AH,T;s; 
d,o;D,OW;s; 
y,ou;Y,UW;s; UW
m,ea,n;M,IY,N;s; IY
a,n,d;AH,N,D;s; 
b,e;B,IY;s; IY
f,r,ie,n,d,s;F,R,EH,N,D,Z;s; 
a,s;AE,Z;s; AE
m,e,n;M,EH,N;s; 
b,e;B,IY;s; IY
f,o,r;F,AO,R;s; AO
i;AY;s; AY
s,ee,n;S,IY,N;s; IY
y,ea,r,s;Y,IH,R,Z;s; IH
th,a,n;DH,AE,N;s; AE
y,e;Y,IY;s; IY
