b,r,u,t,u,s;B,R,UW,T,AH,S;s; UW
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
n,o,r;N,AO,R;s; AO
f,o,r;F,AO,R;s; AO
y,ou,r,s;Y,UH,R,Z;s; UH
n,ei,th,e,r;N,EH,DH,ǝ,R;s; 
y,ou,ve;Y,UW,V;s; UW
b,r,u,t,u,s;B,R,UW,T,AH,S;s; UW
f,r,o,m;F,R,AH,M;s; 
m,y;M,AY;s; AY
b,e,d;B,EH,D;s; 
a,n,d;AH,N,D;s; 
a,t;AE,T;s; AE
s,u,pp,e,r;S,ɤ,P,ǝ,R;s; 
y,ou;Y,UW;s; UW
s,u,dd,e,n,l,y;S,AH,D,AH,N,L,IY;s; IY
a,r,se;ER,OW,Z;s; 
a,n,d;AH,N,D;s; 
m,u,s,i,n,g;M,Y,UW,Z,IH,N;s; UW,IH
a,n,d;AH,N,D;s; 
w,i,th;W,IH,DH;s; IH
y,ou,r;Y,AO,R;s; AO
a,r,m,s;AA,R,M,Z;s; AA
a,c,r,o,ss;AH,K,R,AO,S;s; AO
a,n,d;AH,N,D;s; 
wh,e,n;ʍ,e,N;s; 
i;AY;s; AY
y,ou;Y,UW;s; UW
wh,a,t;W,AH,T;s; 
th,e;DH,AH;s; 
m,a,tt,e,r;M,AW,T,ǝ,R;s; 
w,a,s;W,AA,Z;s; AA
y,ou;Y,UW;s; UW
u,p,o,n;AH,P,AA,N;s; AA
m,e;M,IY;s; IY
w,i,th;W,IH,DH;s; IH
l,oo,k,s;L,UH,K,S;s; UH
i;AY;s; AY
y,ou;Y,UW;s; UW
th,e,n;DH,EH,N;s; 
y,ou;Y,UW;s; UW
y,ou,r;Y,AO,R;s; AO
a,n,d;AH,N,D;s; 
t,oo;T,UW;s; UW
i,m,p,a,t,ie,n,t,l,y;IH,M,P,EY,SH,AH,N,T,L,IY;s; IH,EY,IY
s,t,a,m,p,e,d;S,T,AW,M,P,IH,D;s; IH
w,i,th;W,IH,DH;s; IH
y,ou,r;Y,AO,R;s; AO
f,oo,t;F,UH,T;s; UH
y,e,t;Y,EH,T;s; 
i;AY;s; AY
i,n,s,i,s,t,e,d;IH,N,S,IH,S,T,AH,D;s; IH,IH
y,e,t;Y,EH,T;s; 
y,ou;Y,UW;s; UW
n,o,t;N,AA,T;s; AA
b,u,t;B,AH,T;s; 
w,i,th;W,IH,DH;s; IH
a,n;AE,N;s; AE
a,n,g,r,y;AE,NG,G,R,IY;s; AE,IY
o,f;AH,V;s; 
y,ou,r;Y,AO,R;s; AO
s,i,g,n;S,ǝ,IH,N;s; IH
f,o,r;F,AO,R;s; AO
m,e;M,IY;s; IY
t,o;T,UW;s; UW
y,ou;Y,UW;s; UW
s,o;S,OW;s; 
i;AY;s; AY
d,i,d;D,IH,D;s; IH
t,o;T,UW;s; UW
th,a,t;DH,AE,T;s; AE
t,oo;T,UW;s; UW
a,n,d;AH,N,D;s; 
w,i,th,a,l;W,IH,DH,AA,L;s; IH,AA
i,t;IH,T;s; IH
w,a,s;W,AA,Z;s; AA
b,u,t;B,AH,T;s; 
a,n;AE,N;s; AE
e,ff,e,c,t;IH,F,EH,K,T;s; IH
o,f;AH,V;s; 
h,u,m,o,r;HH,Y,UW,M,ER;s; UW
s,o,m,e,t,me;S,AH,M,T,AY,M;s; AY
h,a,th;HH,AE,TH;s; AE
h,i,s;HH,IH,Z;s; IH
w,i,th;W,IH,DH;s; IH
e,v,e,r,y;e,V,r,ǝ,IH;s; IH
m,a,n;M,AE,N;s; AE
i,t;IH,T;s; IH
w,i,ll;W,IH,L;s; IH
n,o,t;N,AA,T;s; AA
l,e,t;L,EH,T;s; 
y,ou;Y,UW;s; UW
ea,t;IY,T;s; IY
n,o,r;N,AO,R;s; AO
n,o,r;N,AO,R;s; AO
s,l,ee,p;S,L,IY,P;s; IY
a,n,d;AH,N,D;s; 
i,t;IH,T;s; IH
w,o,r,k;W,AO,R,K;s; AO
s,o;S,OW;s; 
u,p,o,n;AH,P,AA,N;s; AA
y,ou,r;Y,AO,R;s; AO
a,s;AE,Z;s; AE
i,t;IH,T;s; IH
h,a,th;HH,AE,TH;s; AE
o,n;AA,N;s; AA
y,ou,r;Y,AO,R;s; AO
c,o,n,d,i,t,io,n;K,AH,N,D,IH,SH,AH,N;s; IH
i;AY;s; AY
n,o,t;N,AA,T;s; AA
y,ou;Y,UW;s; UW
b,r,u,t,u,s;B,R,UW,T,AH,S;s; UW
d,ea,r;D,IY,R;s; IY
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
m,e;M,IY;s; IY
a,c,q,uai,n,t,e,d;AH,K,W,EY,N,T,IH,D;s; EY,IH
w,i,th;W,IH,DH;s; IH
y,ou,r;Y,AO,R;s; AO
o,f;AH,V;s; 
g,r,ie,f;G,R,IY,F;s; IY
b,r,u,t,u,s;B,R,UW,T,AH,S;s; UW
i,s;IH,Z;s; IH
a,n,d;AH,N,D;s; 
w,re;W,ER;s; 
h,e;HH,IY;s; IY
n,o,t;N,AA,T;s; AA
i,n;IH,N;s; IH
h,e;HH,IY;s; IY
th,e;DH,AH;s; 
m,ea,n,s;M,IY,N,Z;s; IY
t,o;T,UW;s; UW
b,y;B,AY;s; AY
i,t;IH,T;s; IH
i,s;IH,Z;s; IH
b,r,u,t,u,s;B,R,UW,T,AH,S;s; UW
s,i,ck;S,IH,K;s; IH
a,n,d;AH,N,D;s; 
i,s;IH,Z;s; IH
i,t;IH,T;s; IH
p,h,y,s,i,c,a,l;F,IH,Z,IH,ˌ,K,AA,L;s; IH,IH,AA
t,o;T,UW;s; UW
a,n,d;AH,N,D;s; 
s,u,ck;S,ɤ,K;s; 
u,p;AH,P;s; 
th,e;DH,AH;s; 
o,f;AH,V;s; 
th,e;DH,AH;s; 
d,a,n,k;D,AE,NG,K;s; AE
wh,a,t;W,AH,T;s; 
i,s;IH,Z;s; IH
b,r,u,t,u,s;B,R,UW,T,AH,S;s; UW
s,i,ck;S,IH,K;s; IH
a,n,d;AH,N,D;s; 
w,i,ll;W,IH,L;s; IH
h,e;HH,IY;s; IY
s,t,ea,l;S,T,IY,L;s; IY
ou,t;AW,T;s; 
o,f;AH,V;s; 
h,i,s;HH,IH,Z;s; IH
b,e,d;B,EH,D;s; 
t,o;T,UW;s; UW
th,e;DH,AH;s; 
c,o,n,t,a,g,io,n;K,AH,N,T,EY,JH,AH,N;s; EY
o,f;AH,V;s; 
th,e;DH,AH;s; 
a,n,d;AH,N,D;s; 
t,e,m,p,t;T,EH,M,P,T;s; 
th,e;DH,AH;s; 
r,h,eu,m,y;r,UW,M,ǝ,IH;s; UW,IH
a,n,d;AH,N,D;s; 
ai,r;EH,R;s; 
t,o;T,UW;s; UW
a,dd;AE,D;s; AE
u,n,t,o;AH,N,T,UW;s; UW
h,i,s;HH,IH,Z;s; IH
n,o;N,OW;s; 
m,y;M,AY;s; AY
b,r,u,t,u,s;B,R,UW,T,AH,S;s; UW
y,ou;Y,UW;s; UW
s,i,ck;S,IH,K;s; IH
w,i,th,i,n;W,IH,DH,IH,N;s; IH,IH
y,ou,r;Y,AO,R;s; AO
b,y;B,AY;s; AY
th,e;DH,AH;s; 
a,n,d;AH,N,D;s; 
o,f;AH,V;s; 
m,y;M,AY;s; AY
i;AY;s; AY
t,o;T,UW;s; UW
o,f;AH,V;s; 
a,n,d;AH,N,D;s; 
u,p,o,n;AH,P,AA,N;s; AA
m,y;M,AY;s; AY
i;AY;s; AY
y,ou;Y,UW;s; UW
b,y;B,AY;s; AY
m,y;M,AY;s; AY
c,o,mm,e,n,d,e,d;K,AH,M,EH,N,D,IH,D;s; IH
b,y;B,AY;s; AY
a,ll;AA,L;s; AA
y,ou,r;Y,AO,R;s; AO
v,o,w,s;V,ǝ,UH,Z;s; UH
o,f;AH,V;s; 
a,n,d;AH,N,D;s; 
th,a,t;DH,AE,T;s; AE
g,r,ea,t;G,r,e,T;s; 
v,o,w;V,ǝ,UH;s; UH
d,i,d;D,IH,D;s; IH
i,n,c,o,r,p,o,r,te;IH,N,K,AO,R,P,ER,EY,T;s; IH,AO,EY
a,n,d;AH,N,D;s; 
u,s;AH,S;s; 
th,a,t;DH,AE,T;s; AE
y,ou;Y,UW;s; UW
u,n,f,o,l,d;ɤ,N,F,OW,L,D;s; 
t,o;T,UW;s; UW
m,e;M,IY;s; IY
y,ou,r;Y,AO,R;s; AO
s,e,l,f;S,EH,L,F;s; 
y,ou,r;Y,AO,R;s; AO
wh,h,y;ʍ,ǝ,IH;s; IH
y,ou;Y,UW;s; UW
h,ea,v,y;e,V,ǝ,IH;s; IH
a,n,d;AH,N,D;s; 
wh,a,t;W,AH,T;s; 
m,e,n;M,EH,N;s; 
h,a,d;HH,AE,D;s; AE
r,e,s,o,r,t;r,IH,S,AO,R,T;s; IH,AO
t,o;T,UW;s; UW
y,ou;Y,UW;s; UW
f,o,r;F,AO,R;s; AO
b,ee,n;B,IH,N;s; IH
o,r;AO,R;s; AO
s,e,v,e,n;S,EH,V,AH,N;s; 
wh,o;HH,UW;s; UW
d,i,d;D,IH,D;s; IH
th,ei,r;DH,EH,R;s; 
f,a,c,e,s;F,EH,S,IH,Z;s; IH
e,v,e,n;IY,V,IH,N;s; IY,IH
f,r,o,m;F,R,AH,M;s; 
