my, M AY1 , s, 
lord, L AO : R D, s, 
did, D IH1 D , s, 
we, W IY1 , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
nor, N AO1 R , s, 
i, AY1 , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
it, IH1 T , s, 
shall, SH AE1 L , s, 
be, B IY1 , s, 
done, D AH1 N , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
did, D IH1 D , s, 
we, W IY1 , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
nor, N AO1 R , s, 
i, AY1 , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
it, IH1 T , s, 
shall, SH AE1 L , s, 
be, B IY1 , s, 
done, D AH1 N , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
did, D IH1 D , s, 
we, W IY1 , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
nor, N AO1 R , s, 
i, AY1 , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
it, IH1 T , s, 
shall, SH AE1 L , s, 
be, B IY1 , s, 
done, D AH1 N , s, 
my, M AY1 , s, 
lord, L AO : R D, s, 
