th,e;DH,AH;s; 
b,u,t;B,AH,T;s; 
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
h,e;HH,IY;s; IY
n,o,t;N,AA,T;s; AA
b,a,ck;B,AE,K;s; AE
h,e;HH,IY;s; IY
i,s;IH,Z;s; IH
o,r;AO,R;s; AO
o,r;AO,R;s; AO
s,l,ai,n;S,L,EH,N;s; 
wh,a,t;W,AH,T;s; 
i;AY;s; AY
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
n,o;N,OW;s; 
n,o,t;N,AA,T;s; AA
f,o,r;F,AO,R;s; AO
a,ll;AA,L;s; AA
th,e;DH,AH;s; 
k,i,ll;K,IH,L;s; IH
m,y,s,e,l,f;M,AY,S,EH,L,F;s; AY
o;OW;s; 
wh,a,t;W,AH,T;s; 
i,ll;IH,L;s; IH
d,i,d;D,IH,D;s; IH
b,r,u,t,u,s;B,R,UW,T,AH,S;s; UW
t,o;T,UW;s; UW
th,ee;DH,IY;s; IY
i,s;IH,Z;s; IH
th,a,t;DH,AE,T;s; AE
v,e,ss,e,l;V,EH,S,AH,L;s; 
f,u,ll;F,UH,L;s; UH
o,f;AH,V;s; 
g,r,ie,f;G,R,IY,F;s; IY
th,a,t;DH,AE,T;s; AE
i,t;IH,T;s; IH
r,u,n,s;R,AH,N,Z;s; 
o,v,e,r;OW,V,ǝ,R;s; 
e,v,e,n;IY,V,IH,N;s; IY,IH
a,t;AE,T;s; AE
h,i,s;HH,IH,Z;s; IH
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
i,s;IH,Z;s; IH
n,o;N,OW;s; 
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
