u,p,o,n;AH,P,AA,N;s; AA
ch,ee,k;CH,IY,K;s; IY
i;AY;s; AY
th,i,s;DH,IH,S;s; IH
z,ea,l,ou,s;Z,EH,L,AH,S;s; 
k,i,ss;K,IH,S;s; IH
a,s;AE,Z;s; AE
s,ea,l;S,IY,L;s; IY
t,o;T,UW;s; UW
th,i,s;DH,IH,S;s; IH
i,n,d,e,n,t,re;IH,N,D,EH,N,CH,ER;s; IH
o,f;AH,V;s; 
m,y;M,AY;s; AY
th,a,t;DH,AE,T;s; AE
t,o;T,UW;s; UW
m,y;M,AY;s; AY
h,me;OW,M;s; 
i;AY;s; AY
w,i,ll;W,IH,L;s; IH
n,o;N,OW;s; 
r,e,t,u,r,n;r,IH,T,ɐ,R,N;s; IH
t,i,ll;T,IH,L;s; IH
a,n,d;AH,N,D;s; 
th,e;DH,AH;s; 
th,ou;DH,AW;s; 
h,a,s,t;HH,AE,S,T;s; AE
i,n;IH,N;s; IH
w,i,th;W,IH,DH;s; IH
th,a,t;DH,AE,T;s; AE
th,a,t;DH,AE,T;s; AE
wh,i,t,e,-,f,a,c,e,d;ʍ,ǝ,IH,T,-,ˌ,F,EH,S,T;s; IH
f,oo,t;F,UH,T;s; UH
s,p,u,r,n,s;S,P,ɐ,R,N,Z;s; 
b,a,ck;B,AE,K;s; AE
th,e;DH,AH;s; 
a,n,d;AH,N,D;s; 
f,r,o,m;F,R,AH,M;s; 
l,a,n,d,s;L,AE,N,D,Z;s; AE
e,v,e,n;IY,V,IH,N;s; IY,IH
t,i,ll;T,IH,L;s; IH
th,a,t;DH,AE,T;s; AE
e,n,g,l,a,n,d;IH,NG,G,L,AH,N,D;s; IH
i,n;IH,N;s; IH
w,i,th;W,IH,DH;s; IH
th,e;DH,AH;s; 
m,ai,n;M,EH,N;s; 
th,a,t;DH,AE,T;s; AE
s,t,i,ll;S,T,IH,L;s; IH
a,n,d;AH,N,D;s; 
c,o,n,f,i,d,e,n,t;K,AA,N,F,AH,D,AH,N,T;s; AA
f,r,o,m;F,R,AH,M;s; 
p,u,r,p,o,s,e,s;P,ɐ,R,P,ǝ,S,IH,Z;s; IH
e,v,e,n;IY,V,IH,N;s; IY,IH
t,i,ll;T,IH,L;s; IH
th,a,t;DH,AE,T;s; AE
u,t,m,o,s,t;AH,T,M,OW,S,T;s; 
c,o,r,n,e,r;K,AO,R,N,ǝ,R;s; AO
o,f;AH,V;s; 
th,e;DH,AH;s; 
w,e,s,t;W,EH,S,T;s; 
th,ee;DH,IY;s; IY
f,o,r;F,AO,R;s; AO
t,i,ll;T,IH,L;s; IH
th,e,n;DH,EH,N;s; 
f,ai,r;F,EH,R;s; 
w,i,ll;W,IH,L;s; IH
i;AY;s; AY
n,o,t;N,AA,T;s; AA
th,i,n,k;TH,IH,NG,K;s; IH
o,f;AH,V;s; 
h,me;OW,M;s; 
b,u,t;B,AH,T;s; 
a,r,m,s;AA,R,M,Z;s; AA
th,e;DH,AH;s; 
o,f;AH,V;s; 
h,ea,v,e,n;HH,EH,V,AH,N;s; 
i,s;IH,Z;s; IH
th,ei,r,s;DH,EH,R,Z;s; 
th,a,t;DH,AE,T;s; AE
l,i,f,t;L,IH,F,T;s; IH
th,ei,r;DH,EH,R;s; 
i,n;IH,N;s; IH
a;AH;s; 
a,n,d;AH,N,D;s; 
w,a,r;W,AO,R;s; AO
b,y;B,AY;s; AY
b,y;B,AY;s; AY
s,o;S,OW;s; 
w,e;W,IY;s; IY
m,u,s,t;M,AH,S,T;s; 
f,o,r;F,AO,R;s; AO
f,o,r;F,AO,R;s; AO
w,i,th;W,IH,DH;s; IH
l,e,t;L,EH,T;s; 
th,e,m;DH,EH,M;s; 
b,e;B,IY;s; IY
th,e,n;DH,EH,N;s; 
w,e;W,IY;s; IY
wh,a,t;W,AH,T;s; 
th,e;DH,AH;s; 
d,e,v,i,l;D,IH,V,ǝ,L;s; IH
a,r,t;AA,R,T;s; AA
th,ou;DH,AW;s; 
wh,a,t;W,AH,T;s; 
c,r,a,ck,e,r;K,r,AW,K,ǝ,R;s; 
i,s;IH,Z;s; IH
th,i,s;DH,IH,S;s; IH
th,a,t;DH,AE,T;s; AE
ou,r;OW,R;s; 
ea,r,s;IY,R,Z;s; IY
w,i,th;W,IH,DH;s; IH
th,i,s;DH,IH,S;s; IH
o,f;AH,V;s; 
b,r,ea,th;B,R,EH,TH;s; 
n,o;N,OW;s; 
i;AY;s; AY
f,r,o,m;F,R,AH,M;s; 
th,e;DH,AH;s; 
n,o,r,th;N,AO,R,TH;s; AO
a,n,d;AH,N,D;s; 
y,ou,r;Y,AO,R;s; AO
l,i,p,s;L,IH,P,S;s; IH
t,oo;T,UW;s; UW
f,o,r;F,AO,R;s; AO
i;AY;s; AY
a,m;AE,M;s; AE
w,e,ll;W,EH,L;s; 
th,a,t;DH,AE,T;s; AE
i;AY;s; AY
d,i,d;D,IH,D;s; IH
s,o;S,OW;s; 
wh,e,n;ʍ,e,N;s; 
i;AY;s; AY
w,a,s;W,AA,Z;s; AA
l,a,d,y;L,EY,D,IY;s; EY,IY
o;OW;s; 
th,a,t;DH,AE,T;s; AE
a;AH;s; 
m,a,n;M,AE,N;s; AE
s,p,ea,k;S,P,IY,K;s; IY
t,o;T,UW;s; UW
m,e;M,IY;s; IY
th,ou;DH,AW;s; 
n,o,t;N,AA,T;s; AA
s,o;S,OW;s; 
v,i,ll,ai,n;V,IH,L,AH,N;s; IH
f,o,r;F,AO,R;s; AO
t,o;T,UW;s; UW
th,e;DH,AH;s; 
c,a,r,d,i,n,a,l;K,AA,R,D,AH,N,AH,L;s; AA
w,e,ll;W,EH,L;s; 
i;AY;s; AY
m,u,s,t;M,AH,S,T;s; 
p,o,ck,e,t;P,AA,K,AH,T;s; AA
u,p;AH,P;s; 
d,o;D,OW;s; 
s,o;S,OW;s; 
n,o;N,OW;s; 
i,n;IH,N;s; IH
d,ou,b,t;D,ǝ,UH,T;s; UH
f,l,a,t;F,L,AE,T;s; AE
